id,ru,ja
Q230634,Азия,アジア
Q468052,Америка,アメリカ
Q1572339,Альбом,アルバム
Q38,Италия,イタリア
Q668,Индия,インド
Q2419320,Уильям,ウィリアム
Q1026787,Калифорния,カリフォルニア
Q6607,гитара,ギター
Q642420,Христос,キリスト
Q182949,Клуб,クラブ
Q2085069,группа,グループ
Q342744,Игра,ゲーム
Q1220872,служба,サービス
Q1199068,Сайт,サイト
Q131593,сан,サン
Q3464673,Сезон,シーズン
Q58778,система,システム
Q39769,Джордж,ジョージ
Q5281981,Джон,ジョン
Q3511132,серия,シリーズ
Q134556,сингл,シングル
Q17152186,Су,ス
Q16254367,Испания,スペイン
Q349,спорт,スポーツ
Q25075,центр,センター
Q64184224,да,ダ
Q327245,команда,チーム
Q82604,дизайн,デザイン
Q1181693,дебют,デビュー
Q61993606,де,ド
Q183,Германия,ドイツ
Q20017798,На,ナ
Q90,Париж,パリ
Q318485,Рейн,ピ
Q300942,фон,フォン
Q49644,Франс,フランス
Q235206,Про,プロ
Q47541952,продюсер,プロデューサー
Q237749,Бас,ベース
Q1756613,По,ポ
Q2529757,вокал,ボーカル
Q1979154,модель,モデル
Q20021668,Ё,ヨ
Q218640,Европа,ヨーロッパ
Q660818,лига,リーグ
Q159,Россия,ロシア
Q58317693,Роберт,ロバート
Q15332388,вниз,下
Q170494,тело,体
Q2912517,значение,値
Q860623,образ,像
Q7727,минута,分
Q3025161,ряд,列
Q12791,меч,剣
Q11402,сила,力
Q659,север,北
Q667,юг,南
Q16262105,Ин,印
Q14565199,справа,右
Q912068,У,呉
Q15290,добро,善
Q6256,страна,国
Q26438199,Хан,坂
Q23413,замок,城
Q185674,поле,場
Q7390,голос,声
Q1313,лето,夏
Q575,ночь,夜
Q212878,муж,夫
Q188830,жена,妻
Q308194,дочь,娘
Q2963205,чи,尺
Q34740,род,属
Q8502,гора,山
Q468756,побережье,岸
Q2419461,Остров,島
Q4022,река,川
Q1238720,том,巻
Q35059,ширина,幅
Q577,год,年
Q217164,пол,床
Q213441,магазин,店
Q1623285,двор,庭
Q450,ум,心
Q316,любовь,愛
Q11563,число,数
Q613299,оператор,文
Q52643,день,昼
Q5151,месяц,月
Q272735,дерево,木
Q571,книга,本
Q1064858,Бюро,机
Q684,восток,東
Q26215370,Ю,柳
Q45242859,полка,棚
Q845069,Ян,楊
Q12280,мост,橋
Q7366,песня,歌
Q4,смерть,死
Q283,вода,水
Q7748,закон,法
Q165,море,海
Q23397,озеро,湖
Q39594,залив,湾
Q3196,огонь,火
Q44946,точка,点
Q397239,издание,版
Q4328445,Ню,牛
Q43611274,Баку,獏
Q20021676,Ван,王
Q838611,шар,球
Q36732,царство,界
Q855179,Би,畢
Q796873,ли,礼
Q26439566,Син,神
Q132241,фестиваль,祭
Q35409,семейство,科
Q7432,вид,種
Q919107,произведение,積
Q527,небо,空
Q4292648,Ми,米
Q1366302,запись,組
Q37517,класс,綱
Q1228250,линия,線
Q717763,Ло,羅
Q4195066,И,羿
Q1930547,Не,聶
Q226887,но,能
Q9597,живот,腹
Q9614,язык,舌
Q1075,цвет,色
Q403153,Ай,艾
Q33971,лист,葉
Q2662728,Бо,薄
Q7549018,Со,蘇
Q278425,таблица,表
Q679,запад,西
Q8171,слово,語
Q26000726,Я,谷
Q5257307,премия,賞
Q321102,след,跡
Q1415372,путь,道
Q309314,количество,量
Q897,золото,金
Q334460,отдел,門
Q37602,Град,雹
Q11461,звук,音
Q1980247,глава,章
Q5727902,около,頃
Q23640,голова,頭
Q37017,лицо,顔
Q12819564,станция,駅
Q27178440,Као,高
Q730052,Они,鬼
Q845104,Хуан,黄
Q2233716,Ле,黎