id,ru,zh,en,count
P1034,основной источник питания,主要食物來源,main food source,326
P457,основополагающий текст,成立文书,foundational text,50541
P532,порт приписки,船籍港,port of registry,25629
P740,место создания,成立地點,location of formation,44482
P1817,получатель,收件人,addressee,49021
P122,форма правления,政体,basic form of government,2152
P58,сценарист,編劇,screenwriter,186866
P1716,бренд,品牌,brand,15374
P4043,эмулирует,模拟,emulates,345
P6889,микроархитектура,微架構,microarchitecture,198
P8839,причёска,发型,hairstyle,595
P3080,игровой художник,游戏艺术家,game artist,159
P7167,не вызывает,没有效果,does not have effect,30
P1951,инвестор,投資者,investor,6294
P2554,художник-постановщик,美術指導,production designer,13508
P66,предки из,籍贯,ancestral home,1811
P7163,обычно продаёт,销售商品,typically sells,299
P3275,художник раскадровки,分镜师,storyboard artist,697
P7938,ассоциированный избирательный округ,所属选区,associated electoral district,62894
P106,род занятий,职业,occupation,9260065
P636,способ введения,给药途径,route of administration,3001
P2841,возраст манифестации,发病年龄,age of onset,7
P1158,место посадки,降落地點,location of landing,502
P4608,сценограф,舞台设计师,scenographer,9780
P37,официальный язык,官方语言,official language,21472
P1435,статус наследия,遗产名称,heritage designation,2062512
P689,поражает,影响,afflicts,4196
P183,является эндемиком в,特有分布,endemic to,32262
P163,описание флага,旗帜,flag,6539
P4805,художник-визажист,化妝師,make-up artist,512
P6902,девиз правления,年号,era name,345
P2438,рассказчик,敘事者,narrator,2267
P282,письменность,書寫系統,writing system,611234
P291,место публикации,出版地,place of publication,271222
P6275,защитник авторских прав,版權代表人,copyright representative,81054
P20,место смерти,死亡地,place of death,1212693
P3680,утверждение поддерживает,主张此叙述者,statement supported by,58
P5202,адаптирован,改編者,adapted by,3430
P2184,история темы,話題历史,history of topic,2171
P1455,список произведений,作品列表,list of works,1228
P6942,художник-мультипликатор,动画师,animator,4025
P8822,эпитет,修飾詞,epithet,26
P2361,онлайн-сервис,线上服务,online service,48
P2882,выбывшие,降级,relegated,2906
P2634,модель,模特,sitter,280
P1990,содержащиеся виды,饲养品种,species kept,7902
P136,жанр,類型,genre,1527395
P452,отрасль,产业,industry,104004
P1462,орган по стандартизации,標準組織,standards body,2799
P449,первоначальный вещатель,首播电视台,original broadcaster,93087
P5800,нарративная роль,故事角色,narrative role,4591
P517,фундаментальные взаимодействия,相互作用,interaction,291
P7937,форма искусства,作品形式,form of creative work,342698
P1884,цвет волос,髮色,hair color,11981
P3018,находится в охранной зоне,所在保护区,located in protected area,36798
P1686,за работу,得獎作品,for work,50
P4241,уточнение даты,确切时间,refine date,0
P3975,генеральный секретарь,总书记,secretary general,1431
P1050,состояние здоровья,医疗状况,medical condition,241962
P2286,артериальное кровоснабжение,动脉供应,arterial supply,288
P140,религия,信仰,religion or world view,444622
P59,созвездие,星座,constellation,7371215
P1201,разгонный блок,太空交通船,space tug,409
P1923,команда-участница,參與隊伍,participating team,148066
P1546,описание девиза,座右铭,motto,509
P149,архитектурный стиль,建築風格,architectural style,124958
P3803,оригинальный формат фильма,原始底片格式,original film format,6459
P509,причина смерти,死因,cause of death,115623
P2925,область святого или божества,保佑領域,domain of saint or deity,853
P6086,драматург,剧作者,dramaturge,3253
P111,физическая величина,以此物理量测量,measured physical quantity,3611
P1013,используемый критерий,所用標準,criterion used,69
P7469,ориентация,方向/面向,orientation,374
P8646,дополнение относится к,资料片,expansion of,1507
P5998,речной рукав,分流,distributary,119
P4968,соответствующая квалификация,相關資格,relevant qualification,55
P680,молекулярная функция,分子功能,molecular function,1210165
P35,глава государства,国家元首,head of state,1841
P2715,выбран по результатам,當選選舉,elected in,183
P516,движитель,发动机,powered by,11110
P1142,политическая идеология,政治意识形态,political ideology,23809
P7095,выпускной класс,結束年級,end grade,3729
P8345,медиафраншиза,跨媒體製作,media franchise,28359
P2700,протокол,协议,protocol,231
P2827,цвет цветков,花色,flower color,551
P2962,шахматный титул,棋士称号,title of chess person,31178
P2568,скорректирован,取代者,repealed by,33377
P823,выступающий,演讲者,speaker,5293
P4100,парламентская группа,黨團,parliamentary group,1970
P495,страна происхождения,原產地,country of origin,1345801
P1056,продукция,产品,product or material produced,45764
P2348,эра,時間週期,time period,202625
P3602,кандидат на выборах,競選,candidacy in election,158938
P3610,тарифная зона,收費區,fare zone,5161
P6819,каллиграф,書法家,calligrapher,291
P1308,должность занимает,公职人员,officeholder,17533
P750,распространяется,經銷商,distributed by,158589
P453,играет роль персонажа,人物角色,character role,506
P840,место действия,敘事發生地,narrative location,91176
P3437,перевозимый груз,载运人员或货物,people or cargo transported,223
P8453,остановка общественного транспорта,車站,public transport stop,132
P88,заказчик произведения,委托人,commissioned by,23429
P1011,исключая,排除,excluding,6
P1995,медицинская специальность,醫學專科,health specialty,10263
P654,направление относительно места,方位,direction relative to location,25
P1310,утверждение оспаривается,对此声明有异议者,statement disputed by,5
P1444,пункт назначения,行程目的地,destination point,25554
P5353,школьный округ,學區,school district,9780
P4330,содержит,包含,contains,8269
P5095,разлом,斷層,fault,20
P2633,география темы,主题的地理学,geography of topic,726
P800,известная работа,主要作品,notable work,96985
P1775,является последователем,追隨對象,follower of,22
P1606,является носителем патогена,为其天然宿主,natural reservoir of,17
P1264,действительно для периода,有效期,valid in period,219
P3739,соцветие,花序,inflorescence,166
P27,гражданство,國籍,country of citizenship,4426813
P3274,хостинг,內容遞送者,content deliverer,6
P2679,автор предисловия,序言作者,author of foreword,1543
P913,обозначение,符號,notation,214
P1909,побочный эффект,副作用,side effect,39
P1534,конечный результат,結束原因,end cause,171
P2079,метод изготовления,制作方法,fabrication method,126162
P8852,волосы на лице,脸毛,facial hair,365
P1211,топливная система,燃料系統,fuel system,179
P469,водоём на реке,流经湖泊,lakes on river,3384
P542,кем официально открыт,宣布开幕者,officially opened by,1047
P4290,официальное приложение,官方应用程序,official app,101
P2675,в ответ на,回应,reply to,387
P1363,кем забиты голы или набраны очки,得分或進球者,points/goal scored by,2441
P3985,поддерживает язык программирования,支援的程式語言,supports programming language,228
P2667,шаблон для свойства,对应模板,corresponding template,860
P8810,родитель,亲代,parent (unspecified),13
P4733,производит звук,產生聲音,produced sound,56
P2505,несёт на себе,承载,carries,12478
P2680,автор послесловия,后跋作者,author of afterword,99
P5054,кабинет,內閣,cabinet,5
P1875,кто представляет,代表者,represented by,8117
P135,школа (движение),文化运动,movement,58648
P1210,нагнетатель,增壓器,supercharger,7
P7500,коморбидность,合併症,comorbidity,19
P618,источник энергии,能量来源,source of energy,6188
P923,медицинский осмотр,医学检查,medical examinations,993
P8107,шина,总线,bus,17
P2632,место содержания под стражей,羁押地点,place of detention,145141
P2935,разъём,連接器,connector,788
P1012,включая,包括,including,59
P1547,зависит от,依賴軟件,depends on software,18192
P5280,радикал,部首,radical,2355
P8032,жертва,受害人,victim,870
P272,производящая компания,製作商,production company,119102
P1419,имеет форму,形状,shape,1875
P5824,отозвано в,撤銷,is retracted by,1462
P2416,спортивная дисциплина,参加的体育比赛项目,sports discipline competed in,49498
P3828,надето,穿着,wears,1752
P5389,постоянный резидент,永久居留权,permanent resident of,1288
P69,учебное заведение,就读于,educated at,2269402
P189,место обнаружения,发现地点,location of discovery,26285
P2825,через,途经,via,861
P4934,вычисляется из,计算方法,calculated from,578
P2937,срок полномочий парламента,议会任期,parliamentary term,6378
P400,платформа,平台,platform,98555
P4353,кто номинировал,提名者,nominated by,230
P425,сфера деятельности,专业领域,field of this occupation,5765
P6364,официальный цвет,官方颜色,official color,3090
P1049,божество относится к,受其崇拜,worshipped by,2380
P831,родительский спортивный клуб,附属俱乐部,parent club,4473
P1881,список персонажей,角色列表,list of characters,878
P3512,способ передвижения,移动方式,means of locomotion,103
P418,описание печати/эмблемы,印章描述,"has seal, badge, or sigil",110
P8701,имеет перепись населения,人口普查,has census,596
P2353,статистическая единица,統計單位,statistical unit,25
P1571,кодомен,到达域,codomain,76
P972,каталог,目录,catalog,69086
P688,кодирует,生物编码,encodes,973826
P1898,низшая нота,最低音,lowest note,9
P523,начало временного диапазона,初现地质年代,temporal range start,137
P1592,обвинитель,檢察官,prosecutor,426
P5051,по направлению к,行車方向,towards,64
P200,впадающие в озеро реки,流入源,inflows,14887
P1924,является вакциной против,疫苗用於,vaccine for,203
P703,имеется у таксона,具此物質之物種/此物質可作用之物種,found in taxon,2853804
P1706,совместно с,连同,together with,72
P1318,кем доказано,证明者,proved by,125
P2551,использованный метр,格律,used metre,344
P2578,предмет изучения,研究對象,studies,1954
P812,специальность,高校专业,academic major,2838
P4584,первое появление,首次亮相于,first appearance,6985
P1456,список памятников,古迹列表,list of monuments,20144
P4446,программа вознаграждения,忠诚计划,reward program,275
P1532,представляет страну в спорте,体育代表国,country for sport,201826
P65,место астрономического открытия,天文发现地,site of astronomical discovery,53750
P1809,хореограф,编舞,choreographer,4208
P522,тип орбиты,轨道类型,type of orbit,1169
P344,кинооператор,摄影指导,director of photography,91536
P500,эксклав от,飞地从属于,exclave of,130
P2396,множество значений,值域,image of function,47
P1454,организационно-правовая форма,法律形式,legal form,197130
P467,принят законодателем,立法者,legislated by,46724
P375,ракета-носитель,发射载具,space launch vehicle,6763
P1372,связка для программной библиотеки,軟體庫內之資料繫結,binding of software library,29
P2851,допустимые виды оплаты,接受的付款方式,payment types accepted,39226
P7137,благодарности,致谢,acknowledged,858
P5102,природа утверждения,陳述環境,nature of statement,29
P8625,библиография,文献资料,bibliography,70
P2098,заместитель,副職,substitute/deputy/replacement of office/officeholder,590
P736,художник обложки,封面艺术家,cover art by,6718
P9071,тип персонажа,角色類型,character type,3186
P770,причина разрушения,衰亡原因,cause of destruction,1380
P1393,представитель,代理人,proxy,49
P2821,побочный продукт,副产品,by-product,49
P531,дипломатическая миссия,派駐代表機構,diplomatic mission sent,1710
P6338,колорист,上色师,colorist,1312
P4743,порода животных,品種,animal breed,8622
P1313,должность главы правительства,政府首脑职位,office held by head of government,62785
P1026,диссертация,學位論文,academic thesis,11022
P7261,статус ограничения использования,使用限制状态,use restriction status,415440
P6149,кандидат в вице-президенты или в вице-губернаторы,競選搭檔,running mate,2
P5023,правила поведения в этом месте,此地點的活動方針,activity policy in this place,130
P8791,оцифровано,電子化,digitised by,2705
P658,композиции,曲目,tracklist,33907
P991,победивший кандидат,当选者,successful candidate,23167
P2238,официальный символ,官方標記,official symbol,1419
P8324,заказчик,財務贊助者,funder,1904
P1780,принадлежит школе,所属学派,school of,19
P1340,цвет глаз,眼睛顏色,eye color,10047
P1302,основные направления,主要目的地,primary destinations,3923
P1876,транспортное средство,载具,vehicle,846
P3816,киносценарий,剧本,film script,28
P2378,кем выдан,發行者,issued by,1797
P608,история выставок,展覽歷史,exhibition history,26633
P7374,уровень образования,教育阶段,educational stage,81
P414,биржа,证券交易所,stock exchange,13231
P518,указано для части,適用部分,applies to part,203
P3716,социальный класс,社會階層,social classification,11947
P7767,температура подачи,食物存放温度,serving temperature,29
P412,певческий голос,聲部,voice type,34254
P289,тип судна,艦級,vessel class,13365
P707,платформа космического аппарата,衛星平台,satellite bus,113
P505,генеральный менеджер,总经理,general manager,1482
P1001,юрисдикция распространяется на,管辖区,applies to jurisdiction,938663
P1221,вид компрессора,壓縮機類型,compressor type,2
P1002,конфигурация двигателя,引擎配置,engine configuration,1031
P1574,является экземпляром,原本包含,exemplar of,1740
P1387,позиция в политическом спектре,政治立場,political alignment,4250
P4149,сопряженное основание,共轭碱,conjugate base,358
P91,сексуальная ориентация,性取向,sexual orientation,4111
P30,часть света,大洲,continent,83038
P2515,дизайнер костюмов,服裝設計,costume designer,12686
P2647,источник материала,材料来源,source of material,147
P611,монашеский орден,宗教團,religious order,33053
P2541,зона обслуживания,業務區,operating area,17829
P3294,кодировка,编码,encoding,2
P54,член спортивной команды,所屬運動隊,member of sports team,1546197
P479,способ ввода,输入设备,input method,15149
P6885,исторический регион,历史地区,historical region,15038
P110,иллюстратор,插画家,illustrator,14607
P541,это выборы на должность,競逐之職位,office contested,42849
P588,охладитель,冷却剂,coolant,485
P1576,образ жизни,生活方式,lifestyle,1288
P1558,музыкальный темп,拍速标记,tempo marking,133
P931,обслуживаемый город,机场服务地区,place served by transport hub,12148
P543,кто давал клятву,宣誓者,oath made by,90
P504,основной порт,母港,home port,5863
P1199,тип наследования,遺傳模式,mode of inheritance,85
P6166,цитирует работу,引用原文出处,quotes work,410
P945,принадлежность,效忠对象,allegiance,60876
P408,движок,软件引擎,software engine,9860
P4647,место первого исполнения,首演地点,location of first performance,18266
P1399,осуждён за,所犯罪名,convicted of,10528
P114,авиационный альянс,航空聯盟,airline alliance,278
P5913,имеет класс словоизменения,词形变化,has inflection class,8
P512,учёная степень,学位,academic degree,132400
P4220,порядок битвы,作戰序列,order of battle,409
P2501,результаты,賽果,results,84
P735,личное имя,名字,given name,6673611
P126,ответственность несёт,维护者,maintained by,528563
P1408,лицензия на вещание в,廣播地區,licensed to broadcast to,16665
P5137,элемент для смысла,该义项的项目,item for this sense,115540
P5009,соответствует норме,符合標準,complies with,163
P533,цель,攻击目标,target,1496
P306,операционная система,作業系統,operating system,39330
P2291,занял место в,上榜,charted in,1601
P1383,включает населённый пункт,包含聚落,contains settlement,32821
P21,пол или гендер,性別,sex or gender,7876165
P682,биологический процесс,生物途径,biological process,1194167
P5817,состояние использования,使用狀態,state of use,62593
P5059,модифицированная версия от,版本修改自,modified version of,1466
P3005,истинно для места,有效地點,valid in place,173
P655,переводчик,译者,translator,18384
P8196,избирательная система,投票制度,voting system,1362
P912,оборудован,擁有設施,has facility,16547
P3967,финальная часть,决赛,final event,1860
P1192,обслуживается маршрутом,所屬路線,connecting service,41150
P8031,преступник,加害人,perpetrator,818
P4379,молодёжное крыло,青年翼,youth wing,205
P2360,целевая аудитория,受眾,intended public,7870
P2839,походка,儀態,gait,17
P7084,связанная категория,相关分类,related category,16261
P57,режиссёр,导演,director,332848
P7604,надзор осуществляет,監察人,supervised by,77
P2922,месяц,月份,month of the year,4599
P2408,действие происходит в эпоху,時代背景,set in period,7382
P560,направление,方向,direction,36
P1596,наказание,刑罰,penalty,1918
P4387,метод обновления,更新方法,update method,119
P6106,использует заглавные буквы для,使用大写,uses capitalization for,38
P1027,награда от,颁发者,conferred by,15110
P785,тип прикрепления гимения,子囊附着物,hymenium attachment,893
P941,вдохновлено,启发自,inspired by,5758
P1877,в результате влияния работы,原著作者,after a work by,12339
P4969,производная работа,衍生作品,derivative work,19804
P92,главный регулирующий текст,主要規管文獻,main regulatory text,9320
P520,вооружение,武器,armament,5520
P5028,звукорежиссёр,音效设计师,sound designer,3237
P925,пресинаптическая связь,突触,presynaptic connection,6
P205,бассейн объекта в странах,流域国,basin country,17703
P943,программист,程序员,programmer,388
P8744,экономика темы,話題的經濟,economy of topic,1377
P1028,подарок от,捐贈者,donated by,9673
P8225,метакласс для,为其元类,is metaclass for,372
P3452,вывод из,推断依据,inferred from,2
P7086,начальный класс,開始年級,start grade,3730
P6224,уровень описания,著录级次,level of description,628069
P2596,культура,文化,culture,10030
P1478,непосредственной причиной является,直接原因,has immediate cause,125023
P485,архивы хранятся в,存檔于,archives at,75475
P3301,транслируется на,广播业者,broadcast by,7431
P1568,область определения,定義域,definition domain,125
P2964,право голоса,投票權人,right to vote,68
P97,титул,贵族头衔,noble title,54552
P1136,кем решена,解決者,solved by,116
P16,система автомагистралей,公路系統,transport network,52704
P1622,сторона автомобильного движения,道路通行方向,driving side,428
P4661,дамбовое водохранилище,建立的水庫,reservoir created,3203
P1171,аппроксимационный алгоритм,近似算法,approximation algorithm,9
P3148,отменяет,廢除,repeals,28838
P6153,место проведения исследования,研究地點,research site,266976
P5642,фактор риска,风险因子,risk factor,198
P1406,направление письма,文字方向,script directionality,324
P4878,символизирует,象征,symbolizes,51
P811,второстепенный общеобразовательный предмет,副修专业,academic minor,103
P19,место рождения,出生地,place of birth,3035164
P501,анклав в,内飞于,enclave within,249
P8258,область обучения,訓練,field of training,19
P5133,имеет оценку,医学发现,has evaluation,24
P3091,верховое животное,騎上,mount,746
P3440,размер такта,拍号,time signature,81
P1429,питомец,寵物,has pet,318
P3938,кем названо,命名者,named by,628
P6087,тренер спортивной команды,體育隊,coach of sports team,11850
P3871,сторона притока,支流方向,tributary orientation,547
P1591,обвиняемый,被告人,defendant,4610
P642,относится к,範圍,of,5091
P6195,схема финансирования,募款計劃,funding scheme,3765
P2414,сырьё для,为酶的底物,substrate of,9
P4000,имеет плод типа,拥有果实类型,has fruit type,3039
P3858,маршрутная карта,路線圖,route diagram,3626
P702,кодирующий ген,編碼基因,encoded by,976836
P2831,тотем,圖騰,totem,21
P2279,амбитус,音区范围,ambitus,37
P545,кем зажжён факел,火炬点燃者,torch lit by,73
P4151,игровая механика,游戏机制,game mechanics,1760
P725,актёр озвучивания,配音演员,voice actor,63208
P459,метод определения,确定方法,determination method,329
P1299,изображается на,描绘于,depicted by,10979
P3989,род деятельности членов,成员职业,members have occupation,1768
P7959,историческое графство,历史郡,historic county,782765
P462,цвет,颜色,color,195178
P6540,многоканальная сеть,多频道网络,multi-channel network,44
P3261,анатомически ответвляется от,解剖分支属于,anatomical branch of,415
P5314,используется как,屬性範圍,property scope,1
P241,вид или род войск,军事部门,military branch,114815
P1064,ширина колеи,軌距,track gauge,24421
P1891,подписавшийся,签署方,signatory,17166
P2842,место свадьбы,結婚地點,place of marriage,3
P3174,арт-директор,艺术总监,art director,1254
P734,фамилия,姓氏,family name,3641074
P2429,ожидаемая полнота,预期完整性,expected completeness,3866
P421,часовой пояс,时区,located in time zone,2008070
P6587,система спортивных лиг,聯賽系統,league system,231
P410,воинское звание,军衔,military rank,157572
P1640,куратор,館長,curator,1600
P1046,метод обнаружения,发现方法,discovery method,4253
P942,музыкальная тема,主題曲,theme music,3967
P2989,имеет падежи,具有语义格,has grammatical case,430
P1445,вымышленная вселенная описана в,虚构世界描述于,fictional universe described in,4613
P7078,типизация данных,类型推断系统,typing discipline,774
P3438,обычно используемое транспортное средство,常用车辆,vehicle normally used,2901
P826,тональность,音調,tonality,5039
P1652,рефери,裁判,referee,19997
P4224,категория содержит,分类包含,category contains,824636
P3262,анатомически ветвится на,解剖学分支,has anatomical branch,286
P5026,художник-осветитель,照明设计师,lighting designer,5171
P634,капитан,隊長,captain,539
P3150,день рождения,生日,birthday,3191
P7936,бизнес-модель,商业模式,business model,2359
P5138,сезон клуба или команды,賽季所屬俱樂部或團隊,season of club or team,79872
P9353,не имеет причиной,不是原因,does not have cause,11
P101,область деятельности,工作領域,field of work,252599
P562,эмитент,中央銀行或發行機構,central bank/issuer,443
P1589,глубочайшая точка,最深點,lowest point,512
P5323,подтверждено в,文獻出處,attested in,121128
P924,лечение,疗法,possible treatment,699
P3022,флагоносец,持旗手,flag bearer,4191
P1595,предъявленное обвинение,控罪,charge,4516
P1196,род смерти,死亡方式,manner of death,100146
P3095,практикуется,从业者,practiced by,4814
P2376,суперсимметричный партнёр для,是超對稱粒子,superpartner of,21
P102,член политической партии,所属政党,member of political party,502780
P1880,шкала измерения,测量规范,measurement scale,181
P1536,является непосредственной причиной,直接结果,immediate cause of,18761
P1479,способствовавшим фактором является,影响因素,has contributing factor,588
P870,инструментовка,使用的乐器,instrumentation,7611
P3450,розыгрыш какого турнира,体育赛季所属赛事,sports season of league or competition,81264
P3966,парадигма программирования,編程範型,programming paradigm,1472
P199,бизнес-подразделения,业务部门,business division,1686
P669,расположен на улице,所在街道,located on street or square,164995
P780,симптомы,症状,symptoms and signs,10915
P209,высший судебный орган,最高司法机关,highest judicial authority,183
P3263,основание фигуры,底,base,116
P1349,плоидия,染色體倍性,ploidy,41
P8411,происходит в типе места,环境设定,set in environment,15928
P7501,аудио-система,音响系统,audio system,2087
P748,кем назначен,委任者,appointed by,5538
P3931,владелец авторских прав,著作權所有者,copyright holder,3231
P8693,фэндом,粉絲文化,fandom,63
P1029,члены экипажа,機組人員,crew member(s),2976
P1283,фильмография,影片集锦,filmography,1518
P3902,последняя трапеза,最后进食,had as last meal,72
P172,этническая группа,族群,ethnic group,160731
P872,отпечатано,印刷自,printed by,2905
P4967,предпосылка,前提,prerequisite,191
P4884,суд,法院,court,21138
P5196,способ вывода,输出方法,output method,305
P552,рабочая рука,利手,handedness,2257
P7779,состоит в воинском формировании,軍事單位,member of military unit,2490
P6193,ратифицирован(о/а),批准方,ratified by,2631
P5589,микроструктура,微觀結構,microstructure,5
P5109,имеет грамматический род,擁有語法性,has grammatical gender,136
P5707,образец,樣本,samples from work,160
P624,тип системы наведения,导引系统,guidance system,248
P789,съедобность,食用性,edibility,792
P832,официальный праздник,公立假日,public holiday,1481
P2868,в качестве,主體角色,subject has role,353857
P194,законодательный орган,立法机构,legislative body,4257
P105,таксономический ранг,分类群等级,taxon rank,3588929
P9419,личная библиотека хранится в,私人圖書館在,personal library at,285
P1594,судья,法官,judge,9995
P2975,носитель,宿主,host,7413
P7075,мод для,模组基于,mod of,186
P5021,оценивался тест,参与考试,assessment,25144
P248,утверждается в,载于,stated in,785
P1074,аналог в реальном мире,相應虛構概念,fictional analog of,1877
P607,война/сражение,军事冲突,conflict,221623
P553,учётная запись в социальных медиа,开设账户网站,website account on,2218
P1593,защитник,辯護人,defender,278
P4791,командир,指揮者,commanded by,3546
P1303,музыкальный инструмент,樂器,instrument,210870
P210,секретарь партии,党委书记,party chief representative,266
P1433,опубликовано в,发表于,published in,37916091
P1582,производится из,产自,natural product of taxon,2582
P937,место активности,工作地點,work location,339031
P610,наивысшая точка,最高点,highest point,5503
P208,исполнительная власть,行政机构,executive body,1672
P8670,дизайнер персонажей,角色設計,character designer,1818
P398,тело-спутник,子天体,child astronomical body,8868
P790,получил одобрение от,獲准自,approved by,29098
P3831,значение выступает в роли,客体角色,object has role,65
P8929,"отношение к религии, взгляд на мир",宗教或世界观,religion or world view (OBSOLETE),
P2445,метаподкласс от,所属元子类,metasubclass of,41
P1779,возможный создатель,可能的創作者,possible creator,38
P86,композитор,作曲者,composer,188471
P5769,шеф-редактор,總編輯,editor-in-chief,2325
P2770,источник дохода,收入來源,source of income,500
P530,дипломатические отношения,邦交國,diplomatic relation,7046
P47,имеет границы с,接壤,shares border with,605173
P461,противоположно,相反面,opposite of,23857
P460,предположительно одно и то же с,据称相同,said to be the same as,285208
P3373,брат/сестра,兄弟姊妹,sibling,407131
P26,супруг(а),配偶,spouse,731197
P7047,враг,敌人,enemy of,3809
P451,сожитель,非婚伴侣,unmarried partner,14156
P1889,не путать с,相异於,different from,801466
P3403,занимает ту же территорию с,空间重合实体,coextensive with,4076
P190,город-побратим,友好城市,twinned administrative body,48990
P1382,частично совпадает с,部分重合物,partially coincident with,17887
P1038,родственник,亲属,relative,52123
P197,соседний остановочный пункт,相邻车站,adjacent station,209079
P833,станция пересадки,换乘车站,interchange station,3685
P2789,соединяется с,连接,connects with,183333
P3342,значимый человек,重要人物,significant person,15439
P1327,партнёр в спорте или профессии,专业或体育合作伙伴,partner in business or sport,17571
P399,компаньон,伴天体,companion of,4476
P1420,синоним таксона,同物異名,taxon synonym,21387
P129,взаимодействует с,物理相互作用于,physically interacts with,9480
P1322,двойственнен к,對偶幾何圖形,dual to,351
P2375,суперсимметричный партнёр,其超對稱粒子為,has superpartner,20
P3032,смежное здание,相邻建筑,adjacent building,5242
P6185,таутомер,互变异构体,tautomer of,1063
P3179,территория перекрывается с,领土重合于,territory overlaps,8370
P144,создано на основе,改編自,based on,52294
P737,испытал влияние от,影响自,influenced by,18552
P2444,омоглиф,同形字,homoglyph,1752
P684,ортолог,种间同源基因,ortholog,4320878
P3364,стереоизомер для,立體異構體,stereoisomer of,2013
P53,род,家族,family,89379
P1416,принадлежит к,所属机构,affiliation,86685
P3113,не включает,不包含的部分,does not have part,499
P2860,ссылается на,引用作品,cites work,285213488
P807,отделилось от,分离自,separated from,2321
P1557,является воплощением,表现概念,manifestation of,2120
P4675,появляется в виде,形态,appears in the form of,373
P6477,не обладает свойством,不具备的特性,does not have quality,344
P2650,область интересов,关注对象,interested in,14947
P547,в память о,紀念對象,commemorates,26003
P5004,против,反對,in opposition to,461
P1268,представляет,代表对象,represents,5411
P825,посвящено,呈献对象,dedicated to,50406
P31,это частный случай понятия,隶属于,instance of,103114325
P1441,представлено в работе,登场作品,present in work,126749
P828,причиной является,起因,has cause,9257
P1542,вызывает,導致,has effect,5715
P2737,является объединением,并集,union of,375
