id,label
P1034,main food source
P5008,on focus list of Wikimedia project
P457,foundational text
P8004,ordered by
P7442,glacier status
P532,port of registry
P740,location of formation
P1817,addressee
P1425,ecoregion (WWF)
P122,basic form of government
P58,screenwriter
P5249,sports competition competed at
P1629,Wikidata item of this property
P2876,type of unit for this property
P2597,Gram staining
P9072,derived from organism type
P3085,qualifies for event
P1704,is pollinator of
P8263,curriculum topics
P1716,brand
P3173,offers view on
P4099,metrically compatible typeface
P1465,category for people who died here
P1165,home world
P741,playing hand
P4043,emulates
P5110,has grammatical person
P6889,microarchitecture
P3719,regulated by
P8839,hairstyle
P4646,representation of
P3823,Ethnologue language status
P3772,agonist of
P8652,Netflix maturity rating
P4329,template or module that populates category
P8546,recording location
P3080,game artist
P534,streak color
P4323,young rider classification
P141,IUCN conservation status
P7167,does not have effect
P1951,investor
P1035,honorific suffix
P2554,production designer
P2358,Roman praenomen
P9887,Candomblé nation
P3774,blocker of
P66,ancestral home
P8006,footedness
P2853,electrical plug type
P7163,typically sells
P3275,storyboard artist
P7938,associated electoral district
P786,stipe character
P106,occupation
P636,route of administration
P85,anthem
P2841,age of onset
P1811,list of episodes
P10067,train melody
P631,structural engineer
P9325,Gedong Kirtya Classification
P5588,invasive to
P1158,location of landing
P4608,scenographer
P103,native language
P908,PEGI rating
P5995,kit supplier
P37,official language
P6563,key performance indicator
P1435,heritage designation
P689,afflicts
P568,overlies
P2502,classification of race
P3158,enclosure
P2453,nominee
P3402,CNC film rating (Romania)
P9813,container
P1855,Wikidata property example
P2614,World Heritage criteria
P38,currency
P183,endemic to
P5996,category for films in this language
P163,flag
P5841,Status in the Red List of Threatened Species in the Czech Republic
P4805,make-up artist
P556,crystal system
P6902,era name
P4988,test method
P6948,video system
P2992,software quality assurance
P2438,narrator
P3491,muscle insertion
P282,writing system
P291,place of publication
P2548,strand orientation
P6275,copyright representative
P20,place of death
P3680,statement supported by
P5202,adapted by
P2184,history of topic
P3027,open period from
P411,canonization status
P450,astronaut mission
P2813,house publication
P1455,list of works
P6942,animator
P1414,GUI toolkit or framework
P3712,objective of project or action
P9139,first family name in Portuguese name
P7406,style of karate
P2545,bowling style
P8822,epithet
P3764,pole position
P2361,online service
P6606,study or design for
P5522,Unicode block
P2838,professional name (Japan)
P8339,entry receptor
P5126,assistant director
P9888,NZTCS conservation status
P2882,relegated
P2634,sitter
P2417,stage classification
P1625,has melody
P5096,member of the crew of
P5386,JMA Seismic Intensity Scale
P7228,access restriction status
P2978,wheel arrangement
P5880,video designer
P1990,species kept
P6657,CHVRS Classification
P9972,illustrative content
P6954,online access status
P5438,signum
P136,genre
P452,industry
P4770,hydrated form of
P1462,standards body
P3359,negative prognostic predictor
P4510,describes a project that uses
P449,original broadcaster
P6001,applies to people
P8989,category for the view of the item
P2872,visitor centre
P9086,BAMID film rating
P5800,narrative role
P517,interaction
P8875,indexed in bibliographic review
P7937,form of creative work
P6872,has written for
P1884,hair color
P3018,located in protected area
P483,recorded at studio or venue
P3356,positive diagnostic predictor
P1686,for work
P4241,refine date
P6884,target muscle
P3975,secretary general
P1050,medical condition
P2286,arterial supply
P140,religion or world view
P814,IUCN protected areas category
P59,constellation
P1201,space tug
P8138,located in the statistical territorial entity
P1434,takes place in fictional universe
P8289,parish church
P3912,newspaper format
P1923,participating team
P7867,category for maps
P8933,category for the view from the item
P930,type of electrification
P9344,has graphical element
P1546,motto
P1792,category of associated people
P149,architectural style
P1389,product certification
P3803,original film format
P1656,unveiled by
P509,cause of death
P967,guest of honor
P2925,domain of saint or deity
P3026,closed on
P3081,damaged
P6271,demonym of
P6086,dramaturge
P111,measured physical quantity
P1013,criterion used
P7469,orientation
P4044,therapeutic area
P8646,expansion of
P7561,category for the interior of the item
P8402,open data portal
P1956,takeoff and landing capability
P5998,distributary
P538,fracturing
P8570,front and back matter
P4968,relevant qualification
P784,mushroom cap shape
P680,molecular function
P4443,card network
P35,head of state
P2715,elected in
P6530,has role in modeling
P1677,index case of
P589,point group
P516,powered by
P1142,political ideology
P7095,end grade
P8345,media franchise
P2700,protocol
P1911,increased expression in
P2827,flower color
P9030,solution to
P2962,title of chess person
P9895,Mexican video game rating category
P9241,demographics of topic
P4688,geomorphological unit
P2159,computes solution to
P6533,type of front suspension
P6437,day of regular release
P2568,repealed by
P3216,ClassInd rating
P823,speaker
P4100,parliamentary group
P7376,worn by
P495,country of origin
P1056,product or material produced
P5053,fastest lap
P301,category's main topic
P2758,CNC film rating (France)
P8115,eligible recipient
P2348,time period
P4452,Thibaudeau classification
P3428,INCAA film rating
P3602,candidacy in election
P3818,KMRB film rating
P3610,fare zone
P3033,package management system
P6803,taxon found at location
P6819,calligrapher
P1412,"languages spoken, written or signed"
P3834,RTC film rating
P277,programming language
P1308,officeholder
P750,distributed by
P4147,conjugate acid
P9191,letterer
P453,character role
P787,spore print color
P840,narrative location
P5832,political coalition
P3437,people or cargo transported
P8453,public transport stop
P3103,has tense
P364,original language of film or TV show
P6532,has phenotype
P4324,combination classification
P7253,color produced
P4543,has listed ingredient
P8874,Hong Kong film rating
P5134,evaluation of
P88,commissioned by
P3189,innervated by
P1885,cathedral
P3092,film crew member
P9810,remix of
P427,taxonomic type
P2587,has phoneme
P1423,template has topic
P1011,excluding
P7984,depicted format
P8927,kunya
P4586,type foundry
P5967,reference vocabulary
P1918,altered regulation leads to
P1995,health specialty
P4185,iconographic symbol
P415,radio format
P3833,diaspora
P5872,perfume note
P1204,Wikimedia portal's main topic
P1910,decreased expression in
P4425,mtDNA haplogroup
P3354,positive therapeutic predictor
P654,direction relative to location
P1310,statement disputed by
P1444,destination point
P1678,has vertex figure
P5353,school district
P7174,school class
P4330,contains
P1032,Digital Rights Management system
P803,professorship
P5095,fault
P118,league
P2633,geography of topic
P800,notable work
P1775,follower of
P8824,attraction to
P1606,natural reservoir of
P1264,valid in period
P4774,biological phase
P3739,inflorescence
P27,country of citizenship
P1660,has index case
P3274,content deliverer
P2679,author of foreword
P913,notation
P1909,side effect
P413,position played on team / speciality
P1534,end cause
P2079,fabrication method
P8464,content partnership category
P9664,named place on map
P1605,has natural reservoir
P5052,supervisory board member
P8852,facial hair
P1537,contributing factor of
P6104,maintained by WikiProject
P1072,readable file format
P6099,clinical trial phase
P5425,Han character in this lexeme
P6259,epoch
P9234,supplement to
P8306,has grouping
P9745,translation of
P1211,fuel system
P4195,category for employees of the organization
P2881,promoted
P469,lakes on river
P542,officially opened by
P8739,prohibits
P2318,debut participant
P2637,RARS rating
P4290,official app
P2675,reply to
P3433,biological variant of
P6186,category for eponymous categories
P275,copyright license
P8746,check-out time
P87,librettist
P1078,Valvetrain configuration
P1363,points/goal scored by
P768,electoral district
P1227,astronomical filter
P1060,pathogen transmission process
P1068,instruction set
P358,discography
P84,architect
P3496,teams classification by points
P6118,season ends
P3985,supports programming language
P3357,negative diagnostic predictor
P2667,corresponding template
P8810,parent (unspecified)
P4733,produced sound
P4628,ICTV virus genome composition
P2505,carries
P1057,chromosome
P2680,author of afterword
P5054,cabinet
P744,asteroid family
P1080,from narrative universe
P1875,represented by
P8030,size designation
P4788,storage device
P135,movement
P9793,setlist
P1210,supercharger
P3648,NatureServe conservation status
P1913,gene duplication association with
P3777,antisense inhibitor of
P7500,comorbidity
P618,source of energy
P923,medical examinations
P788,mushroom ecological type
P8107,bus
P2632,place of detention
P2935,connector
P1012,including
P7600,primary note
P4322,best sprinter classification
P171,parent taxon
P9926,template populates category
P1547,depends on software
P5280,radical
P8032,victim
P272,production company
P1419,shape
P5824,is retracted by
P2416,sports discipline competed in
P3828,wears
P6095,INEP IGC discrete grade
P5389,permanent resident of
P4006,overrules
P708,diocese
P1145,Lagrangian point
P69,educated at
P189,location of discovery
P3094,develops from
P944,Code of nomenclature
P2825,via
P4934,calculated from
P2462,member of the deme
P2937,parliamentary term
P2828,corporate officer
P9047,archaeological site of
P1657,MPAA film rating
P400,platform
P4353,nominated by
P690,space group
P3592,Saros cycle of eclipse
P681,cell component
P425,field of this occupation
P2061,aspect ratio (W:H)
P6364,official color
P8786,dedicated heritage entity
P1789,chief operating officer
P524,temporal range end
P1049,worshipped by
P831,parent club
P1881,list of characters
P2289,venous drainage
P2175,medical condition treated
P3512,means of locomotion
P9161,thesis committee member
P4843,development of anatomical structure
P418,"has seal, badge, or sigil"
P3741,seed dispersal
P8701,has census
P9929,madhhab
P1731,Fach
P4437,FPB rating
P1903,volcanic explosivity index
P2353,statistical unit
P1571,codomain
P972,catalog
P3494,points classification
P5277,grade of kanji
P3461,designated as terrorist by
P688,encodes
P1898,lowest note
P6116,chord progression
P523,temporal range start
P7601,secondary note
P1592,prosecutor
P5051,towards
P200,inflows
P1924,vaccine for
P852,ESRB rating
P703,found in taxon
P3460,colonel-in-chief
P4954,may prevent
P5816,state of conservation
P4614,drainage basin
P2308,class
P4271,rating
P9073,applicable 'stated in' value
P3501,Christian liturgical rite
P2673,next crossing upstream
P1706,together with
P1318,proved by
P2551,used metre
P2578,studies
P5125,Wikimedia outline
P812,academic major
P1887,vice-county
P7169,substitute director/manager
P8058,symbol of
P8764,port calls
P4584,first appearance
P1456,list of monuments
P4446,reward program
P1532,country for sport
P65,site of astronomical discovery
P5826,majority opinion by
P1809,choreographer
P522,type of orbit
P9302,script style
P344,director of photography
P2560,GPU
P2319,elector
P500,exclave of
P407,language of work or name
P1981,FSK film rating
P489,currency symbol description
P2396,image of function
P2156,pseudo crystal habit
P1454,legal form
P467,legislated by
P3358,positive prognostic predictor
P795,located on linear feature
P8745,check-in time
P375,space launch vehicle
P7327,OFLC classification
P2363,NMHH film rating
P3349,designed to carry
P2500,league level below
P1372,binding of software library
P2851,payment types accepted
P7137,acknowledged
P264,record label
P1312,has facet polytope
P5102,nature of statement
P8625,bibliography
P2098,substitute/deputy/replacement of office/officeholder
P736,cover art by
P6112,category for members of a team
P2820,cardinality of this set
P9071,character type
P770,cause of destruction
P1393,proxy
P1170,transmitted signal type
P2821,by-product
P647,drafted by
P531,diplomatic mission sent
P8866,has operator
P6338,colorist
P4743,animal breed
P1313,office held by head of government
P3037,spatial reference system
P7045,chassis
P1026,academic thesis
P7261,use restriction status
P5460,grants
P6149,running mate
P1878,Vox-ATypI classification
P5023,activity policy in this place
P4745,is proceedings from
P6531,observed in
P2629,BBFC rating
P3161,has grammatical mood
P5439,research measurement
P78,top-level Internet domain
P3306,ICAA rating
P4312,camera setup
P8791,digitised by
P1194,received signal type
P2095,co-driver
P783,hymenium type
P537,twinning
P720,asteroid spectral type
P658,tracklist
P6452,CBFC rating
P991,successful candidate
P2238,official symbol
P2674,next crossing downstream
P8324,funder
P2701,file format
P3771,activator of
P5024,choral conductor
P9681,voted on by
P4882,segmental innervation
P7108,location of the point of view
P1780,school of
P1340,eye color
P1302,primary destinations
P8047,country of registry
P6216,copyright status
P928,activating neurotransmitter
P5753,ideographic description sequences
P6568,inscription mentions
P1876,vehicle
P3816,film script
P2378,issued by
P3195,league points system
P5591,normalized Unicode character
P8889,MTRCB rating
P841,feast day
P4599,monomer of
P2848,Wi-Fi access
P608,exhibition history
P2822,by-product of
P7374,educational stage
P8500,Vietnamese middle name
P414,stock exchange
P4424,mandates
P518,applies to part
P6439,has lyrics
P3716,social classification
P5537,Hangul of a Chinese character
P7767,serving temperature
P412,voice type
P289,vessel class
P707,satellite bus
P505,general manager
P369,Sandbox-Item
P6365,member category
P1001,applies to jurisdiction
P2499,league level above
P6886,writing language
P1221,compressor type
P4426,Y-DNA Haplogroup
P1002,engine configuration
P3842,located in present-day administrative territorial entity
P693,cleavage
P1777,manner of
P1574,exemplar of
P1387,political alignment
P4149,conjugate base
P5444,model year
P91,sexual orientation
P30,continent
P2515,costume designer
P2577,admissible rule in
P2550,recording or performance of
P2647,source of material
P8450,peak bagging classification
P611,religious order
P2541,operating area
P1754,category related to list
P3294,encoding
P54,member of sports team
P479,input method
P6885,historical region
P1533,family name identical to this given name
P417,patron saint
P9788,performed at
P837,day in year for periodic occurrence
P2058,depositary
P6875,motif represents
P8403,theorised by
P110,illustrator
P541,office contested
P588,coolant
P1576,lifestyle
P609,terminus location
P1558,tempo marking
P1774,workshop of
P2747,Filmiroda rating
P931,place served by transport hub
P543,oath made by
P3493,legal status (medicine)
P504,home port
P5304,type locality (biology)
P511,honorific prefix
P8127,tournament format
P9237,reissue of
P4908,season
P1199,mode of inheritance
P6166,quotes work
P193,main building contractor
P1917,posttranslational modification association with
P1906,office held by head of state
P945,allegiance
P408,software engine
P5185,grammatical gender
P4647,location of first performance
P1079,launch contractor
P1399,convicted of
P114,airline alliance
P5913,has inflection class
P512,academic degree
P8706,ritual object
P3279,statistical leader
P2365,Roman cognomen
P4220,order of battle
P5514,accredited by
P2501,results
P7252,degree of difficulty
P8308,has column
P735,given name
P126,maintained by
P1408,licensed to broadcast to
P5137,item for this sense
P5009,complies with
P1437,plea
P423,shooting handedness
P8626,opening time
P533,target
P2564,Köppen climate classification
P8193,hardiness of plant
P7782,category for ship name
P306,operating system
P8536,raga
P816,decays to
P2291,charted in
P8901,ELSPA rating
P1912,gene deletion association with
P1383,contains settlement
P5328,revival or touring version of
P2849,produced by
P21,sex or gender
P682,biological process
P6569,taxon especially protected in area
P6758,supported sports team
P5817,state of use
P2371,FAO risk status
P5059,modified version of
P3005,valid in place
P3643,significant environmental impact
P655,translator
P8196,voting system
P1840,investigated by
P2784,Mercalli intensity scale
P9652,personality trait of fictional character
P9028,Consejo de Calificación Cinematográfica rating category
P5307,display technology
P5422,has pattern
P4321,best combative classification
P912,has facility
P3156,Australian Classification
P3967,final event
P7377,tussenvoegsel
P8045,organized response related to outbreak
P3014,laws applied
P6978,Scandinavian middle family name
P4634,premiere type
P6524,expression of
P1192,connecting service
P8031,perpetrator
P3876,category for alumni of educational institution
P4379,youth wing
P4101,dissertation submitted to
P2563,superhuman feature or ability
P2360,intended public
P5607,located in the ecclesiastical territorial entity
P2839,gait
P7084,related category
P57,director
P7604,supervised by
P2922,month of the year
P5970,Medierådet rating
P880,CPU
P2408,set in period
P2239,first aid measures
P1637,undercarriage
P560,direction
P6241,collection creator
P3015,backup or reserve team or crew
P2846,wheelchair accessibility
P1596,penalty
P881,type of variable star
P2756,EIRIN film rating
P5131,possible medical findings
P5804,has program committee member
P2379,deprecated in version
P4387,update method
P5030,talk show guest
P2341,indigenous to
P8097,network bands
P6106,uses capitalization for
P4132,linguistic typology
P8938,artistic director
P1027,conferred by
P4070,identifier shared with
P9977,isotopically modified form of
P2127,International Nuclear Event Scale
P3019,railway signalling system
P785,hymenium attachment
P5805,OSI Model layer location
P941,inspired by
P1877,after a work by
P4969,derivative work
P9239,affiliated worker organisation
P6658,RCQ classification
P6440,maintenance method
P579,IMA status and/or rank
P3969,signed form
P6237,real estate developer
P6718,music video
P1915,gene inversion association with
P92,main regulatory text
P520,armament
P922,magnetic ordering
P5028,sound designer
P925,presynaptic connection
P4844,research intervention
P205,basin country
P8111,recommended unit of measurement
P943,programmer
P8744,economy of topic
P1916,gene substitution association with
P7603,CITES Appendix
P3773,antagonist of
P7727,legislative committee
P3355,negative therapeutic predictor
P1028,donated by
P8225,is metaclass for
P6426,RightsStatements.org statement according to source website
P3452,inferred from
P447,review score by
P7086,start grade
P6224,level of description
P2392,teaching method
P2817,appears in the heritage monument list
P2596,culture
P468,dan/kyu rank
P1478,has immediate cause
P9493,artist files at
P1018,language regulatory body
P485,archives at
P2507,corrigendum / erratum
P2912,distinctive jersey
P7573,IFCO rating
P3310,muscle action
P6855,emergency services
P2974,habitat
P3301,broadcast by
P1654,wing configuration
P8026,LiverTox likelihood score
P2681,is recto of
P9866,GRAC rating
P6939,moved by
P1568,definition domain
P1914,gene insertion association with
P5236,prime factor
P2964,right to vote
P4952,safety classification and labelling
P3490,muscle origin
P916,GSRR rating
P1137,fossil found in this unit
P97,noble title
P1136,solved by
P1851,input set
P16,transport network
P1622,driving side
P4082,captured with
P5025,gens
P1897,highest note
P3093,recovered by
P4661,reservoir created
P550,chivalric order
P1202,carries scientific instrument
P9566,diel cycle
P868,foods traditionally associated
P437,distribution format
P7309,climbing route
P1171,approximation algorithm
P1853,blood type
P3148,repeals
P3259,intangible cultural heritage status
P6153,research site
P5642,risk factor
P1406,script directionality
P4878,symbolizes
P3815,volcano observatory
P5072,presented in
P3919,contributed to creative work
P5658,railway traffic side
P9883,created for
P811,academic minor
P19,place of birth
P4320,mountains classification
P501,enclave within
P8258,field of training
P3415,start period
P9714,taxon range
P5133,has evaluation
P3091,mount
P3440,time signature
P1429,has pet
P3938,named by
P6087,coach of sports team
P3871,tributary orientation
P3082,destroyed
P1591,defendant
P2377,MediaWiki hooks used
P642,of
P1703,is pollinated by
P2321,general classification of race participants
P6195,funding scheme
P5152,KAVI rating
P3780,active ingredient in
P2414,substrate of
P9901,issuing agent of work
P4000,has fruit type
P2746,production statistics
P4600,polymer of
P4444,reward
P3858,route diagram
P2852,emergency phone number
P834,train depot
P702,encoded by
P9899,music created for
P2831,totem
P7643,covered period
P2682,is verso of
P660,EC enzyme classification
P2279,ambitus
P3096,KML file
P1321,place of origin (Switzerland)
P8203,supported metadata
P9700,delta of
P9597,type of lens
P545,torch lit by
P4151,game mechanics
P2869,record or record progression
P725,voice actor
P6962,narrative motif
P1620,plaintiff
P6840,student organization of
P397,parent astronomical body
P2366,Roman agnomen
P459,determination method
P1299,depicted by
P3989,members have occupation
P7959,historic county
P462,color
P6534,type of rear suspension
P2976,patronym or matronym for this name
P1776,circle of
P128,regulates (molecular biology)
P6540,multi-channel network
P3261,anatomical branch of
P5314,property scope
P241,military branch
P1791,category of people buried here
P1064,track gauge
P1891,signatory
P8864,identity element
P2842,place of marriage
P3174,art director
P4850,permitted food additive
P734,family name
P2429,expected completeness
P421,located in time zone
P6587,league system
P548,version type
P5150,IGAC rating
P10019,term in higher taxon
P3264,radix
P2739,typeface/font used
P2302,property constraint
P410,military rank
P3335,associated hazard
P1640,curator
P546,docking port
P1046,discovery method
P942,theme music
P9969,catalogue raisonné
P5070,French standard size for oil paintings
P8571,external auditor
P8363,study type
P2989,has grammatical case
P7419,gender educated
P2684,Kijkwijzer rating
P5012,special rank
P1445,fictional universe described in
P7078,typing discipline
P1672,this taxon is source of
P3701,incarnation of
P3438,vehicle normally used
P9600,oral history at
P5132,suggests the existence of
P2702,dataset distribution
P3497,teams classification by time
P826,tonality
P8872,has marker
P8480,Ofsted inspection rating
P873,phase point
P1652,referee
P3447,mirrors data from
P4224,category contains
P765,surface played on
P1151,topic's main Wikimedia portal
P3262,has anatomical branch
P376,located on astronomical body
P5026,lighting designer
P9215,set during recurring event
P634,captain
P7861,category for files created with program
P3150,birthday
P3489,pregnancy category
P7936,business model
P5881,projection designer
P1740,category for films shot at this location
P5138,season of club or team
P9353,does not have cause
P2389,organization directed by the office or position
P2288,lymphatic drainage
P9549,official podcast
P101,field of work
P562,central bank/issuer
P1589,lowest point
P2517,category for recipients of this award
P5323,attested in
P7763,copyright status as a creator
P3025,open days
P924,possible treatment
P3022,flag bearer
P1595,charge
P4002,WFD Ecological status
P2894,day of week
P1196,manner of death
P4624,squadron embarked
P3374,endianness
P2033,category for pictures taken with camera
P3095,practiced by
P7514,landscape architect
P8413,academic appointment
P9660,not found in
P2376,superpartner of
P102,member of political party
P1880,measurement scale
P1536,immediate cause of
P5056,patronym or matronym for this person
P1479,has contributing factor
P9831,release of
P694,replaced synonym (for nom. nov.)
P870,instrumentation
P3450,sports season of league or competition
P3966,programming paradigm
P8371,"references work, tradition or theory"
P6977,review of
P1950,second family name in Spanish name
P199,business division
P2591,grammatical option indicates
P669,located on street or square
P780,symptoms and signs
P8001,endorsed by
P970,neurological function
P8307,has sorting
P1464,category for people born here
P209,highest judicial authority
P3263,base
P5166,established from medical condition
P878,avionics
P1349,ploidy
P8411,set in environment
P7501,audio system
P5873,place of devotion
P7010,imprimatur granted by
P3781,has active ingredient
P612,mother house
P748,appointed by
P3931,copyright holder
P8693,fandom
P8738,permits
P1029,crew member(s)
P3679,stock market index
P1283,filmography
P1531,"parent of this hybrid, breed, or cultivar"
P4202,WFD Chemical status
P2388,office held by head of the organization
P8596,category for the exterior of the item
P3902,had as last meal
P172,ethnic group
P872,printed by
P1999,UNESCO language status
P4967,prerequisite
P4884,court
P5196,output method
P552,handedness
P565,crystal habit
P1347,military casualty classification
P1753,list related to category
P7779,member of military unit
P6193,ratified by
P5589,microstructure
P5248,medical evacuation to
P6022,"expression, gesture or body pose"
P5109,has grammatical gender
P5707,samples from work
P196,minor planet group
P624,guidance system
P789,edibility
P4032,reviewed by
P832,public holiday
P2868,subject has role
P2012,cuisine
P194,legislative body
P470,Eight Banner register
P9059,subdivision of this unit
P567,underlies
P105,taxon rank
P7479,key col
P1604,biosafety level
P2359,Roman nomen gentilicium
P9419,personal library at
P3416,end period
P8194,hardiness zone
P1290,godparent
P914,USK rating
P1594,judge
P8431,course
P2643,Carnegie Classification of Institutions of Higher Education
P2975,host
P7075,mod of
P5021,assessment
P2384,statement describes
P248,stated in
P6339,reports periodicity
P4622,trophy awarded
P143,imported from Wikimedia project
P887,based on heuristic
P4792,dam
P5623,type of water supply
P3650,JMK film rating
P5572,expressed in
P9192,sensors
P6291,advertises
P739,ammunition
P1074,fictional analog of
P1073,writable file format
P607,conflict
P553,website account on
P7160,manner of inhumane treatment
P1750,name day
P1593,defender
P4791,commanded by
P4810,reads environment variable
P1303,instrument
P3028,open period to
P7378,item disputed by
P210,party chief representative
P1433,published in
P5206,has conjugation class
P1582,natural product of taxon
P937,work location
P610,highest point
P7508,election called by
P208,executive body
P751,introduced feature
P8670,character designer
P398,child astronomical body
P2738,disjoint union of
P790,approved by
P2433,gender of a scientific name of a genus
P817,decay mode
P3831,object has role
P8929,religion or world view (OBSOLETE)
P2575,measures
P2445,metasubclass of
P1041,socket supported
P853,CERO rating
P1779,possible creator
P86,composer
P1611,NATO code for grade
P1200,bodies of water basin category
P3822,rules for classification
P5201,IMDA rating
P3776,inhibitor of
P7781,exonerated of
P5769,editor-in-chief
P8627,closing time
P7152,copyright exemption
P2770,source of income
P4794,season starts
P926,postsynaptic connection
