id,en,ja,en_negated,ja_negated,count
P1034,main food source,主な食料源,not main food source,いいえ 主な食料源,326
P457,foundational text,設立文,not foundational text,いいえ 設立文,50541
P8004,ordered by,指示者,not ordered by,いいえ 指示者,12
P532,port of registry,船籍港,not port of registry,いいえ 船籍港,25629
P740,location of formation,結成場所,not location of formation,いいえ 結成場所,44482
P1817,addressee,宛名,not addressee,いいえ 宛名,49021
P122,basic form of government,政治体制,not basic form of government,いいえ 政治体制,2152
P58,screenwriter,脚本,not screenwriter,いいえ 脚本,186866
P2597,Gram staining,グラム染色,not Gram staining,いいえ グラム染色,14932
P3085,qualifies for event,出場資格判断イベント,not qualifies for event,いいえ 出場資格判断イベント,2803
P1704,is pollinator of,以下の送粉者,not is pollinator of,いいえ 以下の送粉者,58
P1716,brand,ブランド,not brand,いいえ ブランド,15374
P3173,offers view on,眺望できるもの,not offers view on,いいえ 眺望できるもの,905
P1165,home world,故郷,not home world,いいえ 故郷,1648
P741,playing hand,ラケットの持ち手,not playing hand,いいえ ラケットの持ち手,6284
P4043,emulates,エミュレート対象,not emulates,いいえ エミュレート対象,345
P6889,microarchitecture,マイクロアーキテクチャ,not microarchitecture,いいえ マイクロアーキテクチャ,198
P3719,regulated by,規制当局,not regulated by,いいえ 規制当局,475
P8839,hairstyle,髪型,not hairstyle,いいえ 髪型,595
P534,streak color,条痕色,not streak color,いいえ 条痕色,680
P7167,does not have effect,以下は無効,not does not have effect,いいえ 以下は無効,30
P1951,investor,投資家,not investor,いいえ 投資家,6294
P1035,honorific suffix,敬称としての接尾辞,not honorific suffix,いいえ 敬称としての接尾辞,773
P2554,production designer,プロダクションデザイナー,not production designer,いいえ プロダクションデザイナー,13508
P2358,Roman praenomen,古代ローマのプラエノーメン,not Roman praenomen,いいえ 古代ローマのプラエノーメン,6468
P66,ancestral home,祖籍,not ancestral home,いいえ 祖籍,1811
P8006,footedness,利き足,not footedness,いいえ 利き足,514
P2853,electrical plug type,コンセントの種類,not electrical plug type,いいえ コンセントの種類,531
P7163,typically sells,取扱商品,not typically sells,いいえ 取扱商品,299
P3275,storyboard artist,絵コンテ,not storyboard artist,いいえ 絵コンテ,697
P7938,associated electoral district,関連する選挙区,not associated electoral district,いいえ 関連する選挙区,62894
P106,occupation,職業,not occupation,いいえ 職業,9260065
P636,route of administration,投与経路,not route of administration,いいえ 投与経路,3001
P85,anthem,アンセム,not anthem,いいえ アンセム,1691
P2841,age of onset,発症年齢,not age of onset,いいえ 発症年齢,7
P1811,list of episodes,エピソードの一覧,not list of episodes,いいえ エピソードの一覧,4553
P10067,train melody,発車メロディ,not train melody,いいえ 発車メロディ,14
P631,structural engineer,構造設計,not structural engineer,いいえ 構造設計,1781
P5588,invasive to,侵入先,not invasive to,いいえ 侵入先,107
P1158,location of landing,着地点,not location of landing,いいえ 着地点,502
P103,native language,母語,not native language,いいえ 母語,287778
P5995,kit supplier,キットサプライヤー,not kit supplier,いいえ キットサプライヤー,293
P37,official language,公用語,not official language,いいえ 公用語,21472
P1435,heritage designation,遺産保護指定,not heritage designation,いいえ 遺産保護指定,2062512
P689,afflicts,障害部位,not afflicts,いいえ 障害部位,4196
P568,overlies,下位層,not overlies,いいえ 下位層,1555
P2453,nominee,候補者,not nominee,いいえ 候補者,164
P9813,container,容器,not container,いいえ 容器,60
P38,currency,通貨,not currency,いいえ 通貨,2098
P183,endemic to,生息域,not endemic to,いいえ 生息域,32262
P163,flag,旗,not flag,いいえ 旗,6539
P556,crystal system,結晶系,not crystal system,いいえ 結晶系,5448
P4988,test method,試験方法,not test method,いいえ 試験方法,27
P6948,video system,ビデオシステム,not video system,いいえ ビデオシステム,7
P2992,software quality assurance,ソフトウェア品質保証,not software quality assurance,いいえ ソフトウェア品質保証,447
P2438,narrator,ナレーター,not narrator,いいえ ナレーター,2267
P3491,muscle insertion,筋停止部,not muscle insertion,いいえ 筋停止部,57
P282,writing system,文字体系,not writing system,いいえ 文字体系,611234
P291,place of publication,出版地,not place of publication,いいえ 出版地,271222
P2548,strand orientation,DNA鎖の向き,not strand orientation,いいえ DNA鎖の向き,1035000
P6275,copyright representative,著作権代表者,not copyright representative,いいえ 著作権代表者,81054
P20,place of death,死亡地,not place of death,いいえ 死亡地,1212693
P3680,statement supported by,この主張の支持者,not statement supported by,いいえ この主張の支持者,58
P5202,adapted by,翻案,not adapted by,いいえ 翻案,3430
P2184,history of topic,主題の歴史,not history of topic,いいえ 主題の歴史,2171
P3027,open period from,営業開始日,not open period from,いいえ 営業開始日,16
P411,canonization status,列聖の段階,not canonization status,いいえ 列聖の段階,11488
P450,astronaut mission,宇宙飛行士のミッション,not astronaut mission,いいえ 宇宙飛行士のミッション,1836
P2813,house publication,社内報,not house publication,いいえ 社内報,1120
P1455,list of works,作品集,not list of works,いいえ 作品集,1228
P6942,animator,アニメーター,not animator,いいえ アニメーター,4025
P3712,objective of project or action,計画や行為の目的,not objective of project or action,いいえ 計画や行為の目的,1632
P7406,style of karate,空手の流派,not style of karate,いいえ 空手の流派,30
P2545,bowling style,ボウリング・スタイル,not bowling style,いいえ ボウリング・スタイル,1371
P8822,epithet,形容語句,not epithet,いいえ 形容語句,26
P3764,pole position,ポールポジション,not pole position,いいえ ポールポジション,4769
P2361,online service,オンラインサービス,not online service,いいえ オンラインサービス,48
P5126,assistant director,助監督,not assistant director,いいえ 助監督,559
P2882,relegated,勝利した対戦相手,not relegated,いいえ 勝利した対戦相手,2906
P2634,sitter,作品モデル,not sitter,いいえ 作品モデル,280
P1625,has melody,引用された旋律,not has melody,いいえ 引用された旋律,2139
P5096,member of the crew of,以下の乗組員,not member of the crew of,いいえ 以下の乗組員,1386
P1990,species kept,飼育生物,not species kept,いいえ 飼育生物,7902
P9972,illustrative content,実例となる内容,not illustrative content,いいえ 実例となる内容,61
P6954,online access status,アクセス状態,not online access status,いいえ アクセス状態,5602
P136,genre,ジャンル,not genre,いいえ ジャンル,1527395
P452,industry,業種,not industry,いいえ 業種,104004
P1462,standards body,標準化団体,not standards body,いいえ 標準化団体,2799
P449,original broadcaster,放送当初のネットワーク,not original broadcaster,いいえ 放送当初のネットワーク,93087
P6001,applies to people,あてはまる人々,not applies to people,いいえ あてはまる人々,16
P2872,visitor centre,ビジターセンター,not visitor centre,いいえ ビジターセンター,554
P5800,narrative role,作中の役割,not narrative role,いいえ 作中の役割,4591
P517,interaction,相互作用,not interaction,いいえ 相互作用,291
P7937,form of creative work,創作物の形式,not form of creative work,いいえ 創作物の形式,342698
P6872,has written for,寄稿先,not has written for,いいえ 寄稿先,3252
P1884,hair color,髪の色,not hair color,いいえ 髪の色,11981
P3018,located in protected area,位置する保護区,not located in protected area,いいえ 位置する保護区,36798
P483,recorded at studio or venue,録音場所,not recorded at studio or venue,いいえ 録音場所,5412
P1686,for work,対象作品,not for work,いいえ 対象作品,50
P4241,refine date,該当時期,not refine date,いいえ 該当時期,0
P3975,secretary general,総書記,not secretary general,いいえ 総書記,1431
P1050,medical condition,医学的状況,not medical condition,いいえ 医学的状況,241962
P2286,arterial supply,動脈支配,not arterial supply,いいえ 動脈支配,288
P140,religion or world view,宗教,not religion or world view,いいえ 宗教,444622
P59,constellation,星座,not constellation,いいえ 星座,7371215
P8138,located in the statistical territorial entity,位置する統計区画,not located in the statistical territorial entity,いいえ 位置する統計区画,31986
P1434,takes place in fictional universe,舞台の架空世界,not takes place in fictional universe,いいえ 舞台の架空世界,15814
P3912,newspaper format,新聞の形式,not newspaper format,いいえ 新聞の形式,4083
P1923,participating team,参加チーム,not participating team,いいえ 参加チーム,148066
P7867,category for maps,当地の地図のカテゴリ,not category for maps,いいえ 当地の地図のカテゴリ,15839
P8933,category for the view from the item,眺望のカテゴリ,not category for the view from the item,いいえ 眺望のカテゴリ,6902
P930,type of electrification,電化方式,not type of electrification,いいえ 電化方式,5562
P1546,motto,標語,not motto,いいえ 標語,509
P1792,category of associated people,当地の人々のカテゴリ,not category of associated people,いいえ 当地の人々のカテゴリ,29630
P149,architectural style,建築様式,not architectural style,いいえ 建築様式,124958
P1389,product certification,製品認証基準,not product certification,いいえ 製品認証基準,8990
P1656,unveiled by,除幕者,not unveiled by,いいえ 除幕者,444
P509,cause of death,死因,not cause of death,いいえ 死因,115623
P967,guest of honor,来賓,not guest of honor,いいえ 来賓,803
P3026,closed on,休業日,not closed on,いいえ 休業日,136
P3081,damaged,半壊,not damaged,いいえ 半壊,86
P6271,demonym of,以下の住人の呼称,not demonym of,いいえ 以下の住人の呼称,2640
P111,measured physical quantity,測られる物理量,not measured physical quantity,いいえ 測られる物理量,3611
P1013,criterion used,使用した基準,not criterion used,いいえ 使用した基準,69
P8646,expansion of,以下の拡張パック,not expansion of,いいえ 以下の拡張パック,1507
P5998,distributary,派川,not distributary,いいえ 派川,119
P538,fracturing,断口,not fracturing,いいえ 断口,11
P4968,relevant qualification,関連する資格,not relevant qualification,いいえ 関連する資格,55
P680,molecular function,分子機能,not molecular function,いいえ 分子機能,1210165
P35,head of state,元首,not head of state,いいえ 元首,1841
P2715,elected in,選出選挙名,not elected in,いいえ 選出選挙名,183
P516,powered by,動力装置・エンジン,not powered by,いいえ 動力装置・エンジン,11110
P1142,political ideology,政治イデオロギー,not political ideology,いいえ 政治イデオロギー,23809
P7095,end grade,最終学年,not end grade,いいえ 最終学年,3729
P8345,media franchise,メディア・フランチャイズ,not media franchise,いいえ メディア・フランチャイズ,28359
P2700,protocol,プロトコル,not protocol,いいえ プロトコル,231
P2827,flower color,花の色,not flower color,いいえ 花の色,551
P2962,title of chess person,チェスのタイトル,not title of chess person,いいえ チェスのタイトル,31178
P9241,demographics of topic,主題の人口統計,not demographics of topic,いいえ 主題の人口統計,1155
P2159,computes solution to,解決可能問題,not computes solution to,いいえ 解決可能問題,119
P2568,repealed by,以下の文書によって廃止,not repealed by,いいえ 以下の文書によって廃止,33377
P823,speaker,講演者,not speaker,いいえ 講演者,5293
P4100,parliamentary group,会派,not parliamentary group,いいえ 会派,1970
P7376,worn by,着用者,not worn by,いいえ 着用者,182
P495,country of origin,本国,not country of origin,いいえ 本国,1345801
P1056,product or material produced,生産品目,not product or material produced,いいえ 生産品目,45764
P5053,fastest lap,最速周回者,not fastest lap,いいえ 最速周回者,2721
P8115,eligible recipient,受賞対象,not eligible recipient,いいえ 受賞対象,68
P2348,time period,時代,not time period,いいえ 時代,202625
P3602,candidacy in election,立候補選挙,not candidacy in election,いいえ 立候補選挙,158938
P3033,package management system,パッケージ管理システム,not package management system,いいえ パッケージ管理システム,192
P277,programming language,プログラミング言語,not programming language,いいえ プログラミング言語,12192
P1308,officeholder,在職者,not officeholder,いいえ 在職者,17533
P750,distributed by,配給元,not distributed by,いいえ 配給元,158589
P4147,conjugate acid,共役酸,not conjugate acid,いいえ 共役酸,367
P453,character role,配役,not character role,いいえ 配役,506
P840,narrative location,物語の舞台,not narrative location,いいえ 物語の舞台,91176
P5832,political coalition,政党連合,not political coalition,いいえ 政党連合,155
P3103,has tense,時制,not has tense,いいえ 時制,145
P5134,evaluation of,以下の評価,not evaluation of,いいえ 以下の評価,26
P88,commissioned by,依頼者,not commissioned by,いいえ 依頼者,23429
P3189,innervated by,支配神経,not innervated by,いいえ 支配神経,293
P1885,cathedral,聖堂,not cathedral,いいえ 聖堂,2133
P3092,film crew member,スタッフ,not film crew member,いいえ スタッフ,4973
P427,taxonomic type,タイプ属・種,not taxonomic type,いいえ タイプ属・種,28515
P1011,excluding,以下を除く,not excluding,いいえ 以下を除く,6
P1995,health specialty,診療科,not health specialty,いいえ 診療科,10263
P654,direction relative to location,方位,not direction relative to location,いいえ 方位,25
P1310,statement disputed by,この主張の反対者,not statement disputed by,いいえ この主張の反対者,5
P1444,destination point,目的地,not destination point,いいえ 目的地,25554
P5353,school district,学区,not school district,いいえ 学区,9780
P7174,school class,学校のクラス,not school class,いいえ 学校のクラス,5
P4330,contains,内容,not contains,いいえ 内容,8269
P803,professorship,教授職,not professorship,いいえ 教授職,12404
P5095,fault,断層,not fault,いいえ 断層,20
P118,league,リーグ,not league,いいえ リーグ,192730
P2633,geography of topic,主題の地理,not geography of topic,いいえ 主題の地理,726
P800,notable work,主要作品,not notable work,いいえ 主要作品,96985
P1775,follower of,以下のフォロワー,not follower of,いいえ 以下のフォロワー,22
P1606,natural reservoir of,以下の自然宿主,not natural reservoir of,いいえ 以下の自然宿主,17
P1264,valid in period,あてはまる期間,not valid in period,いいえ あてはまる期間,219
P4774,biological phase,生物学的時期,not biological phase,いいえ 生物学的時期,21
P27,country of citizenship,国籍,not country of citizenship,いいえ 国籍,4426813
P1660,has index case,初発症例,not has index case,いいえ 初発症例,28
P3274,content deliverer,コンテンツの提供元,not content deliverer,いいえ コンテンツの提供元,6
P2679,author of foreword,まえがきの筆者,not author of foreword,いいえ まえがきの筆者,1543
P913,notation,表記法,not notation,いいえ 表記法,214
P1909,side effect,副作用,not side effect,いいえ 副作用,39
P413,position played on team / speciality,ポジション,not position played on team / speciality,いいえ ポジション,401425
P1534,end cause,終了理由,not end cause,いいえ 終了理由,171
P2079,fabrication method,制作技法,not fabrication method,いいえ 制作技法,126162
P8464,content partnership category,このパートナーシップのカテゴリ,not content partnership category,いいえ このパートナーシップのカテゴリ,398
P1605,has natural reservoir,自然宿主,not has natural reservoir,いいえ 自然宿主,443
P8852,facial hair,髭,not facial hair,いいえ 髭,365
P1537,contributing factor of,以下の寄与因子,not contributing factor of,いいえ 以下の寄与因子,324
P6099,clinical trial phase,臨床試験の段階,not clinical trial phase,いいえ 臨床試験の段階,177424
P6259,epoch,元期,not epoch,いいえ 元期,8076517
P2881,promoted,選抜された対戦相手,not promoted,いいえ 選抜された対戦相手,1228
P469,lakes on river,関係する湖,not lakes on river,いいえ 関係する湖,3384
P542,officially opened by,公式開会者,not officially opened by,いいえ 公式開会者,1047
P8739,prohibits,以下を禁止する,not prohibits,いいえ 以下を禁止する,16
P2318,debut participant,初参加者,not debut participant,いいえ 初参加者,217
P2675,reply to,返信先,not reply to,いいえ 返信先,387
P275,copyright license,利用許諾,not copyright license,いいえ 利用許諾,161241
P8746,check-out time,チェックアウト時間,not check-out time,いいえ チェックアウト時間,2495
P87,librettist,台本作家,not librettist,いいえ 台本作家,7358
P1363,points/goal scored by,得点者,not points/goal scored by,いいえ 得点者,2441
P768,electoral district,選挙区,not electoral district,いいえ 選挙区,18986
P1068,instruction set,命令セット,not instruction set,いいえ 命令セット,448
P358,discography,ディスコグラフィ,not discography,いいえ ディスコグラフィ,11952
P84,architect,設計,not architect,いいえ 設計,75317
P6118,season ends,シーズン終了時期,not season ends,いいえ シーズン終了時期,39
P3985,supports programming language,サポートするプログラミング言語,not supports programming language,いいえ サポートするプログラミング言語,228
P2667,corresponding template,対応するテンプレート,not corresponding template,いいえ 対応するテンプレート,860
P4733,produced sound,発生音,not produced sound,いいえ 発生音,56
P2505,carries,通るもの,not carries,いいえ 通るもの,12478
P1057,chromosome,染色体,not chromosome,いいえ 染色体,608710
P2680,author of afterword,あとがきの筆者,not author of afterword,いいえ あとがきの筆者,99
P5054,cabinet,内閣,not cabinet,いいえ 内閣,5
P744,asteroid family,小惑星族,not asteroid family,いいえ 小惑星族,184
P1080,from narrative universe,登場する架空世界,not from narrative universe,いいえ 登場する架空世界,31385
P1875,represented by,仲介者,not represented by,いいえ 仲介者,8117
P4788,storage device,記憶装置,not storage device,いいえ 記憶装置,582
P135,movement,ムーブメント,not movement,いいえ ムーブメント,58648
P9793,setlist,セットリスト,not setlist,いいえ セットリスト,140
P1210,supercharger,スーパーチャージャー,not supercharger,いいえ スーパーチャージャー,7
P7500,comorbidity,合併症,not comorbidity,いいえ 合併症,19
P618,source of energy,エネルギー源,not source of energy,いいえ エネルギー源,6188
P923,medical examinations,診察,not medical examinations,いいえ 診察,993
P2632,place of detention,収監場所,not place of detention,いいえ 収監場所,145141
P2935,connector,コネクタ,not connector,いいえ コネクタ,788
P1012,including,以下を含める,not including,いいえ 以下を含める,59
P171,parent taxon,上位タクソン,not parent taxon,いいえ 上位タクソン,3600730
P1547,depends on software,依存しているソフトウェア,not depends on software,いいえ 依存しているソフトウェア,18192
P5280,radical,部首,not radical,いいえ 部首,2355
P8032,victim,被害者,not victim,いいえ 被害者,870
P272,production company,制作会社,not production company,いいえ 制作会社,119102
P1419,shape,形状,not shape,いいえ 形状,1875
P5824,is retracted by,以下によって撤回,not is retracted by,いいえ 以下によって撤回,1462
P2416,sports discipline competed in,競技種目,not sports discipline competed in,いいえ 競技種目,49498
P3828,wears,以下を着用,not wears,いいえ 以下を着用,1752
P5389,permanent resident of,永住権保有国,not permanent resident of,いいえ 永住権保有国,1288
P4006,overrules,以下の判例を変更,not overrules,いいえ 以下の判例を変更,10
P69,educated at,出身校,not educated at,いいえ 出身校,2269402
P189,location of discovery,発見場所,not location of discovery,いいえ 発見場所,26285
P3094,develops from,以下から発生,not develops from,いいえ 以下から発生,110
P2825,via,経由地,not via,いいえ 経由地,861
P4934,calculated from,以下から算出,not calculated from,いいえ 以下から算出,578
P2937,parliamentary term,議会開催期,not parliamentary term,いいえ 議会開催期,6378
P2828,corporate officer,執行役員,not corporate officer,いいえ 執行役員,98
P400,platform,プラットフォーム,not platform,いいえ プラットフォーム,98555
P4353,nominated by,推薦者,not nominated by,いいえ 推薦者,230
P6364,official color,オフィシャル・カラー,not official color,いいえ オフィシャル・カラー,3090
P1789,chief operating officer,最高執行責任者,not chief operating officer,いいえ 最高執行責任者,68
P1049,worshipped by,信仰元,not worshipped by,いいえ 信仰元,2380
P831,parent club,親クラブ,not parent club,いいえ 親クラブ,4473
P1881,list of characters,登場人物の一覧,not list of characters,いいえ 登場人物の一覧,878
P2175,medical condition treated,対象となる医学的状態,not medical condition treated,いいえ 対象となる医学的状態,6992
P3512,means of locomotion,移動手段,not means of locomotion,いいえ 移動手段,103
P4843,development of anatomical structure,解剖学的構造の発生,not development of anatomical structure,いいえ 解剖学的構造の発生,160
P3741,seed dispersal,種子の散布方法,not seed dispersal,いいえ 種子の散布方法,9
P2353,statistical unit,統計単位,not statistical unit,いいえ 統計単位,25
P1571,codomain,終域,not codomain,いいえ 終域,76
P972,catalog,カタログ,not catalog,いいえ カタログ,69086
P3461,designated as terrorist by,テロ組織と認定した国,not designated as terrorist by,いいえ テロ組織と認定した国,238
P688,encodes,遺伝子産物,not encodes,いいえ 遺伝子産物,973826
P1898,lowest note,最低音,not lowest note,いいえ 最低音,9
P1592,prosecutor,検察官,not prosecutor,いいえ 検察官,426
P5051,towards,方面,not towards,いいえ 方面,64
P200,inflows,流入源,not inflows,いいえ 流入源,14887
P1924,vaccine for,ワクチンの対象,not vaccine for,いいえ ワクチンの対象,203
P703,found in taxon,これを持つタクソン,not found in taxon,いいえ これを持つタクソン,2853804
P5816,state of conservation,保全状態,not state of conservation,いいえ 保全状態,32936
P4614,drainage basin,分水嶺,not drainage basin,いいえ 分水嶺,79530
P2308,class,クラス,not class,いいえ クラス,4
P4271,rating,等級,not rating,いいえ 等級,380
P2673,next crossing upstream,上流側の構築物,not next crossing upstream,いいえ 上流側の構築物,1587
P1706,together with,以下とともに,not together with,いいえ 以下とともに,72
P1318,proved by,証明した人,not proved by,いいえ 証明した人,125
P2578,studies,研究分野,not studies,いいえ 研究分野,1954
P812,academic major,大学における専攻,not academic major,いいえ 大学における専攻,2838
P8058,symbol of,以下の象徴,not symbol of,いいえ 以下の象徴,49
P8764,port calls,寄港地,not port calls,いいえ 寄港地,25
P4584,first appearance,初登場,not first appearance,いいえ 初登場,6985
P1456,list of monuments,記念碑の一覧,not list of monuments,いいえ 記念碑の一覧,20144
P4446,reward program,報奨プログラム,not reward program,いいえ 報奨プログラム,275
P1532,country for sport,代表国,not country for sport,いいえ 代表国,201826
P65,site of astronomical discovery,天文学的発見をした場所,not site of astronomical discovery,いいえ 天文学的発見をした場所,53750
P1809,choreographer,振付師,not choreographer,いいえ 振付師,4208
P522,type of orbit,衛星軌道の種類,not type of orbit,いいえ 衛星軌道の種類,1169
P344,director of photography,撮影監督,not director of photography,いいえ 撮影監督,91536
P2560,GPU,GPU,not GPU,いいえ GPU,159
P2319,elector,選挙人,not elector,いいえ 選挙人,67
P500,exclave of,飛地の本体,not exclave of,いいえ 飛地の本体,130
P407,language of work or name,言語,not language of work or name,いいえ 言語,14800503
P2396,image of function,像,not image of function,いいえ 像,47
P1454,legal form,組織形態,not legal form,いいえ 組織形態,197130
P467,legislated by,制定した立法府,not legislated by,いいえ 制定した立法府,46724
P375,space launch vehicle,打ち上げロケット,not space launch vehicle,いいえ 打ち上げロケット,6763
P3349,designed to carry,輸送対象,not designed to carry,いいえ 輸送対象,166
P2851,payment types accepted,料金の支払い方法,not payment types accepted,いいえ 料金の支払い方法,39226
P7137,acknowledged,謝辞の相手,not acknowledged,いいえ 謝辞の相手,858
P264,record label,レコード・レーベル,not record label,いいえ レコード・レーベル,338731
P5102,nature of statement,情報の状況,not nature of statement,いいえ 情報の状況,29
P8625,bibliography,書誌,not bibliography,いいえ 書誌,70
P736,cover art by,装丁家／ジャケットデザイナー,not cover art by,いいえ 装丁家／ジャケットデザイナー,6718
P9071,character type,キャラクターのタイプ,not character type,いいえ キャラクターのタイプ,3186
P770,cause of destruction,破壊原因,not cause of destruction,いいえ 破壊原因,1380
P1393,proxy,代理人,not proxy,いいえ 代理人,49
P2821,by-product,副産物,not by-product,いいえ 副産物,49
P647,drafted by,ドラフト指名したチーム,not drafted by,いいえ ドラフト指名したチーム,11790
P531,diplomatic mission sent,在外公館,not diplomatic mission sent,いいえ 在外公館,1710
P8866,has operator,以下の演算を持つ,not has operator,いいえ 以下の演算を持つ,7
P6338,colorist,カラリスト,not colorist,いいえ カラリスト,1312
P4743,animal breed,家畜の品種,not animal breed,いいえ 家畜の品種,8622
P1313,office held by head of government,行政府の長の地位,not office held by head of government,いいえ 行政府の長の地位,62785
P7045,chassis,シャシ,not chassis,いいえ シャシ,48
P1026,academic thesis,学位論文,not academic thesis,いいえ 学位論文,11022
P7261,use restriction status,使用制限,not use restriction status,いいえ 使用制限,415440
P5460,grants,授与する学位・称号,not grants,いいえ 授与する学位・称号,696
P5023,activity policy in this place,利用案内,not activity policy in this place,いいえ 利用案内,130
P3161,has grammatical mood,文法的法,not has grammatical mood,いいえ 文法的法,109
P78,top-level Internet domain,トップレベルドメイン,not top-level Internet domain,いいえ トップレベルドメイン,344
P4312,camera setup,カメラ・セットアップ,not camera setup,いいえ カメラ・セットアップ,1871
P8791,digitised by,デジタル化した者,not digitised by,いいえ デジタル化した者,2705
P2095,co-driver,コ・ドライバー,not co-driver,いいえ コ・ドライバー,48
P537,twinning,双晶,not twinning,いいえ 双晶,10
P720,asteroid spectral type,スペクトル型,not asteroid spectral type,いいえ スペクトル型,419
P658,tracklist,収録曲,not tracklist,いいえ 収録曲,33907
P991,successful candidate,当選者,not successful candidate,いいえ 当選者,23167
P2238,official symbol,公式シンボル,not official symbol,いいえ 公式シンボル,1419
P2674,next crossing downstream,下流側の構築物,not next crossing downstream,いいえ 下流側の構築物,1604
P8324,funder,資金提供者,not funder,いいえ 資金提供者,1904
P2701,file format,ファイル形式,not file format,いいえ ファイル形式,566
P4882,segmental innervation,分節性神経支配,not segmental innervation,いいえ 分節性神経支配,5
P7108,location of the point of view,展望場所,not location of the point of view,いいえ 展望場所,512
P1780,school of,所属学派,not school of,いいえ 所属学派,19
P1340,eye color,目の色,not eye color,いいえ 目の色,10047
P1302,primary destinations,主な経由都市,not primary destinations,いいえ 主な経由都市,3923
P8047,country of registry,船籍国,not country of registry,いいえ 船籍国,68644
P6216,copyright status,著作権の状況,not copyright status,いいえ 著作権の状況,1817697
P6568,inscription mentions,銘に書かれた対象,not inscription mentions,いいえ 銘に書かれた対象,1719
P1876,vehicle,船,not vehicle,いいえ 船,846
P2378,issued by,ID発行者,not issued by,いいえ ID発行者,1797
P3195,league points system,リーグのポイント制度,not league points system,いいえ リーグのポイント制度,438
P841,feast day,祭日,not feast day,いいえ 祭日,8747
P4599,monomer of,以下のモノマー,not monomer of,いいえ 以下のモノマー,61
P2822,by-product of,以下の副産物,not by-product of,いいえ 以下の副産物,35
P7374,educational stage,教育段階,not educational stage,いいえ 教育段階,81
P414,stock exchange,証券取引所,not stock exchange,いいえ 証券取引所,13231
P518,applies to part,あてはまる部分,not applies to part,いいえ あてはまる部分,203
P6439,has lyrics,歌詞付き,not has lyrics,いいえ 歌詞付き,404
P7767,serving temperature,提供温度,not serving temperature,いいえ 提供温度,29
P412,voice type,声域,not voice type,いいえ 声域,34254
P505,general manager,ゼネラルマネージャー,not general manager,いいえ ゼネラルマネージャー,1482
P1001,applies to jurisdiction,管轄・適用区域,not applies to jurisdiction,いいえ 管轄・適用区域,938663
P2499,league level above,上位リーグ,not league level above,いいえ 上位リーグ,6639
P6886,writing language,記述言語,not writing language,いいえ 記述言語,162201
P1221,compressor type,圧縮機の種類,not compressor type,いいえ 圧縮機の種類,2
P1002,engine configuration,エンジン形態,not engine configuration,いいえ エンジン形態,1031
P693,cleavage,へき開,not cleavage,いいえ へき開,63
P1777,manner of,同じスタイルの人物,not manner of,いいえ 同じスタイルの人物,9
P1574,exemplar of,以下のものの原本,not exemplar of,いいえ 以下のものの原本,1740
P1387,political alignment,政治的立場,not political alignment,いいえ 政治的立場,4250
P4149,conjugate base,共役塩基,not conjugate base,いいえ 共役塩基,358
P5444,model year,モデルイヤー,not model year,いいえ モデルイヤー,63
P91,sexual orientation,性的指向,not sexual orientation,いいえ 性的指向,4111
P30,continent,大陸,not continent,いいえ 大陸,83038
P2515,costume designer,衣裳デザイナー,not costume designer,いいえ 衣裳デザイナー,12686
P2550,recording or performance of,以下の演奏またはレコーディング,not recording or performance of,いいえ 以下の演奏またはレコーディング,14878
P2647,source of material,産地,not source of material,いいえ 産地,147
P611,religious order,宗教会,not religious order,いいえ 宗教会,33053
P2541,operating area,業務区域,not operating area,いいえ 業務区域,17829
P3294,encoding,符号化,not encoding,いいえ 符号化,2
