id,en,ru,en_negated,ru_negated,count
P457,foundational text,основополагающий текст,not foundational text,не основополагающий текст,50541
P532,port of registry,порт приписки,not port of registry,не порт приписки,25629
P740,location of formation,место создания,not location of formation,не место создания,44482
P1817,addressee,получатель,not addressee,не получатель,49021
P58,screenwriter,сценарист,not screenwriter,не сценарист,186866
P3085,qualifies for event,отборочный этап для,not qualifies for event,не отборочный этап для,2803
P1704,is pollinator of,опылитель для,not is pollinator of,не опылитель для,58
P1716,brand,бренд,not brand,не бренд,15374
P3173,offers view on,открывает вид на,not offers view on,не открывает вид на,905
P1165,home world,родной мир,not home world,не родной мир,1648
P741,playing hand,играющая рука,not playing hand,не играющая рука,6284
P4043,emulates,эмулирует,not emulates,не эмулирует,345
P3719,regulated by,регулируется,not regulated by,не регулируется,475
P8839,hairstyle,причёска,not hairstyle,не причёска,595
P4646,representation of,представление интересов,not representation of,не представление интересов,165
P8546,recording location,место записи,not recording location,не место записи,314
P7167,does not have effect,не вызывает,not does not have effect,не не вызывает,30
P1951,investor,инвестор,not investor,не инвестор,6294
P2554,production designer,художник-постановщик,not production designer,не художник-постановщик,13508
P66,ancestral home,предки из,not ancestral home,не предки из,1811
P7163,typically sells,обычно продаёт,not typically sells,не обычно продаёт,299
P106,occupation,род занятий,not occupation,не род занятий,9260065
P636,route of administration,способ введения,not route of administration,не способ введения,3001
P85,anthem,гимн,not anthem,не гимн,1691
P2841,age of onset,возраст манифестации,not age of onset,не возраст манифестации,7
P5588,invasive to,инвазионный вид для,not invasive to,не инвазионный вид для,107
P1158,location of landing,место посадки,not location of landing,не место посадки,502
P689,afflicts,поражает,not afflicts,не поражает,4196
P568,overlies,лежачий бок,not overlies,не лежачий бок,1555
P3158,enclosure,включает,not enclosure,не включает,96
P2453,nominee,номинант,not nominee,не номинант,164
P9813,container,упаковка,not container,не упаковка,60
P38,currency,денежная единица,not currency,не денежная единица,2098
P183,endemic to,является эндемиком в,not endemic to,не является эндемиком в,32262
P6902,era name,девиз правления,not era name,не девиз правления,345
P2438,narrator,рассказчик,not narrator,не рассказчик,2267
P3491,muscle insertion,конечное место крепления мышцы,not muscle insertion,не конечное место крепления мышцы,57
P282,writing system,письменность,not writing system,не письменность,611234
P291,place of publication,место публикации,not place of publication,не место публикации,271222
P6275,copyright representative,защитник авторских прав,not copyright representative,не защитник авторских прав,81054
P20,place of death,место смерти,not place of death,не место смерти,1212693
P3680,statement supported by,утверждение поддерживает,not statement supported by,не утверждение поддерживает,58
P5202,adapted by,адаптирован,not adapted by,не адаптирован,3430
P2184,history of topic,история темы,not history of topic,не история темы,2171
P3027,open period from,сезон открыт с,not open period from,не сезон открыт с,16
P1455,list of works,список произведений,not list of works,не список произведений,1228
P5126,assistant director,второй режиссёр,not assistant director,не второй режиссёр,559
P2882,relegated,выбывшие,not relegated,не выбывшие,2906
P2634,sitter,модель,not sitter,не модель,280
P1625,has melody,содержит мелодию,not has melody,не содержит мелодию,2139
P5096,member of the crew of,член экипажа,not member of the crew of,не член экипажа,1386
P5880,video designer,видеодизайнер,not video designer,не видеодизайнер,1229
P1990,species kept,содержащиеся виды,not species kept,не содержащиеся виды,7902
P9972,illustrative content,иллюстративное содержание,not illustrative content,не иллюстративное содержание,61
P6954,online access status,статус онлайн-доступности,not online access status,не статус онлайн-доступности,5602
P136,genre,жанр,not genre,не жанр,1527395
P452,industry,отрасль,not industry,не отрасль,104004
P1462,standards body,орган по стандартизации,not standards body,не орган по стандартизации,2799
P4510,describes a project that uses,используется в описываемом проекте,not describes a project that uses,не используется в описываемом проекте,87086
P449,original broadcaster,первоначальный вещатель,not original broadcaster,не первоначальный вещатель,93087
P6001,applies to people,касается людей,not applies to people,не касается людей,16
P2872,visitor centre,туристический центр,not visitor centre,не туристический центр,554
P5800,narrative role,нарративная роль,not narrative role,не нарративная роль,4591
P517,interaction,фундаментальные взаимодействия,not interaction,не фундаментальные взаимодействия,291
P7937,form of creative work,форма искусства,not form of creative work,не форма искусства,342698
P6872,has written for,писал для,not has written for,не писал для,3252
P1884,hair color,цвет волос,not hair color,не цвет волос,11981
P3018,located in protected area,находится в охранной зоне,not located in protected area,не находится в охранной зоне,36798
P483,recorded at studio or venue,записано на,not recorded at studio or venue,не записано на,5412
P1686,for work,за работу,not for work,не за работу,50
P4241,refine date,уточнение даты,not refine date,не уточнение даты,0
P3975,secretary general,генеральный секретарь,not secretary general,не генеральный секретарь,1431
P1050,medical condition,состояние здоровья,not medical condition,не состояние здоровья,241962
P2286,arterial supply,артериальное кровоснабжение,not arterial supply,не артериальное кровоснабжение,288
P140,religion or world view,религия,not religion or world view,не религия,444622
P59,constellation,созвездие,not constellation,не созвездие,7371215
P1434,takes place in fictional universe,описывает вымышленный мир,not takes place in fictional universe,не описывает вымышленный мир,15814
P8289,parish church,приходская церковь,not parish church,не приходская церковь,7312
P3912,newspaper format,газетный формат,not newspaper format,не газетный формат,4083
P1923,participating team,команда-участница,not participating team,не команда-участница,148066
P149,architectural style,архитектурный стиль,not architectural style,не архитектурный стиль,124958
P1389,product certification,сертификат продукта,not product certification,не сертификат продукта,8990
P1656,unveiled by,кем торжественно открыт,not unveiled by,не кем торжественно открыт,444
P509,cause of death,причина смерти,not cause of death,не причина смерти,115623
P967,guest of honor,почётный гость,not guest of honor,не почётный гость,803
P3026,closed on,закрыто,not closed on,не закрыто,136
P3081,damaged,повреждено,not damaged,не повреждено,86
P6271,demonym of,этнохороним от,not demonym of,не этнохороним от,2640
P1013,criterion used,используемый критерий,not criterion used,не используемый критерий,69
P7469,orientation,ориентация,not orientation,не ориентация,374
P8646,expansion of,дополнение относится к,not expansion of,не дополнение относится к,1507
P5998,distributary,речной рукав,not distributary,не речной рукав,119
P538,fracturing,излом,not fracturing,не излом,11
P4968,relevant qualification,соответствующая квалификация,not relevant qualification,не соответствующая квалификация,55
P35,head of state,глава государства,not head of state,не глава государства,1841
P2715,elected in,выбран по результатам,not elected in,не выбран по результатам,183
P1677,index case of,указывающий случай для,not index case of,не указывающий случай для,29
P516,powered by,движитель,not powered by,не движитель,11110
P1142,political ideology,политическая идеология,not political ideology,не политическая идеология,23809
P8345,media franchise,медиафраншиза,not media franchise,не медиафраншиза,28359
P2700,protocol,протокол,not protocol,не протокол,231
P1911,increased expression in,увеличенная экспрессия приводит к,not increased expression in,не увеличенная экспрессия приводит к,148
P9241,demographics of topic,демография темы,not demographics of topic,не демография темы,1155
P2159,computes solution to,решает,not computes solution to,не решает,119
P2568,repealed by,скорректирован,not repealed by,не скорректирован,33377
P823,speaker,выступающий,not speaker,не выступающий,5293
P4100,parliamentary group,парламентская группа,not parliamentary group,не парламентская группа,1970
P495,country of origin,страна происхождения,not country of origin,не страна происхождения,1345801
P1056,product or material produced,продукция,not product or material produced,не продукция,45764
P3602,candidacy in election,кандидат на выборах,not candidacy in election,не кандидат на выборах,158938
P3610,fare zone,тарифная зона,not fare zone,не тарифная зона,5161
P1412,"languages spoken, written or signed","языки, на которых говорит или пишет персона","not languages spoken, written or signed","не языки, на которых говорит или пишет персона",2221570
P750,distributed by,распространяется,not distributed by,не распространяется,158589
P453,character role,играет роль персонажа,not character role,не играет роль персонажа,506
P787,spore print color,цвет спорового порошка,not spore print color,не цвет спорового порошка,727
P840,narrative location,место действия,not narrative location,не место действия,91176
P3437,people or cargo transported,перевозимый груз,not people or cargo transported,не перевозимый груз,223
P8453,public transport stop,остановка общественного транспорта,not public transport stop,не остановка общественного транспорта,132
P3103,has tense,имеет время,not has tense,не имеет время,145
P6532,has phenotype,имеет фенотип,not has phenotype,не имеет фенотип,169
P4543,has listed ingredient,используется ингредиент,not has listed ingredient,не используется ингредиент,604
P5134,evaluation of,оценка для,not evaluation of,не оценка для,26
P88,commissioned by,заказчик произведения,not commissioned by,не заказчик произведения,23429
P3189,innervated by,иннервируется,not innervated by,не иннервируется,293
P1885,cathedral,собор,not cathedral,не собор,2133
P3092,film crew member,член съёмочной команды,not film crew member,не член съёмочной команды,4973
P9810,remix of,микс или ремикс аудиотрека,not remix of,не микс или ремикс аудиотрека,87
P427,taxonomic type,номенклатурный тип,not taxonomic type,не номенклатурный тип,28515
P2587,has phoneme,содержит фонему,not has phoneme,не содержит фонему,99
P1423,template has topic,основная тема шаблона,not template has topic,не основная тема шаблона,21545
P1011,excluding,исключая,not excluding,не исключая,6
P1918,altered regulation leads to,изменение регуляции приводит к,not altered regulation leads to,не изменение регуляции приводит к,14
P1995,health specialty,медицинская специальность,not health specialty,не медицинская специальность,10263
P415,radio format,формат радио,not radio format,не формат радио,3611
P1910,decreased expression in,уменьшенная экспрессия приводит к,not decreased expression in,не уменьшенная экспрессия приводит к,27
P1310,statement disputed by,утверждение оспаривается,not statement disputed by,не утверждение оспаривается,5
P4330,contains,содержит,not contains,не содержит,8269
P803,professorship,учёное звание,not professorship,не учёное звание,12404
P5095,fault,разлом,not fault,не разлом,20
P118,league,выступает в лиге,not league,не выступает в лиге,192730
P2633,geography of topic,география темы,not geography of topic,не география темы,726
P800,notable work,известная работа,not notable work,не известная работа,96985
P1775,follower of,является последователем,not follower of,не является последователем,22
P1606,natural reservoir of,является носителем патогена,not natural reservoir of,не является носителем патогена,17
P1264,valid in period,действительно для периода,not valid in period,не действительно для периода,219
P4774,biological phase,биологическая фаза,not biological phase,не биологическая фаза,21
P3739,inflorescence,соцветие,not inflorescence,не соцветие,166
P27,country of citizenship,гражданство,not country of citizenship,не гражданство,4426813
P1660,has index case,указывающий случай,not has index case,не указывающий случай,28
P3274,content deliverer,хостинг,not content deliverer,не хостинг,6
P2679,author of foreword,автор предисловия,not author of foreword,не автор предисловия,1543
P913,notation,обозначение,not notation,не обозначение,214
P1909,side effect,побочный эффект,not side effect,не побочный эффект,39
P413,position played on team / speciality,позиция в команде,not position played on team / speciality,не позиция в команде,401425
P1534,end cause,конечный результат,not end cause,не конечный результат,171
P2079,fabrication method,метод изготовления,not fabrication method,не метод изготовления,126162
P1605,has natural reservoir,носитель возбудителя инфекции,not has natural reservoir,не носитель возбудителя инфекции,443
P8852,facial hair,волосы на лице,not facial hair,не волосы на лице,365
P1537,contributing factor of,способствует,not contributing factor of,не способствует,324
P6259,epoch,эпоха,not epoch,не эпоха,8076517
P9745,translation of,является переводом,not translation of,не является переводом,412
P2881,promoted,вышедшие,not promoted,не вышедшие,1228
P469,lakes on river,водоём на реке,not lakes on river,не водоём на реке,3384
P542,officially opened by,кем официально открыт,not officially opened by,не кем официально открыт,1047
P8739,prohibits,запрещает,not prohibits,не запрещает,16
P2318,debut participant,дебют для участника,not debut participant,не дебют для участника,217
P4290,official app,официальное приложение,not official app,не официальное приложение,101
P2675,reply to,в ответ на,not reply to,не в ответ на,387
P275,copyright license,лицензия,not copyright license,не лицензия,161241
P87,librettist,автор либретто,not librettist,не автор либретто,7358
P1363,points/goal scored by,кем забиты голы или набраны очки,not points/goal scored by,не кем забиты голы или набраны очки,2441
P768,electoral district,избирательный округ,not electoral district,не избирательный округ,18986
P1068,instruction set,набор инструкций,not instruction set,не набор инструкций,448
P358,discography,дискография,not discography,не дискография,11952
P84,architect,архитектор,not architect,не архитектор,75317
P3985,supports programming language,поддерживает язык программирования,not supports programming language,не поддерживает язык программирования,228
P4733,produced sound,производит звук,not produced sound,не производит звук,56
P2505,carries,несёт на себе,not carries,не несёт на себе,12478
P2680,author of afterword,автор послесловия,not author of afterword,не автор послесловия,99
P5054,cabinet,кабинет,not cabinet,не кабинет,5
P1080,from narrative universe,из вымышленного мира,not from narrative universe,не из вымышленного мира,31385
P1875,represented by,кто представляет,not represented by,не кто представляет,8117
P8030,size designation,обозначение размера,not size designation,не обозначение размера,339
P4788,storage device,запоминающее устройство,not storage device,не запоминающее устройство,582
P135,movement,школа (движение),not movement,не школа (движение),58648
P1210,supercharger,нагнетатель,not supercharger,не нагнетатель,7
P7500,comorbidity,коморбидность,not comorbidity,не коморбидность,19
P618,source of energy,источник энергии,not source of energy,не источник энергии,6188
P923,medical examinations,медицинский осмотр,not medical examinations,не медицинский осмотр,993
P8107,bus,шина,not bus,не шина,17
P2632,place of detention,место содержания под стражей,not place of detention,не место содержания под стражей,145141
P2935,connector,разъём,not connector,не разъём,788
P1012,including,включая,not including,не включая,59
P1547,depends on software,зависит от,not depends on software,не зависит от,18192
P5280,radical,радикал,not radical,не радикал,2355
P8032,victim,жертва,not victim,не жертва,870
P272,production company,производящая компания,not production company,не производящая компания,119102
P1419,shape,имеет форму,not shape,не имеет форму,1875
P5824,is retracted by,отозвано в,not is retracted by,не отозвано в,1462
P2416,sports discipline competed in,спортивная дисциплина,not sports discipline competed in,не спортивная дисциплина,49498
P3828,wears,надето,not wears,не надето,1752
P5389,permanent resident of,постоянный резидент,not permanent resident of,не постоянный резидент,1288
P4006,overrules,отвергает,not overrules,не отвергает,10
P69,educated at,учебное заведение,not educated at,не учебное заведение,2269402
P189,location of discovery,место обнаружения,not location of discovery,не место обнаружения,26285
P3094,develops from,развивается из,not develops from,не развивается из,110
P2825,via,через,not via,не через,861
P4934,calculated from,вычисляется из,not calculated from,не вычисляется из,578
P2462,member of the deme,член дема,not member of the deme,не член дема,195
P2937,parliamentary term,срок полномочий парламента,not parliamentary term,не срок полномочий парламента,6378
P2828,corporate officer,сотрудник организации,not corporate officer,не сотрудник организации,98
P400,platform,платформа,not platform,не платформа,98555
P4353,nominated by,кто номинировал,not nominated by,не кто номинировал,230
P690,space group,кристаллографическая группа,not space group,не кристаллографическая группа,2228
P681,cell component,компонент клетки,not cell component,не компонент клетки,899727
P425,field of this occupation,сфера деятельности,not field of this occupation,не сфера деятельности,5765
P6364,official color,официальный цвет,not official color,не официальный цвет,3090
P8786,dedicated heritage entity,специализированное учреждение наследия,not dedicated heritage entity,не специализированное учреждение наследия,170
P1049,worshipped by,божество относится к,not worshipped by,не божество относится к,2380
P1881,list of characters,список персонажей,not list of characters,не список персонажей,878
P2175,medical condition treated,применяется для лечения,not medical condition treated,не применяется для лечения,6992
P4843,development of anatomical structure,развитие анатомической структуры,not development of anatomical structure,не развитие анатомической структуры,160
P8701,has census,имеет перепись населения,not has census,не имеет перепись населения,596
P2353,statistical unit,статистическая единица,not statistical unit,не статистическая единица,25
P1571,codomain,кодомен,not codomain,не кодомен,76
P972,catalog,каталог,not catalog,не каталог,69086
P3461,designated as terrorist by,признаётся террористической организацией по версии,not designated as terrorist by,не признаётся террористической организацией по версии,238
P688,encodes,кодирует,not encodes,не кодирует,973826
P1592,prosecutor,обвинитель,not prosecutor,не обвинитель,426
P5051,towards,по направлению к,not towards,не по направлению к,64
P200,inflows,впадающие в озеро реки,not inflows,не впадающие в озеро реки,14887
P1924,vaccine for,является вакциной против,not vaccine for,не является вакциной против,203
P4954,may prevent,Может предотвращать,not may prevent,не Может предотвращать,10
P1706,together with,совместно с,not together with,не совместно с,72
P1318,proved by,кем доказано,not proved by,не кем доказано,125
P2551,used metre,использованный метр,not used metre,не использованный метр,344
P2578,studies,предмет изучения,not studies,не предмет изучения,1954
P812,academic major,специальность,not academic major,не специальность,2838
P8058,symbol of,является символом,not symbol of,не является символом,49
P4584,first appearance,первое появление,not first appearance,не первое появление,6985
P1456,list of monuments,список памятников,not list of monuments,не список памятников,20144
P4446,reward program,программа вознаграждения,not reward program,не программа вознаграждения,275
P1532,country for sport,представляет страну в спорте,not country for sport,не представляет страну в спорте,201826
P1809,choreographer,хореограф,not choreographer,не хореограф,4208
P522,type of orbit,тип орбиты,not type of orbit,не тип орбиты,1169
P9302,script style,стиль шрифта,not script style,не стиль шрифта,310
P344,director of photography,кинооператор,not director of photography,не кинооператор,91536
P2319,elector,избиратель,not elector,не избиратель,67
P500,exclave of,эксклав от,not exclave of,не эксклав от,130
P407,language of work or name,язык произведения или названия,not language of work or name,не язык произведения или названия,14800503
P2396,image of function,множество значений,not image of function,не множество значений,47
P1454,legal form,организационно-правовая форма,not legal form,не организационно-правовая форма,197130
P467,legislated by,принят законодателем,not legislated by,не принят законодателем,46724
P3349,designed to carry,предназначен для перевозки,not designed to carry,не предназначен для перевозки,166
P2500,league level below,лига на уровень ниже,not league level below,не лига на уровень ниже,6576
P7137,acknowledged,благодарности,not acknowledged,не благодарности,858
P264,record label,лейбл звукозаписи,not record label,не лейбл звукозаписи,338731
P5102,nature of statement,природа утверждения,not nature of statement,не природа утверждения,29
P8625,bibliography,библиография,not bibliography,не библиография,70
P736,cover art by,художник обложки,not cover art by,не художник обложки,6718
P2820,cardinality of this set,мощность множества,not cardinality of this set,не мощность множества,52
P9071,character type,тип персонажа,not character type,не тип персонажа,3186
P770,cause of destruction,причина разрушения,not cause of destruction,не причина разрушения,1380
P1393,proxy,представитель,not proxy,не представитель,49
P2821,by-product,побочный продукт,not by-product,не побочный продукт,49
P647,drafted by,задрафтован,not drafted by,не задрафтован,11790
P531,diplomatic mission sent,дипломатическая миссия,not diplomatic mission sent,не дипломатическая миссия,1710
P6338,colorist,колорист,not colorist,не колорист,1312
P4743,animal breed,порода животных,not animal breed,не порода животных,8622
P1313,office held by head of government,должность главы правительства,not office held by head of government,не должность главы правительства,62785
P3037,spatial reference system,система пространственной привязки,not spatial reference system,не система пространственной привязки,3
P7045,chassis,шасси,not chassis,не шасси,48
P1026,academic thesis,диссертация,not academic thesis,не диссертация,11022
P7261,use restriction status,статус ограничения использования,not use restriction status,не статус ограничения использования,415440
P5460,grants,присуждает учёную степень,not grants,не присуждает учёную степень,696
P6149,running mate,кандидат в вице-президенты или в вице-губернаторы,not running mate,не кандидат в вице-президенты или в вице-губернаторы,2
P78,top-level Internet domain,интернет-домен верхнего уровня,not top-level Internet domain,не интернет-домен верхнего уровня,344
P4312,camera setup,метод съёмки,not camera setup,не метод съёмки,1871
P8791,digitised by,оцифровано,not digitised by,не оцифровано,2705
P658,tracklist,композиции,not tracklist,не композиции,33907
P991,successful candidate,победивший кандидат,not successful candidate,не победивший кандидат,23167
P2674,next crossing downstream,следующая переправа ниже по течению,not next crossing downstream,не следующая переправа ниже по течению,1604
P8324,funder,заказчик,not funder,не заказчик,1904
P2701,file format,формат файла,not file format,не формат файла,566
P7108,location of the point of view,место точки зрения,not location of the point of view,не место точки зрения,512
P1780,school of,принадлежит школе,not school of,не принадлежит школе,19
P1340,eye color,цвет глаз,not eye color,не цвет глаз,10047
P1302,primary destinations,основные направления,not primary destinations,не основные направления,3923
P8047,country of registry,страна приписки,not country of registry,не страна приписки,68644
P6216,copyright status,статус авторского права,not copyright status,не статус авторского права,1817697
P6568,inscription mentions,надпись упоминает,not inscription mentions,не надпись упоминает,1719
P1876,vehicle,транспортное средство,not vehicle,не транспортное средство,846
P3816,film script,киносценарий,not film script,не киносценарий,28
P2378,issued by,кем выдан,not issued by,не кем выдан,1797
P841,feast day,праздник святого,not feast day,не праздник святого,8747
P4599,monomer of,является мономером,not monomer of,не является мономером,61
P2822,by-product of,побочный продукт от,not by-product of,не побочный продукт от,35
P7374,educational stage,уровень образования,not educational stage,не уровень образования,81
P414,stock exchange,биржа,not stock exchange,не биржа,13231
P518,applies to part,указано для части,not applies to part,не указано для части,203
P6439,has lyrics,имеет текст,not has lyrics,не имеет текст,404
P7767,serving temperature,температура подачи,not serving temperature,не температура подачи,29
P412,voice type,певческий голос,not voice type,не певческий голос,34254
P289,vessel class,тип судна,not vessel class,не тип судна,13365
P707,satellite bus,платформа космического аппарата,not satellite bus,не платформа космического аппарата,113
P505,general manager,генеральный менеджер,not general manager,не генеральный менеджер,1482
P2499,league level above,лига на уровень выше,not league level above,не лига на уровень выше,6639
P6886,writing language,язык письменных произведений,not writing language,не язык письменных произведений,162201
P693,cleavage,спайность,not cleavage,не спайность,63
P1777,manner of,в манере,not manner of,не в манере,9
P1574,exemplar of,является экземпляром,not exemplar of,не является экземпляром,1740
P1387,political alignment,позиция в политическом спектре,not political alignment,не позиция в политическом спектре,4250
P4149,conjugate base,сопряженное основание,not conjugate base,не сопряженное основание,358
P5444,model year,год выпуска модели,not model year,не год выпуска модели,63
P91,sexual orientation,сексуальная ориентация,not sexual orientation,не сексуальная ориентация,4111
P30,continent,часть света,not continent,не часть света,83038
P2515,costume designer,дизайнер костюмов,not costume designer,не дизайнер костюмов,12686
P2577,admissible rule in,допустимое правило в,not admissible rule in,не допустимое правило в,8
P2647,source of material,источник материала,not source of material,не источник материала,147
P611,religious order,монашеский орден,not religious order,не монашеский орден,33053
P2541,operating area,зона обслуживания,not operating area,не зона обслуживания,17829
P3294,encoding,кодировка,not encoding,не кодировка,2
P54,member of sports team,член спортивной команды,not member of sports team,не член спортивной команды,1546197
P479,input method,способ ввода,not input method,не способ ввода,15149
P6885,historical region,исторический регион,not historical region,не исторический регион,15038
P2058,depositary,депозитарий,not depositary,не депозитарий,229
P8403,theorised by,предсказано кем,not theorised by,не предсказано кем,83
P110,illustrator,иллюстратор,not illustrator,не иллюстратор,14607
P541,office contested,это выборы на должность,not office contested,не это выборы на должность,42849
P588,coolant,охладитель,not coolant,не охладитель,485
P1576,lifestyle,образ жизни,not lifestyle,не образ жизни,1288
P1558,tempo marking,музыкальный темп,not tempo marking,не музыкальный темп,133
P1774,workshop of,из мастерской,not workshop of,не из мастерской,7
P543,oath made by,кто давал клятву,not oath made by,не кто давал клятву,90
P504,home port,основной порт,not home port,не основной порт,5863
P9237,reissue of,переиздание,not reissue of,не переиздание,202
P4908,season,сезон,not season,не сезон,63882
P6166,quotes work,цитирует работу,not quotes work,не цитирует работу,410
P193,main building contractor,основная строительная организация,not main building contractor,не основная строительная организация,2904
P945,allegiance,принадлежность,not allegiance,не принадлежность,60876
P408,software engine,движок,not software engine,не движок,9860
P5185,grammatical gender,грамматический род,not grammatical gender,не грамматический род,240803
P4647,location of first performance,место первого исполнения,not location of first performance,не место первого исполнения,18266
P1079,launch contractor,подрядчик запуска,not launch contractor,не подрядчик запуска,254
P1399,convicted of,осуждён за,not convicted of,не осуждён за,10528
P114,airline alliance,авиационный альянс,not airline alliance,не авиационный альянс,278
P512,academic degree,учёная степень,not academic degree,не учёная степень,132400
P3279,statistical leader,лидер по статистике,not statistical leader,не лидер по статистике,2642
P4220,order of battle,порядок битвы,not order of battle,не порядок битвы,409
P5514,accredited by,аккредитован,not accredited by,не аккредитован,4154
P2501,results,результаты,not results,не результаты,84
P735,given name,личное имя,not given name,не личное имя,6673611
P126,maintained by,ответственность несёт,not maintained by,не ответственность несёт,528563
