id,ru,zh,en,ru_negated,zh_negated,count
P1034,основной источник питания,主要食物來源,main food source,нет основной источник питания,不是 主要食物來源,326
P457,основополагающий текст,成立文书,foundational text,нет основополагающий текст,不是 成立文书,50541
P532,порт приписки,船籍港,port of registry,нет порт приписки,不是 船籍港,25629
P740,место создания,成立地點,location of formation,нет место создания,不是 成立地點,44482
P1817,получатель,收件人,addressee,нет получатель,不是 收件人,49021
P122,форма правления,政体,basic form of government,нет форма правления,不是 政体,2152
P58,сценарист,編劇,screenwriter,нет сценарист,不是 編劇,186866
P1716,бренд,品牌,brand,нет бренд,不是 品牌,15374
P4043,эмулирует,模拟,emulates,нет эмулирует,不是 模拟,345
P6889,микроархитектура,微架構,microarchitecture,нет микроархитектура,不是 微架構,198
P8839,причёска,发型,hairstyle,нет причёска,不是 发型,595
P3080,игровой художник,游戏艺术家,game artist,нет игровой художник,不是 游戏艺术家,159
P7167,не вызывает,没有效果,does not have effect,нет не вызывает,不是 没有效果,30
P1951,инвестор,投資者,investor,нет инвестор,不是 投資者,6294
P2554,художник-постановщик,美術指導,production designer,нет художник-постановщик,不是 美術指導,13508
P66,предки из,籍贯,ancestral home,нет предки из,不是 籍贯,1811
P7163,обычно продаёт,销售商品,typically sells,нет обычно продаёт,不是 销售商品,299
P3275,художник раскадровки,分镜师,storyboard artist,нет художник раскадровки,不是 分镜师,697
P7938,ассоциированный избирательный округ,所属选区,associated electoral district,нет ассоциированный избирательный округ,不是 所属选区,62894
P106,род занятий,职业,occupation,нет род занятий,不是 职业,9260065
P636,способ введения,给药途径,route of administration,нет способ введения,不是 给药途径,3001
P2841,возраст манифестации,发病年龄,age of onset,нет возраст манифестации,不是 发病年龄,7
P1158,место посадки,降落地點,location of landing,нет место посадки,不是 降落地點,502
P4608,сценограф,舞台设计师,scenographer,нет сценограф,不是 舞台设计师,9780
P37,официальный язык,官方语言,official language,нет официальный язык,不是 官方语言,21472
P1435,статус наследия,遗产名称,heritage designation,нет статус наследия,不是 遗产名称,2062512
P689,поражает,影响,afflicts,нет поражает,不是 影响,4196
P183,является эндемиком в,特有分布,endemic to,нет является эндемиком в,不是 特有分布,32262
P163,описание флага,旗帜,flag,нет описание флага,不是 旗帜,6539
P4805,художник-визажист,化妝師,make-up artist,нет художник-визажист,不是 化妝師,512
P6902,девиз правления,年号,era name,нет девиз правления,不是 年号,345
P2438,рассказчик,敘事者,narrator,нет рассказчик,不是 敘事者,2267
P282,письменность,書寫系統,writing system,нет письменность,不是 書寫系統,611234
P291,место публикации,出版地,place of publication,нет место публикации,不是 出版地,271222
P6275,защитник авторских прав,版權代表人,copyright representative,нет защитник авторских прав,不是 版權代表人,81054
P20,место смерти,死亡地,place of death,нет место смерти,不是 死亡地,1212693
P3680,утверждение поддерживает,主张此叙述者,statement supported by,нет утверждение поддерживает,不是 主张此叙述者,58
P5202,адаптирован,改編者,adapted by,нет адаптирован,不是 改編者,3430
P2184,история темы,話題历史,history of topic,нет история темы,不是 話題历史,2171
P1455,список произведений,作品列表,list of works,нет список произведений,不是 作品列表,1228
P6942,художник-мультипликатор,动画师,animator,нет художник-мультипликатор,不是 动画师,4025
P8822,эпитет,修飾詞,epithet,нет эпитет,不是 修飾詞,26
P2361,онлайн-сервис,线上服务,online service,нет онлайн-сервис,不是 线上服务,48
P2882,выбывшие,降级,relegated,нет выбывшие,不是 降级,2906
P2634,модель,模特,sitter,нет модель,不是 模特,280
P1990,содержащиеся виды,饲养品种,species kept,нет содержащиеся виды,不是 饲养品种,7902
P136,жанр,類型,genre,нет жанр,不是 類型,1527395
P452,отрасль,产业,industry,нет отрасль,不是 产业,104004
P1462,орган по стандартизации,標準組織,standards body,нет орган по стандартизации,不是 標準組織,2799
P449,первоначальный вещатель,首播电视台,original broadcaster,нет первоначальный вещатель,不是 首播电视台,93087
P5800,нарративная роль,故事角色,narrative role,нет нарративная роль,不是 故事角色,4591
P517,фундаментальные взаимодействия,相互作用,interaction,нет фундаментальные взаимодействия,不是 相互作用,291
P7937,форма искусства,作品形式,form of creative work,нет форма искусства,不是 作品形式,342698
P1884,цвет волос,髮色,hair color,нет цвет волос,不是 髮色,11981
P3018,находится в охранной зоне,所在保护区,located in protected area,нет находится в охранной зоне,不是 所在保护区,36798
P1686,за работу,得獎作品,for work,нет за работу,不是 得獎作品,50
P4241,уточнение даты,确切时间,refine date,нет уточнение даты,不是 确切时间,0
P3975,генеральный секретарь,总书记,secretary general,нет генеральный секретарь,不是 总书记,1431
P1050,состояние здоровья,医疗状况,medical condition,нет состояние здоровья,不是 医疗状况,241962
P2286,артериальное кровоснабжение,动脉供应,arterial supply,нет артериальное кровоснабжение,不是 动脉供应,288
P140,религия,信仰,religion or world view,нет религия,不是 信仰,444622
P59,созвездие,星座,constellation,нет созвездие,不是 星座,7371215
P1201,разгонный блок,太空交通船,space tug,нет разгонный блок,不是 太空交通船,409
P1923,команда-участница,參與隊伍,participating team,нет команда-участница,不是 參與隊伍,148066
P1546,описание девиза,座右铭,motto,нет описание девиза,不是 座右铭,509
P149,архитектурный стиль,建築風格,architectural style,нет архитектурный стиль,不是 建築風格,124958
P3803,оригинальный формат фильма,原始底片格式,original film format,нет оригинальный формат фильма,不是 原始底片格式,6459
P509,причина смерти,死因,cause of death,нет причина смерти,不是 死因,115623
P2925,область святого или божества,保佑領域,domain of saint or deity,нет область святого или божества,不是 保佑領域,853
P6086,драматург,剧作者,dramaturge,нет драматург,不是 剧作者,3253
P111,физическая величина,以此物理量测量,measured physical quantity,нет физическая величина,不是 以此物理量测量,3611
P1013,используемый критерий,所用標準,criterion used,нет используемый критерий,不是 所用標準,69
P7469,ориентация,方向/面向,orientation,нет ориентация,不是 方向/面向,374
P8646,дополнение относится к,资料片,expansion of,нет дополнение относится к,不是 资料片,1507
P5998,речной рукав,分流,distributary,нет речной рукав,不是 分流,119
P4968,соответствующая квалификация,相關資格,relevant qualification,нет соответствующая квалификация,不是 相關資格,55
P680,молекулярная функция,分子功能,molecular function,нет молекулярная функция,不是 分子功能,1210165
P35,глава государства,国家元首,head of state,нет глава государства,不是 国家元首,1841
P2715,выбран по результатам,當選選舉,elected in,нет выбран по результатам,不是 當選選舉,183
P516,движитель,发动机,powered by,нет движитель,不是 发动机,11110
P1142,политическая идеология,政治意识形态,political ideology,нет политическая идеология,不是 政治意识形态,23809
P7095,выпускной класс,結束年級,end grade,нет выпускной класс,不是 結束年級,3729
P8345,медиафраншиза,跨媒體製作,media franchise,нет медиафраншиза,不是 跨媒體製作,28359
P2700,протокол,协议,protocol,нет протокол,不是 协议,231
P2827,цвет цветков,花色,flower color,нет цвет цветков,不是 花色,551
P2962,шахматный титул,棋士称号,title of chess person,нет шахматный титул,不是 棋士称号,31178
P2568,скорректирован,取代者,repealed by,нет скорректирован,不是 取代者,33377
P823,выступающий,演讲者,speaker,нет выступающий,不是 演讲者,5293
P4100,парламентская группа,黨團,parliamentary group,нет парламентская группа,不是 黨團,1970
P495,страна происхождения,原產地,country of origin,нет страна происхождения,不是 原產地,1345801
P1056,продукция,产品,product or material produced,нет продукция,不是 产品,45764
P2348,эра,時間週期,time period,нет эра,不是 時間週期,202625
P3602,кандидат на выборах,競選,candidacy in election,нет кандидат на выборах,不是 競選,158938
P3610,тарифная зона,收費區,fare zone,нет тарифная зона,不是 收費區,5161
P6819,каллиграф,書法家,calligrapher,нет каллиграф,不是 書法家,291
P1308,должность занимает,公职人员,officeholder,нет должность занимает,不是 公职人员,17533
P750,распространяется,經銷商,distributed by,нет распространяется,不是 經銷商,158589
P453,играет роль персонажа,人物角色,character role,нет играет роль персонажа,不是 人物角色,506
P840,место действия,敘事發生地,narrative location,нет место действия,不是 敘事發生地,91176
P3437,перевозимый груз,载运人员或货物,people or cargo transported,нет перевозимый груз,不是 载运人员或货物,223
P8453,остановка общественного транспорта,車站,public transport stop,нет остановка общественного транспорта,不是 車站,132
P88,заказчик произведения,委托人,commissioned by,нет заказчик произведения,不是 委托人,23429
P1011,исключая,排除,excluding,нет исключая,不是 排除,6
P1995,медицинская специальность,醫學專科,health specialty,нет медицинская специальность,不是 醫學專科,10263
P654,направление относительно места,方位,direction relative to location,нет направление относительно места,不是 方位,25
P1310,утверждение оспаривается,对此声明有异议者,statement disputed by,нет утверждение оспаривается,不是 对此声明有异议者,5
P1444,пункт назначения,行程目的地,destination point,нет пункт назначения,不是 行程目的地,25554
P5353,школьный округ,學區,school district,нет школьный округ,不是 學區,9780
P4330,содержит,包含,contains,нет содержит,不是 包含,8269
P5095,разлом,斷層,fault,нет разлом,不是 斷層,20
P2633,география темы,主题的地理学,geography of topic,нет география темы,不是 主题的地理学,726
P800,известная работа,主要作品,notable work,нет известная работа,不是 主要作品,96985
P1775,является последователем,追隨對象,follower of,нет является последователем,不是 追隨對象,22
P1606,является носителем патогена,为其天然宿主,natural reservoir of,нет является носителем патогена,不是 为其天然宿主,17
P1264,действительно для периода,有效期,valid in period,нет действительно для периода,不是 有效期,219
P3739,соцветие,花序,inflorescence,нет соцветие,不是 花序,166
P27,гражданство,國籍,country of citizenship,нет гражданство,不是 國籍,4426813
P3274,хостинг,內容遞送者,content deliverer,нет хостинг,不是 內容遞送者,6
P2679,автор предисловия,序言作者,author of foreword,нет автор предисловия,不是 序言作者,1543
P913,обозначение,符號,notation,нет обозначение,不是 符號,214
P1909,побочный эффект,副作用,side effect,нет побочный эффект,不是 副作用,39
P1534,конечный результат,結束原因,end cause,нет конечный результат,不是 結束原因,171
P2079,метод изготовления,制作方法,fabrication method,нет метод изготовления,不是 制作方法,126162
P8852,волосы на лице,脸毛,facial hair,нет волосы на лице,不是 脸毛,365
P1211,топливная система,燃料系統,fuel system,нет топливная система,不是 燃料系統,179
P469,водоём на реке,流经湖泊,lakes on river,нет водоём на реке,不是 流经湖泊,3384
P542,кем официально открыт,宣布开幕者,officially opened by,нет кем официально открыт,不是 宣布开幕者,1047
P4290,официальное приложение,官方应用程序,official app,нет официальное приложение,不是 官方应用程序,101
P2675,в ответ на,回应,reply to,нет в ответ на,不是 回应,387
P1363,кем забиты голы или набраны очки,得分或進球者,points/goal scored by,нет кем забиты голы или набраны очки,不是 得分或進球者,2441
P3985,поддерживает язык программирования,支援的程式語言,supports programming language,нет поддерживает язык программирования,不是 支援的程式語言,228
P2667,шаблон для свойства,对应模板,corresponding template,нет шаблон для свойства,不是 对应模板,860
P8810,родитель,亲代,parent (unspecified),нет родитель,不是 亲代,13
P4733,производит звук,產生聲音,produced sound,нет производит звук,不是 產生聲音,56
P2505,несёт на себе,承载,carries,нет несёт на себе,不是 承载,12478
P2680,автор послесловия,后跋作者,author of afterword,нет автор послесловия,不是 后跋作者,99
P5054,кабинет,內閣,cabinet,нет кабинет,不是 內閣,5
P1875,кто представляет,代表者,represented by,нет кто представляет,不是 代表者,8117
P135,школа (движение),文化运动,movement,нет школа (движение),不是 文化运动,58648
P1210,нагнетатель,增壓器,supercharger,нет нагнетатель,不是 增壓器,7
P7500,коморбидность,合併症,comorbidity,нет коморбидность,不是 合併症,19
P618,источник энергии,能量来源,source of energy,нет источник энергии,不是 能量来源,6188
P923,медицинский осмотр,医学检查,medical examinations,нет медицинский осмотр,不是 医学检查,993
P8107,шина,总线,bus,нет шина,不是 总线,17
P2632,место содержания под стражей,羁押地点,place of detention,нет место содержания под стражей,不是 羁押地点,145141
P2935,разъём,連接器,connector,нет разъём,不是 連接器,788
P1012,включая,包括,including,нет включая,不是 包括,59
P1547,зависит от,依賴軟件,depends on software,нет зависит от,不是 依賴軟件,18192
P5280,радикал,部首,radical,нет радикал,不是 部首,2355
P8032,жертва,受害人,victim,нет жертва,不是 受害人,870
P272,производящая компания,製作商,production company,нет производящая компания,不是 製作商,119102
P1419,имеет форму,形状,shape,нет имеет форму,不是 形状,1875
P5824,отозвано в,撤銷,is retracted by,нет отозвано в,不是 撤銷,1462
P2416,спортивная дисциплина,参加的体育比赛项目,sports discipline competed in,нет спортивная дисциплина,不是 参加的体育比赛项目,49498
P3828,надето,穿着,wears,нет надето,不是 穿着,1752
P5389,постоянный резидент,永久居留权,permanent resident of,нет постоянный резидент,不是 永久居留权,1288
P69,учебное заведение,就读于,educated at,нет учебное заведение,不是 就读于,2269402
P189,место обнаружения,发现地点,location of discovery,нет место обнаружения,不是 发现地点,26285
P2825,через,途经,via,нет через,不是 途经,861
P4934,вычисляется из,计算方法,calculated from,нет вычисляется из,不是 计算方法,578
P2937,срок полномочий парламента,议会任期,parliamentary term,нет срок полномочий парламента,不是 议会任期,6378
P400,платформа,平台,platform,нет платформа,不是 平台,98555
P4353,кто номинировал,提名者,nominated by,нет кто номинировал,不是 提名者,230
P425,сфера деятельности,专业领域,field of this occupation,нет сфера деятельности,不是 专业领域,5765
P6364,официальный цвет,官方颜色,official color,нет официальный цвет,不是 官方颜色,3090
P1049,божество относится к,受其崇拜,worshipped by,нет божество относится к,不是 受其崇拜,2380
P831,родительский спортивный клуб,附属俱乐部,parent club,нет родительский спортивный клуб,不是 附属俱乐部,4473
P1881,список персонажей,角色列表,list of characters,нет список персонажей,不是 角色列表,878
P3512,способ передвижения,移动方式,means of locomotion,нет способ передвижения,不是 移动方式,103
P418,описание печати/эмблемы,印章描述,"has seal, badge, or sigil",нет описание печати/эмблемы,不是 印章描述,110
P8701,имеет перепись населения,人口普查,has census,нет имеет перепись населения,不是 人口普查,596
P2353,статистическая единица,統計單位,statistical unit,нет статистическая единица,不是 統計單位,25
P1571,кодомен,到达域,codomain,нет кодомен,不是 到达域,76
P972,каталог,目录,catalog,нет каталог,不是 目录,69086
P688,кодирует,生物编码,encodes,нет кодирует,不是 生物编码,973826
P1898,низшая нота,最低音,lowest note,нет низшая нота,不是 最低音,9
P523,начало временного диапазона,初现地质年代,temporal range start,нет начало временного диапазона,不是 初现地质年代,137
P1592,обвинитель,檢察官,prosecutor,нет обвинитель,不是 檢察官,426
P5051,по направлению к,行車方向,towards,нет по направлению к,不是 行車方向,64
P200,впадающие в озеро реки,流入源,inflows,нет впадающие в озеро реки,不是 流入源,14887
P1924,является вакциной против,疫苗用於,vaccine for,нет является вакциной против,不是 疫苗用於,203
P703,имеется у таксона,具此物質之物種/此物質可作用之物種,found in taxon,нет имеется у таксона,不是 具此物質之物種/此物質可作用之物種,2853804
P1706,совместно с,连同,together with,нет совместно с,不是 连同,72
P1318,кем доказано,证明者,proved by,нет кем доказано,不是 证明者,125
P2551,использованный метр,格律,used metre,нет использованный метр,不是 格律,344
P2578,предмет изучения,研究對象,studies,нет предмет изучения,不是 研究對象,1954
P812,специальность,高校专业,academic major,нет специальность,不是 高校专业,2838
P4584,первое появление,首次亮相于,first appearance,нет первое появление,不是 首次亮相于,6985
P1456,список памятников,古迹列表,list of monuments,нет список памятников,不是 古迹列表,20144
P4446,программа вознаграждения,忠诚计划,reward program,нет программа вознаграждения,不是 忠诚计划,275
P1532,представляет страну в спорте,体育代表国,country for sport,нет представляет страну в спорте,不是 体育代表国,201826
P65,место астрономического открытия,天文发现地,site of astronomical discovery,нет место астрономического открытия,不是 天文发现地,53750
P1809,хореограф,编舞,choreographer,нет хореограф,不是 编舞,4208
P522,тип орбиты,轨道类型,type of orbit,нет тип орбиты,不是 轨道类型,1169
P344,кинооператор,摄影指导,director of photography,нет кинооператор,不是 摄影指导,91536
P500,эксклав от,飞地从属于,exclave of,нет эксклав от,不是 飞地从属于,130
P2396,множество значений,值域,image of function,нет множество значений,不是 值域,47
P1454,организационно-правовая форма,法律形式,legal form,нет организационно-правовая форма,不是 法律形式,197130
P467,принят законодателем,立法者,legislated by,нет принят законодателем,不是 立法者,46724
P375,ракета-носитель,发射载具,space launch vehicle,нет ракета-носитель,不是 发射载具,6763
P1372,связка для программной библиотеки,軟體庫內之資料繫結,binding of software library,нет связка для программной библиотеки,不是 軟體庫內之資料繫結,29
P2851,допустимые виды оплаты,接受的付款方式,payment types accepted,нет допустимые виды оплаты,不是 接受的付款方式,39226
P7137,благодарности,致谢,acknowledged,нет благодарности,不是 致谢,858
P5102,природа утверждения,陳述環境,nature of statement,нет природа утверждения,不是 陳述環境,29
P8625,библиография,文献资料,bibliography,нет библиография,不是 文献资料,70
P2098,заместитель,副職,substitute/deputy/replacement of office/officeholder,нет заместитель,不是 副職,590
P736,художник обложки,封面艺术家,cover art by,нет художник обложки,不是 封面艺术家,6718
P9071,тип персонажа,角色類型,character type,нет тип персонажа,不是 角色類型,3186
P770,причина разрушения,衰亡原因,cause of destruction,нет причина разрушения,不是 衰亡原因,1380
P1393,представитель,代理人,proxy,нет представитель,不是 代理人,49
P2821,побочный продукт,副产品,by-product,нет побочный продукт,不是 副产品,49
P531,дипломатическая миссия,派駐代表機構,diplomatic mission sent,нет дипломатическая миссия,不是 派駐代表機構,1710
P6338,колорист,上色师,colorist,нет колорист,不是 上色师,1312
P4743,порода животных,品種,animal breed,нет порода животных,不是 品種,8622
P1313,должность главы правительства,政府首脑职位,office held by head of government,нет должность главы правительства,不是 政府首脑职位,62785
P1026,диссертация,學位論文,academic thesis,нет диссертация,不是 學位論文,11022
P7261,статус ограничения использования,使用限制状态,use restriction status,нет статус ограничения использования,不是 使用限制状态,415440
P6149,кандидат в вице-президенты или в вице-губернаторы,競選搭檔,running mate,нет кандидат в вице-президенты или в вице-губернаторы,不是 競選搭檔,2
P5023,правила поведения в этом месте,此地點的活動方針,activity policy in this place,нет правила поведения в этом месте,不是 此地點的活動方針,130
P8791,оцифровано,電子化,digitised by,нет оцифровано,不是 電子化,2705
P658,композиции,曲目,tracklist,нет композиции,不是 曲目,33907
P991,победивший кандидат,当选者,successful candidate,нет победивший кандидат,不是 当选者,23167
P2238,официальный символ,官方標記,official symbol,нет официальный символ,不是 官方標記,1419
P8324,заказчик,財務贊助者,funder,нет заказчик,不是 財務贊助者,1904
P1780,принадлежит школе,所属学派,school of,нет принадлежит школе,不是 所属学派,19
P1340,цвет глаз,眼睛顏色,eye color,нет цвет глаз,不是 眼睛顏色,10047
P1302,основные направления,主要目的地,primary destinations,нет основные направления,不是 主要目的地,3923
P1876,транспортное средство,载具,vehicle,нет транспортное средство,不是 载具,846
P3816,киносценарий,剧本,film script,нет киносценарий,不是 剧本,28
P2378,кем выдан,發行者,issued by,нет кем выдан,不是 發行者,1797
P608,история выставок,展覽歷史,exhibition history,нет история выставок,不是 展覽歷史,26633
P7374,уровень образования,教育阶段,educational stage,нет уровень образования,不是 教育阶段,81
P414,биржа,证券交易所,stock exchange,нет биржа,不是 证券交易所,13231
P518,указано для части,適用部分,applies to part,нет указано для части,不是 適用部分,203
P3716,социальный класс,社會階層,social classification,нет социальный класс,不是 社會階層,11947
P7767,температура подачи,食物存放温度,serving temperature,нет температура подачи,不是 食物存放温度,29
P412,певческий голос,聲部,voice type,нет певческий голос,不是 聲部,34254
P289,тип судна,艦級,vessel class,нет тип судна,不是 艦級,13365
P707,платформа космического аппарата,衛星平台,satellite bus,нет платформа космического аппарата,不是 衛星平台,113
P505,генеральный менеджер,总经理,general manager,нет генеральный менеджер,不是 总经理,1482
P1001,юрисдикция распространяется на,管辖区,applies to jurisdiction,нет юрисдикция распространяется на,不是 管辖区,938663
P1221,вид компрессора,壓縮機類型,compressor type,нет вид компрессора,不是 壓縮機類型,2
P1002,конфигурация двигателя,引擎配置,engine configuration,нет конфигурация двигателя,不是 引擎配置,1031
P1574,является экземпляром,原本包含,exemplar of,нет является экземпляром,不是 原本包含,1740
P1387,позиция в политическом спектре,政治立場,political alignment,нет позиция в политическом спектре,不是 政治立場,4250
P4149,сопряженное основание,共轭碱,conjugate base,нет сопряженное основание,不是 共轭碱,358
P91,сексуальная ориентация,性取向,sexual orientation,нет сексуальная ориентация,不是 性取向,4111
P30,часть света,大洲,continent,нет часть света,不是 大洲,83038
P2515,дизайнер костюмов,服裝設計,costume designer,нет дизайнер костюмов,不是 服裝設計,12686
P2647,источник материала,材料来源,source of material,нет источник материала,不是 材料来源,147
P611,монашеский орден,宗教團,religious order,нет монашеский орден,不是 宗教團,33053
P2541,зона обслуживания,業務區,operating area,нет зона обслуживания,不是 業務區,17829
P3294,кодировка,编码,encoding,нет кодировка,不是 编码,2
P54,член спортивной команды,所屬運動隊,member of sports team,нет член спортивной команды,不是 所屬運動隊,1546197
P479,способ ввода,输入设备,input method,нет способ ввода,不是 输入设备,15149
P6885,исторический регион,历史地区,historical region,нет исторический регион,不是 历史地区,15038
P110,иллюстратор,插画家,illustrator,нет иллюстратор,不是 插画家,14607
P541,это выборы на должность,競逐之職位,office contested,нет это выборы на должность,不是 競逐之職位,42849
P588,охладитель,冷却剂,coolant,нет охладитель,不是 冷却剂,485
P1576,образ жизни,生活方式,lifestyle,нет образ жизни,不是 生活方式,1288
P1558,музыкальный темп,拍速标记,tempo marking,нет музыкальный темп,不是 拍速标记,133
