id,ru,zh,en,ru_negated,zh_negated,count
P931,обслуживаемый город,机场服务地区,place served by transport hub,нет обслуживаемый город,不是 机场服务地区,12148
P543,кто давал клятву,宣誓者,oath made by,нет кто давал клятву,不是 宣誓者,90
P504,основной порт,母港,home port,нет основной порт,不是 母港,5863
P1199,тип наследования,遺傳模式,mode of inheritance,нет тип наследования,不是 遺傳模式,85
P6166,цитирует работу,引用原文出处,quotes work,нет цитирует работу,不是 引用原文出处,410
P945,принадлежность,效忠对象,allegiance,нет принадлежность,不是 效忠对象,60876
P408,движок,软件引擎,software engine,нет движок,不是 软件引擎,9860
P4647,место первого исполнения,首演地点,location of first performance,нет место первого исполнения,不是 首演地点,18266
P1399,осуждён за,所犯罪名,convicted of,нет осуждён за,不是 所犯罪名,10528
P114,авиационный альянс,航空聯盟,airline alliance,нет авиационный альянс,不是 航空聯盟,278
P5913,имеет класс словоизменения,词形变化,has inflection class,нет имеет класс словоизменения,不是 词形变化,8
P512,учёная степень,学位,academic degree,нет учёная степень,不是 学位,132400
P4220,порядок битвы,作戰序列,order of battle,нет порядок битвы,不是 作戰序列,409
P2501,результаты,賽果,results,нет результаты,不是 賽果,84
P735,личное имя,名字,given name,нет личное имя,不是 名字,6673611
P126,ответственность несёт,维护者,maintained by,нет ответственность несёт,不是 维护者,528563
P1408,лицензия на вещание в,廣播地區,licensed to broadcast to,нет лицензия на вещание в,不是 廣播地區,16665
P5137,элемент для смысла,该义项的项目,item for this sense,нет элемент для смысла,不是 该义项的项目,115540
P5009,соответствует норме,符合標準,complies with,нет соответствует норме,不是 符合標準,163
P533,цель,攻击目标,target,нет цель,不是 攻击目标,1496
P306,операционная система,作業系統,operating system,нет операционная система,不是 作業系統,39330
P2291,занял место в,上榜,charted in,нет занял место в,不是 上榜,1601
P1383,включает населённый пункт,包含聚落,contains settlement,нет включает населённый пункт,不是 包含聚落,32821
P21,пол или гендер,性別,sex or gender,нет пол или гендер,不是 性別,7876165
P682,биологический процесс,生物途径,biological process,нет биологический процесс,不是 生物途径,1194167
P5817,состояние использования,使用狀態,state of use,нет состояние использования,不是 使用狀態,62593
P5059,модифицированная версия от,版本修改自,modified version of,нет модифицированная версия от,不是 版本修改自,1466
P3005,истинно для места,有效地點,valid in place,нет истинно для места,不是 有效地點,173
P655,переводчик,译者,translator,нет переводчик,不是 译者,18384
P8196,избирательная система,投票制度,voting system,нет избирательная система,不是 投票制度,1362
P912,оборудован,擁有設施,has facility,нет оборудован,不是 擁有設施,16547
P3967,финальная часть,决赛,final event,нет финальная часть,不是 决赛,1860
P1192,обслуживается маршрутом,所屬路線,connecting service,нет обслуживается маршрутом,不是 所屬路線,41150
P8031,преступник,加害人,perpetrator,нет преступник,不是 加害人,818
P4379,молодёжное крыло,青年翼,youth wing,нет молодёжное крыло,不是 青年翼,205
P2360,целевая аудитория,受眾,intended public,нет целевая аудитория,不是 受眾,7870
P2839,походка,儀態,gait,нет походка,不是 儀態,17
P7084,связанная категория,相关分类,related category,нет связанная категория,不是 相关分类,16261
P57,режиссёр,导演,director,нет режиссёр,不是 导演,332848
P7604,надзор осуществляет,監察人,supervised by,нет надзор осуществляет,不是 監察人,77
P2922,месяц,月份,month of the year,нет месяц,不是 月份,4599
P2408,действие происходит в эпоху,時代背景,set in period,нет действие происходит в эпоху,不是 時代背景,7382
P560,направление,方向,direction,нет направление,不是 方向,36
P1596,наказание,刑罰,penalty,нет наказание,不是 刑罰,1918
P4387,метод обновления,更新方法,update method,нет метод обновления,不是 更新方法,119
P6106,использует заглавные буквы для,使用大写,uses capitalization for,нет использует заглавные буквы для,不是 使用大写,38
P1027,награда от,颁发者,conferred by,нет награда от,不是 颁发者,15110
P785,тип прикрепления гимения,子囊附着物,hymenium attachment,нет тип прикрепления гимения,不是 子囊附着物,893
P941,вдохновлено,启发自,inspired by,нет вдохновлено,不是 启发自,5758
P1877,в результате влияния работы,原著作者,after a work by,нет в результате влияния работы,不是 原著作者,12339
P4969,производная работа,衍生作品,derivative work,нет производная работа,不是 衍生作品,19804
P92,главный регулирующий текст,主要規管文獻,main regulatory text,нет главный регулирующий текст,不是 主要規管文獻,9320
P520,вооружение,武器,armament,нет вооружение,不是 武器,5520
P5028,звукорежиссёр,音效设计师,sound designer,нет звукорежиссёр,不是 音效设计师,3237
P925,пресинаптическая связь,突触,presynaptic connection,нет пресинаптическая связь,不是 突触,6
P205,бассейн объекта в странах,流域国,basin country,нет бассейн объекта в странах,不是 流域国,17703
P943,программист,程序员,programmer,нет программист,不是 程序员,388
P8744,экономика темы,話題的經濟,economy of topic,нет экономика темы,不是 話題的經濟,1377
P1028,подарок от,捐贈者,donated by,нет подарок от,不是 捐贈者,9673
P8225,метакласс для,为其元类,is metaclass for,нет метакласс для,不是 为其元类,372
P3452,вывод из,推断依据,inferred from,нет вывод из,不是 推断依据,2
P7086,начальный класс,開始年級,start grade,нет начальный класс,不是 開始年級,3730
P6224,уровень описания,著录级次,level of description,нет уровень описания,不是 著录级次,628069
P2596,культура,文化,culture,нет культура,不是 文化,10030
P1478,непосредственной причиной является,直接原因,has immediate cause,нет непосредственной причиной является,不是 直接原因,125023
P485,архивы хранятся в,存檔于,archives at,нет архивы хранятся в,不是 存檔于,75475
P3301,транслируется на,广播业者,broadcast by,нет транслируется на,不是 广播业者,7431
P1568,область определения,定義域,definition domain,нет область определения,不是 定義域,125
P2964,право голоса,投票權人,right to vote,нет право голоса,不是 投票權人,68
P97,титул,贵族头衔,noble title,нет титул,不是 贵族头衔,54552
P1136,кем решена,解決者,solved by,нет кем решена,不是 解決者,116
P16,система автомагистралей,公路系統,transport network,нет система автомагистралей,不是 公路系統,52704
P1622,сторона автомобильного движения,道路通行方向,driving side,нет сторона автомобильного движения,不是 道路通行方向,428
P4661,дамбовое водохранилище,建立的水庫,reservoir created,нет дамбовое водохранилище,不是 建立的水庫,3203
P1171,аппроксимационный алгоритм,近似算法,approximation algorithm,нет аппроксимационный алгоритм,不是 近似算法,9
P3148,отменяет,廢除,repeals,нет отменяет,不是 廢除,28838
P6153,место проведения исследования,研究地點,research site,нет место проведения исследования,不是 研究地點,266976
P5642,фактор риска,风险因子,risk factor,нет фактор риска,不是 风险因子,198
P1406,направление письма,文字方向,script directionality,нет направление письма,不是 文字方向,324
P4878,символизирует,象征,symbolizes,нет символизирует,不是 象征,51
P811,второстепенный общеобразовательный предмет,副修专业,academic minor,нет второстепенный общеобразовательный предмет,不是 副修专业,103
P19,место рождения,出生地,place of birth,нет место рождения,不是 出生地,3035164
P501,анклав в,内飞于,enclave within,нет анклав в,不是 内飞于,249
P8258,область обучения,訓練,field of training,нет область обучения,不是 訓練,19
P5133,имеет оценку,医学发现,has evaluation,нет имеет оценку,不是 医学发现,24
P3091,верховое животное,騎上,mount,нет верховое животное,不是 騎上,746
P3440,размер такта,拍号,time signature,нет размер такта,不是 拍号,81
P1429,питомец,寵物,has pet,нет питомец,不是 寵物,318
P3938,кем названо,命名者,named by,нет кем названо,不是 命名者,628
P6087,тренер спортивной команды,體育隊,coach of sports team,нет тренер спортивной команды,不是 體育隊,11850
P3871,сторона притока,支流方向,tributary orientation,нет сторона притока,不是 支流方向,547
P1591,обвиняемый,被告人,defendant,нет обвиняемый,不是 被告人,4610
P642,относится к,範圍,of,нет относится к,不是 範圍,5091
P6195,схема финансирования,募款計劃,funding scheme,нет схема финансирования,不是 募款計劃,3765
P2414,сырьё для,为酶的底物,substrate of,нет сырьё для,不是 为酶的底物,9
P4000,имеет плод типа,拥有果实类型,has fruit type,нет имеет плод типа,不是 拥有果实类型,3039
P3858,маршрутная карта,路線圖,route diagram,нет маршрутная карта,不是 路線圖,3626
P702,кодирующий ген,編碼基因,encoded by,нет кодирующий ген,不是 編碼基因,976836
P2831,тотем,圖騰,totem,нет тотем,不是 圖騰,21
P2279,амбитус,音区范围,ambitus,нет амбитус,不是 音区范围,37
P545,кем зажжён факел,火炬点燃者,torch lit by,нет кем зажжён факел,不是 火炬点燃者,73
P4151,игровая механика,游戏机制,game mechanics,нет игровая механика,不是 游戏机制,1760
P725,актёр озвучивания,配音演员,voice actor,нет актёр озвучивания,不是 配音演员,63208
P459,метод определения,确定方法,determination method,нет метод определения,不是 确定方法,329
P1299,изображается на,描绘于,depicted by,нет изображается на,不是 描绘于,10979
P3989,род деятельности членов,成员职业,members have occupation,нет род деятельности членов,不是 成员职业,1768
P7959,историческое графство,历史郡,historic county,нет историческое графство,不是 历史郡,782765
P462,цвет,颜色,color,нет цвет,不是 颜色,195178
P6540,многоканальная сеть,多频道网络,multi-channel network,нет многоканальная сеть,不是 多频道网络,44
P3261,анатомически ответвляется от,解剖分支属于,anatomical branch of,нет анатомически ответвляется от,不是 解剖分支属于,415
P5314,используется как,屬性範圍,property scope,нет используется как,不是 屬性範圍,1
P241,вид или род войск,军事部门,military branch,нет вид или род войск,不是 军事部门,114815
P1064,ширина колеи,軌距,track gauge,нет ширина колеи,不是 軌距,24421
P1891,подписавшийся,签署方,signatory,нет подписавшийся,不是 签署方,17166
P2842,место свадьбы,結婚地點,place of marriage,нет место свадьбы,不是 結婚地點,3
P3174,арт-директор,艺术总监,art director,нет арт-директор,不是 艺术总监,1254
P734,фамилия,姓氏,family name,нет фамилия,不是 姓氏,3641074
P2429,ожидаемая полнота,预期完整性,expected completeness,нет ожидаемая полнота,不是 预期完整性,3866
P421,часовой пояс,时区,located in time zone,нет часовой пояс,不是 时区,2008070
P6587,система спортивных лиг,聯賽系統,league system,нет система спортивных лиг,不是 聯賽系統,231
P410,воинское звание,军衔,military rank,нет воинское звание,不是 军衔,157572
P1640,куратор,館長,curator,нет куратор,不是 館長,1600
P1046,метод обнаружения,发现方法,discovery method,нет метод обнаружения,不是 发现方法,4253
P942,музыкальная тема,主題曲,theme music,нет музыкальная тема,不是 主題曲,3967
P2989,имеет падежи,具有语义格,has grammatical case,нет имеет падежи,不是 具有语义格,430
P1445,вымышленная вселенная описана в,虚构世界描述于,fictional universe described in,нет вымышленная вселенная описана в,不是 虚构世界描述于,4613
P7078,типизация данных,类型推断系统,typing discipline,нет типизация данных,不是 类型推断系统,774
P3438,обычно используемое транспортное средство,常用车辆,vehicle normally used,нет обычно используемое транспортное средство,不是 常用车辆,2901
P826,тональность,音調,tonality,нет тональность,不是 音調,5039
P1652,рефери,裁判,referee,нет рефери,不是 裁判,19997
P4224,категория содержит,分类包含,category contains,нет категория содержит,不是 分类包含,824636
P3262,анатомически ветвится на,解剖学分支,has anatomical branch,нет анатомически ветвится на,不是 解剖学分支,286
P5026,художник-осветитель,照明设计师,lighting designer,нет художник-осветитель,不是 照明设计师,5171
P634,капитан,隊長,captain,нет капитан,不是 隊長,539
P3150,день рождения,生日,birthday,нет день рождения,不是 生日,3191
P7936,бизнес-модель,商业模式,business model,нет бизнес-модель,不是 商业模式,2359
P5138,сезон клуба или команды,賽季所屬俱樂部或團隊,season of club or team,нет сезон клуба или команды,不是 賽季所屬俱樂部或團隊,79872
P9353,не имеет причиной,不是原因,does not have cause,нет не имеет причиной,不是 不是原因,11
P101,область деятельности,工作領域,field of work,нет область деятельности,不是 工作領域,252599
P562,эмитент,中央銀行或發行機構,central bank/issuer,нет эмитент,不是 中央銀行或發行機構,443
P1589,глубочайшая точка,最深點,lowest point,нет глубочайшая точка,不是 最深點,512
P5323,подтверждено в,文獻出處,attested in,нет подтверждено в,不是 文獻出處,121128
P924,лечение,疗法,possible treatment,нет лечение,不是 疗法,699
P3022,флагоносец,持旗手,flag bearer,нет флагоносец,不是 持旗手,4191
P1595,предъявленное обвинение,控罪,charge,нет предъявленное обвинение,不是 控罪,4516
P1196,род смерти,死亡方式,manner of death,нет род смерти,不是 死亡方式,100146
P3095,практикуется,从业者,practiced by,нет практикуется,不是 从业者,4814
P2376,суперсимметричный партнёр для,是超對稱粒子,superpartner of,нет суперсимметричный партнёр для,不是 是超對稱粒子,21
P102,член политической партии,所属政党,member of political party,нет член политической партии,不是 所属政党,502780
P1880,шкала измерения,测量规范,measurement scale,нет шкала измерения,不是 测量规范,181
P1536,является непосредственной причиной,直接结果,immediate cause of,нет является непосредственной причиной,不是 直接结果,18761
P1479,способствовавшим фактором является,影响因素,has contributing factor,нет способствовавшим фактором является,不是 影响因素,588
P870,инструментовка,使用的乐器,instrumentation,нет инструментовка,不是 使用的乐器,7611
P3450,розыгрыш какого турнира,体育赛季所属赛事,sports season of league or competition,нет розыгрыш какого турнира,不是 体育赛季所属赛事,81264
P3966,парадигма программирования,編程範型,programming paradigm,нет парадигма программирования,不是 編程範型,1472
P199,бизнес-подразделения,业务部门,business division,нет бизнес-подразделения,不是 业务部门,1686
P669,расположен на улице,所在街道,located on street or square,нет расположен на улице,不是 所在街道,164995
P780,симптомы,症状,symptoms and signs,нет симптомы,不是 症状,10915
P209,высший судебный орган,最高司法机关,highest judicial authority,нет высший судебный орган,不是 最高司法机关,183
P3263,основание фигуры,底,base,нет основание фигуры,不是 底,116
P1349,плоидия,染色體倍性,ploidy,нет плоидия,不是 染色體倍性,41
P8411,происходит в типе места,环境设定,set in environment,нет происходит в типе места,不是 环境设定,15928
P7501,аудио-система,音响系统,audio system,нет аудио-система,不是 音响系统,2087
P748,кем назначен,委任者,appointed by,нет кем назначен,不是 委任者,5538
P3931,владелец авторских прав,著作權所有者,copyright holder,нет владелец авторских прав,不是 著作權所有者,3231
P8693,фэндом,粉絲文化,fandom,нет фэндом,不是 粉絲文化,63
P1029,члены экипажа,機組人員,crew member(s),нет члены экипажа,不是 機組人員,2976
P1283,фильмография,影片集锦,filmography,нет фильмография,不是 影片集锦,1518
P3902,последняя трапеза,最后进食,had as last meal,нет последняя трапеза,不是 最后进食,72
P172,этническая группа,族群,ethnic group,нет этническая группа,不是 族群,160731
P872,отпечатано,印刷自,printed by,нет отпечатано,不是 印刷自,2905
P4967,предпосылка,前提,prerequisite,нет предпосылка,不是 前提,191
P4884,суд,法院,court,нет суд,不是 法院,21138
P5196,способ вывода,输出方法,output method,нет способ вывода,不是 输出方法,305
P552,рабочая рука,利手,handedness,нет рабочая рука,不是 利手,2257
P7779,состоит в воинском формировании,軍事單位,member of military unit,нет состоит в воинском формировании,不是 軍事單位,2490
P6193,ратифицирован(о/а),批准方,ratified by,нет ратифицирован(о/а),不是 批准方,2631
P5589,микроструктура,微觀結構,microstructure,нет микроструктура,不是 微觀結構,5
P5109,имеет грамматический род,擁有語法性,has grammatical gender,нет имеет грамматический род,不是 擁有語法性,136
P5707,образец,樣本,samples from work,нет образец,不是 樣本,160
P624,тип системы наведения,导引系统,guidance system,нет тип системы наведения,不是 导引系统,248
P789,съедобность,食用性,edibility,нет съедобность,不是 食用性,792
P832,официальный праздник,公立假日,public holiday,нет официальный праздник,不是 公立假日,1481
P2868,в качестве,主體角色,subject has role,нет в качестве,不是 主體角色,353857
P194,законодательный орган,立法机构,legislative body,нет законодательный орган,不是 立法机构,4257
P105,таксономический ранг,分类群等级,taxon rank,нет таксономический ранг,不是 分类群等级,3588929
P9419,личная библиотека хранится в,私人圖書館在,personal library at,нет личная библиотека хранится в,不是 私人圖書館在,285
P1594,судья,法官,judge,нет судья,不是 法官,9995
P2975,носитель,宿主,host,нет носитель,不是 宿主,7413
P7075,мод для,模组基于,mod of,нет мод для,不是 模组基于,186
P5021,оценивался тест,参与考试,assessment,нет оценивался тест,不是 参与考试,25144
P248,утверждается в,载于,stated in,нет утверждается в,不是 载于,785
P1074,аналог в реальном мире,相應虛構概念,fictional analog of,нет аналог в реальном мире,不是 相應虛構概念,1877
P607,война/сражение,军事冲突,conflict,нет война/сражение,不是 军事冲突,221623
P553,учётная запись в социальных медиа,开设账户网站,website account on,нет учётная запись в социальных медиа,不是 开设账户网站,2218
P1593,защитник,辯護人,defender,нет защитник,不是 辯護人,278
P4791,командир,指揮者,commanded by,нет командир,不是 指揮者,3546
P1303,музыкальный инструмент,樂器,instrument,нет музыкальный инструмент,不是 樂器,210870
P210,секретарь партии,党委书记,party chief representative,нет секретарь партии,不是 党委书记,266
P1433,опубликовано в,发表于,published in,нет опубликовано в,不是 发表于,37916091
P1582,производится из,产自,natural product of taxon,нет производится из,不是 产自,2582
P937,место активности,工作地點,work location,нет место активности,不是 工作地點,339031
P610,наивысшая точка,最高点,highest point,нет наивысшая точка,不是 最高点,5503
P208,исполнительная власть,行政机构,executive body,нет исполнительная власть,不是 行政机构,1672
P8670,дизайнер персонажей,角色設計,character designer,нет дизайнер персонажей,不是 角色設計,1818
P398,тело-спутник,子天体,child astronomical body,нет тело-спутник,不是 子天体,8868
P790,получил одобрение от,獲准自,approved by,нет получил одобрение от,不是 獲准自,29098
P3831,значение выступает в роли,客体角色,object has role,нет значение выступает в роли,不是 客体角色,65
P8929,"отношение к религии, взгляд на мир",宗教或世界观,religion or world view (OBSOLETE),"нет отношение к религии, взгляд на мир",不是 宗教或世界观,
P2445,метаподкласс от,所属元子类,metasubclass of,нет метаподкласс от,不是 所属元子类,41
P1779,возможный создатель,可能的創作者,possible creator,нет возможный создатель,不是 可能的創作者,38
P86,композитор,作曲者,composer,нет композитор,不是 作曲者,188471
P5769,шеф-редактор,總編輯,editor-in-chief,нет шеф-редактор,不是 總編輯,2325
P2770,источник дохода,收入來源,source of income,нет источник дохода,不是 收入來源,500
P530,дипломатические отношения,邦交國,diplomatic relation,нет дипломатические отношения,不是 邦交國,7046
P47,имеет границы с,接壤,shares border with,нет имеет границы с,不是 接壤,605173
P461,противоположно,相反面,opposite of,нет противоположно,不是 相反面,23857
P460,предположительно одно и то же с,据称相同,said to be the same as,нет предположительно одно и то же с,不是 据称相同,285208
P3373,брат/сестра,兄弟姊妹,sibling,нет брат/сестра,不是 兄弟姊妹,407131
P26,супруг(а),配偶,spouse,нет супруг(а),不是 配偶,731197
P7047,враг,敌人,enemy of,нет враг,不是 敌人,3809
P451,сожитель,非婚伴侣,unmarried partner,нет сожитель,不是 非婚伴侣,14156
P1889,не путать с,相异於,different from,нет не путать с,不是 相异於,801466
P3403,занимает ту же территорию с,空间重合实体,coextensive with,нет занимает ту же территорию с,不是 空间重合实体,4076
P190,город-побратим,友好城市,twinned administrative body,нет город-побратим,不是 友好城市,48990
P1382,частично совпадает с,部分重合物,partially coincident with,нет частично совпадает с,不是 部分重合物,17887
P1038,родственник,亲属,relative,нет родственник,不是 亲属,52123
P197,соседний остановочный пункт,相邻车站,adjacent station,нет соседний остановочный пункт,不是 相邻车站,209079
P833,станция пересадки,换乘车站,interchange station,нет станция пересадки,不是 换乘车站,3685
P2789,соединяется с,连接,connects with,нет соединяется с,不是 连接,183333
P3342,значимый человек,重要人物,significant person,нет значимый человек,不是 重要人物,15439
P1327,партнёр в спорте или профессии,专业或体育合作伙伴,partner in business or sport,нет партнёр в спорте или профессии,不是 专业或体育合作伙伴,17571
P399,компаньон,伴天体,companion of,нет компаньон,不是 伴天体,4476
P1420,синоним таксона,同物異名,taxon synonym,нет синоним таксона,不是 同物異名,21387
P129,взаимодействует с,物理相互作用于,physically interacts with,нет взаимодействует с,不是 物理相互作用于,9480
P1322,двойственнен к,對偶幾何圖形,dual to,нет двойственнен к,不是 對偶幾何圖形,351
P2375,суперсимметричный партнёр,其超對稱粒子為,has superpartner,нет суперсимметричный партнёр,不是 其超對稱粒子為,20
P3032,смежное здание,相邻建筑,adjacent building,нет смежное здание,不是 相邻建筑,5242
P6185,таутомер,互变异构体,tautomer of,нет таутомер,不是 互变异构体,1063
P3179,территория перекрывается с,领土重合于,territory overlaps,нет территория перекрывается с,不是 领土重合于,8370
P144,создано на основе,改編自,based on,нет создано на основе,不是 改編自,52294
P737,испытал влияние от,影响自,influenced by,нет испытал влияние от,不是 影响自,18552
P2444,омоглиф,同形字,homoglyph,нет омоглиф,不是 同形字,1752
P684,ортолог,种间同源基因,ortholog,нет ортолог,不是 种间同源基因,4320878
P3364,стереоизомер для,立體異構體,stereoisomer of,нет стереоизомер для,不是 立體異構體,2013
P53,род,家族,family,нет род,不是 家族,89379
P1416,принадлежит к,所属机构,affiliation,нет принадлежит к,不是 所属机构,86685
P3113,не включает,不包含的部分,does not have part,нет не включает,不是 不包含的部分,499
P2860,ссылается на,引用作品,cites work,нет ссылается на,不是 引用作品,285213488
P807,отделилось от,分离自,separated from,нет отделилось от,不是 分离自,2321
P1557,является воплощением,表现概念,manifestation of,нет является воплощением,不是 表现概念,2120
P4675,появляется в виде,形态,appears in the form of,нет появляется в виде,不是 形态,373
P6477,не обладает свойством,不具备的特性,does not have quality,нет не обладает свойством,不是 不具备的特性,344
P2650,область интересов,关注对象,interested in,нет область интересов,不是 关注对象,14947
P547,в память о,紀念對象,commemorates,нет в память о,不是 紀念對象,26003
P5004,против,反對,in opposition to,нет против,不是 反對,461
P1268,представляет,代表对象,represents,нет представляет,不是 代表对象,5411
P825,посвящено,呈献对象,dedicated to,нет посвящено,不是 呈献对象,50406
P31,это частный случай понятия,隶属于,instance of,нет это частный случай понятия,不是 隶属于,103114325
P1441,представлено в работе,登场作品,present in work,нет представлено в работе,不是 登场作品,126749
P828,причиной является,起因,has cause,нет причиной является,不是 起因,9257
P1542,вызывает,導致,has effect,нет вызывает,不是 導致,5715
P2737,является объединением,并集,union of,нет является объединением,不是 并集,375
