id,zh,ja,zh_negated,ja_negated,count
P3294,编码,符号化,不是 编码,いいえ 符号化,2
P54,所屬運動隊,所属チーム,不是 所屬運動隊,いいえ 所属チーム,1546197
P479,输入设备,入力機器,不是 输入设备,いいえ 入力機器,15149
P6885,历史地区,歴史的地域,不是 历史地区,いいえ 歴史的地域,15038
P417,主保圣人,守護聖人,不是 主保圣人,いいえ 守護聖人,21721
P541,競逐之職位,争われた公職,不是 競逐之職位,いいえ 争われた公職,42849
P1576,生活方式,生活様式,不是 生活方式,いいえ 生活様式,1288
P1558,拍速标记,速度記号,不是 拍速标记,いいえ 速度記号,133
P931,机场服务地区,空港周辺の場所,不是 机场服务地区,いいえ 空港周辺の場所,12148
P543,宣誓者,宣誓者,不是 宣誓者,いいえ 宣誓者,90
P504,母港,母港,不是 母港,いいえ 母港,5863
P511,头衔,敬称,不是 头衔,いいえ 敬称,52387
P4908,電視劇季,シーズン,不是 電視劇季,いいえ シーズン,63882
P1199,遺傳模式,遺伝形式,不是 遺傳模式,いいえ 遺伝形式,85
P6166,引用原文出处,引用作品,不是 引用原文出处,いいえ 引用作品,410
P193,主要建筑承建商,元請建設会社,不是 主要建筑承建商,いいえ 元請建設会社,2904
P1906,國家元首職位,国家元首の地位,不是 國家元首職位,いいえ 国家元首の地位,563
P945,效忠对象,忠誠を誓った対象,不是 效忠对象,いいえ 忠誠を誓った対象,60876
P408,软件引擎,エンジン,不是 软件引擎,いいえ エンジン,9860
P4647,首演地点,初演地,不是 首演地点,いいえ 初演地,18266
P1399,所犯罪名,罪名,不是 所犯罪名,いいえ 罪名,10528
P114,航空聯盟,航空連合,不是 航空聯盟,いいえ 航空連合,278
P512,学位,学位,不是 学位,いいえ 学位,132400
P4220,作戰序列,戦闘序列,不是 作戰序列,いいえ 戦闘序列,409
P2501,賽果,競技結果,不是 賽果,いいえ 競技結果,84
P7252,难度系数,難易度,不是 难度系数,いいえ 難易度,420
P735,名字,名,不是 名字,いいえ 名,6673611
P126,维护者,管理者,不是 维护者,いいえ 管理者,528563
P1408,廣播地區,放送区域,不是 廣播地區,いいえ 放送区域,16665
P5137,该义项的项目,この語義に対応する項目,不是 该义项的项目,いいえ この語義に対応する項目,115540
P5009,符合標準,適合基準,不是 符合標準,いいえ 適合基準,163
P533,攻击目标,標的,不是 攻击目标,いいえ 標的,1496
P2291,上榜,チャートイン,不是 上榜,いいえ チャートイン,1601
P1383,包含聚落,包含する集落,不是 包含聚落,いいえ 包含する集落,32821
P21,性別,性別,不是 性別,いいえ 性別,7876165
P682,生物途径,生物学的プロセス,不是 生物途径,いいえ 生物学的プロセス,1194167
P5817,使用狀態,使用状態,不是 使用狀態,いいえ 使用状態,62593
P3005,有效地點,あてはまる場所,不是 有效地點,いいえ あてはまる場所,173
P655,译者,訳者,不是 译者,いいえ 訳者,18384
P912,擁有設施,保有施設,不是 擁有設施,いいえ 保有施設,16547
P3967,决赛,決勝戦,不是 决赛,いいえ 決勝戦,1860
P1192,所屬路線,所属運行路線,不是 所屬路線,いいえ 所属運行路線,41150
P8031,加害人,加害者,不是 加害人,いいえ 加害者,818
P4379,青年翼,青年組織,不是 青年翼,いいえ 青年組織,205
P2360,受眾,この項目が想定する対象,不是 受眾,いいえ この項目が想定する対象,7870
P57,导演,監督,不是 导演,いいえ 監督,332848
P2922,月份,対象月,不是 月份,いいえ 対象月,4599
P2408,時代背景,時代設定,不是 時代背景,いいえ 時代設定,7382
P560,方向,方向,不是 方向,いいえ 方向,36
P1596,刑罰,科刑,不是 刑罰,いいえ 科刑,1918
P4387,更新方法,更新方法,不是 更新方法,いいえ 更新方法,119
P1027,颁发者,授与者,不是 颁发者,いいえ 授与者,15110
P941,启发自,着想を得たもの,不是 启发自,いいえ 着想を得たもの,5758
P1877,原著作者,原作者,不是 原著作者,いいえ 原作者,12339
P4969,衍生作品,派生作品,不是 衍生作品,いいえ 派生作品,19804
P6718,音樂影片,ミュージック・ビデオ,不是 音樂影片,いいえ ミュージック・ビデオ,324
P520,武器,兵装,不是 武器,いいえ 兵装,5520
P925,突触,シナプス前細胞,不是 突触,いいえ シナプス前細胞,6
P205,流域国,流域国,不是 流域国,いいえ 流域国,17703
P8111,计量单位,推奨測定単位,不是 计量单位,いいえ 推奨測定単位,1167
P943,程序员,プログラマ,不是 程序员,いいえ プログラマ,388
P8744,話題的經濟,主題の経済,不是 話題的經濟,いいえ 主題の経済,1377
P7727,议会委员会,立法委員会,不是 议会委员会,いいえ 立法委員会,124889
P1028,捐贈者,寄贈者,不是 捐贈者,いいえ 寄贈者,9673
P8225,为其元类,以下のメタクラス,不是 为其元类,いいえ 以下のメタクラス,372
P3452,推断依据,以下から推測,不是 推断依据,いいえ 以下から推測,2
P447,评分者,レビュアー,不是 评分者,いいえ レビュアー,14
P7086,開始年級,開始学年,不是 開始年級,いいえ 開始学年,3730
P6224,著录级次,説明のレベル,不是 著录级次,いいえ 説明のレベル,628069
P2596,文化,文化,不是 文化,いいえ 文化,10030
P1478,直接原因,直接の原因,不是 直接原因,いいえ 直接の原因,125023
P1018,語言管理機構,言語統制機関,不是 語言管理機構,いいえ 言語統制機関,208
P485,存檔于,アーカイブ,不是 存檔于,いいえ アーカイブ,75475
P6855,是否提供急診,救急サービス,不是 是否提供急診,いいえ 救急サービス,766
P3301,广播业者,放送媒体,不是 广播业者,いいえ 放送媒体,7431
P1568,定義域,定義域,不是 定義域,いいえ 定義域,125
P2964,投票權人,投票権者,不是 投票權人,いいえ 投票権者,68
P97,贵族头衔,爵位,不是 贵族头衔,いいえ 爵位,54552
P1136,解決者,解いた人,不是 解決者,いいえ 解いた人,116
P16,公路系統,道路システム,不是 公路系統,いいえ 道路システム,52704
P1622,道路通行方向,交通方法,不是 道路通行方向,いいえ 交通方法,428
P1897,最高音,最高音,不是 最高音,いいえ 最高音,6
P4661,建立的水庫,ダム湖,不是 建立的水庫,いいえ ダム湖,3203
P437,发行方式,メディア形態,不是 发行方式,いいえ メディア形態,205282
P7309,登山路線,登山ルート,不是 登山路線,いいえ 登山ルート,64
P1171,近似算法,近似アルゴリズム,不是 近似算法,いいえ 近似アルゴリズム,9
P3148,廢除,以下の文書を廃止,不是 廢除,いいえ 以下の文書を廃止,28838
P6153,研究地點,研究施設,不是 研究地點,いいえ 研究施設,266976
P5642,风险因子,危険因子,不是 风险因子,いいえ 危険因子,198
P1406,文字方向,書字方向,不是 文字方向,いいえ 書字方向,324
P4878,象征,象徴するもの,不是 象征,いいえ 象徴するもの,51
P5658,鐵路通行方向,鉄道の交通方法,不是 鐵路通行方向,いいえ 鉄道の交通方法,282
P811,副修专业,大学における副専攻,不是 副修专业,いいえ 大学における副専攻,103
P19,出生地,出生地,不是 出生地,いいえ 出生地,3035164
P501,内飞于,包領の周囲,不是 内飞于,いいえ 包領の周囲,249
P8258,訓練,研修分野,不是 訓練,いいえ 研修分野,19
P5133,医学发现,主題の評価,不是 医学发现,いいえ 主題の評価,24
P3091,騎上,騎乗する動物,不是 騎上,いいえ 騎乗する動物,746
P1429,寵物,ペット,不是 寵物,いいえ ペット,318
P3938,命名者,命名者,不是 命名者,いいえ 命名者,628
P6087,體育隊,スポーツチームのコーチ,不是 體育隊,いいえ スポーツチームのコーチ,11850
P1591,被告人,被告,不是 被告人,いいえ 被告,4610
P642,範圍,以下についての,不是 範圍,いいえ 以下についての,5091
P2414,为酶的底物,以下の基質,不是 为酶的底物,いいえ 以下の基質,9
P4000,拥有果实类型,果実の種類,不是 拥有果实类型,いいえ 果実の種類,3039
P702,編碼基因,コードしている遺伝子,不是 編碼基因,いいえ コードしている遺伝子,976836
P545,火炬点燃者,聖火点火者,不是 火炬点燃者,いいえ 聖火点火者,73
P725,配音演员,声優,不是 配音演员,いいえ 声優,63208
P6840,学生组织属于,在籍校,不是 学生组织属于,いいえ 在籍校,34
P397,母天体,母天体,不是 母天体,いいえ 母天体,12507
P459,确定方法,使用された手段・手法,不是 确定方法,いいえ 使用された手段・手法,329
P1299,描绘于,描写した作品,不是 描绘于,いいえ 描写した作品,10979
P3989,成员职业,メンバーの職業,不是 成员职业,いいえ メンバーの職業,1768
P7959,历史郡,歴史的カウンティ,不是 历史郡,いいえ 歴史的カウンティ,782765
P462,颜色,色,不是 颜色,いいえ 色,195178
P3261,解剖分支属于,以下の解剖学的分枝,不是 解剖分支属于,いいえ 以下の解剖学的分枝,415
P241,军事部门,軍種,不是 军事部门,いいえ 軍種,114815
P1064,軌距,軌間,不是 軌距,いいえ 軌間,24421
P1891,签署方,調印者,不是 签署方,いいえ 調印者,17166
P2842,結婚地點,結婚した場所,不是 結婚地點,いいえ 結婚した場所,3
P734,姓氏,姓,不是 姓氏,いいえ 姓,3641074
P421,时区,標準時間帯,不是 时区,いいえ 標準時間帯,2008070
P6587,聯賽系統,リーグ制度,不是 聯賽系統,いいえ リーグ制度,231
P2302,属性约束,プロパティ制約,不是 属性约束,いいえ プロパティ制約,60448
P1640,館長,キュレーター,不是 館長,いいえ キュレーター,1600
P1046,发现方法,発見方法,不是 发现方法,いいえ 発見方法,4253
P942,主題曲,主題歌,不是 主題曲,いいえ 主題歌,3967
P8571,外部審計,会計監査人,不是 外部審計,いいえ 会計監査人,125
P7078,类型推断系统,型システム,不是 类型推断系统,いいえ 型システム,774
P3438,常用车辆,主な使用車両,不是 常用车辆,いいえ 主な使用車両,2901
P826,音調,調,不是 音調,いいえ 調,5039
P1652,裁判,審判,不是 裁判,いいえ 審判,19997
P3262,解剖学分支,解剖学的分枝,不是 解剖学分支,いいえ 解剖学的分枝,286
P376,所在天体,位置する天体,不是 所在天体,いいえ 位置する天体,9235
P5026,照明设计师,照明デザイナー,不是 照明设计师,いいえ 照明デザイナー,5171
P634,隊長,主将,不是 隊長,いいえ 主将,539
P3150,生日,誕生日,不是 生日,いいえ 誕生日,3191
P7936,商业模式,ビジネスモデル,不是 商业模式,いいえ ビジネスモデル,2359
P5138,賽季所屬俱樂部或團隊,クラブやチームのシーズン,不是 賽季所屬俱樂部或團隊,いいえ クラブやチームのシーズン,79872
P101,工作領域,専門分野,不是 工作領域,いいえ 専門分野,252599
P562,中央銀行或發行機構,中央銀行または発行者,不是 中央銀行或發行機構,いいえ 中央銀行または発行者,443
P1589,最深點,最も低い地点,不是 最深點,いいえ 最も低い地点,512
P5323,文獻出處,典拠,不是 文獻出處,いいえ 典拠,121128
P924,疗法,治療,不是 疗法,いいえ 治療,699
P3022,持旗手,旗手,不是 持旗手,いいえ 旗手,4191
P1595,控罪,争われた罪,不是 控罪,いいえ 争われた罪,4516
P1196,死亡方式,死亡状況,不是 死亡方式,いいえ 死亡状況,100146
P3095,从业者,従事者,不是 从业者,いいえ 従事者,4814
P2376,是超對稱粒子,以下の超対称性粒子,不是 是超對稱粒子,いいえ 以下の超対称性粒子,21
P102,所属政党,所属政党,不是 所属政党,いいえ 所属政党,502780
P1880,测量规范,測定単位,不是 测量规范,いいえ 測定単位,181
P1536,直接结果,以下の直接の原因,不是 直接结果,いいえ 以下の直接の原因,18761
P1479,影响因素,寄与因子,不是 影响因素,いいえ 寄与因子,588
P870,使用的乐器,使用楽器,不是 使用的乐器,いいえ 使用楽器,7611
P3966,編程範型,プログラミングパラダイム,不是 編程範型,いいえ プログラミングパラダイム,1472
P199,业务部门,事業部門,不是 业务部门,いいえ 事業部門,1686
P669,所在街道,所在地（街路名）,不是 所在街道,いいえ 所在地（街路名）,164995
P780,症状,症状,不是 症状,いいえ 症状,10915
P8001,推薦者,支持表明者,不是 推薦者,いいえ 支持表明者,195
P8411,环境设定,物語のロケーション,不是 环境设定,いいえ 物語のロケーション,15928
P7501,音响系统,オーディオシステム,不是 音响系统,いいえ オーディオシステム,2087
P748,委任者,任命者,不是 委任者,いいえ 任命者,5538
P3931,著作權所有者,著作権所有者,不是 著作權所有者,いいえ 著作権所有者,3231
P8693,粉絲文化,ファンベース,不是 粉絲文化,いいえ ファンベース,63
P1029,機組人員,乗組員,不是 機組人員,いいえ 乗組員,2976
P1283,影片集锦,映画作品目録,不是 影片集锦,いいえ 映画作品目録,1518
P2388,機構主管職位,組織長の地位,不是 機構主管職位,いいえ 組織長の地位,12812
P3902,最后进食,最後に摂った食事,不是 最后进食,いいえ 最後に摂った食事,72
P172,族群,民族,不是 族群,いいえ 民族,160731
P872,印刷自,印刷者,不是 印刷自,いいえ 印刷者,2905
P4967,前提,前提条件,不是 前提,いいえ 前提条件,191
P4884,法院,法廷,不是 法院,いいえ 法廷,21138
P5196,输出方法,出力機器,不是 输出方法,いいえ 出力機器,305
P552,利手,利き手,不是 利手,いいえ 利き手,2257
P6193,批准方,批准,不是 批准方,いいえ 批准,2631
P5109,擁有語法性,文法的性,不是 擁有語法性,いいえ 文法的性,136
P196,小行星族,小惑星グループ,不是 小行星族,いいえ 小惑星グループ,97538
P624,导引系统,誘導システム,不是 导引系统,いいえ 誘導システム,248
P789,食用性,食用可能,不是 食用性,いいえ 食用可能,792
P832,公立假日,祝日,不是 公立假日,いいえ 祝日,1481
P2868,主體角色,役割,不是 主體角色,いいえ 役割,353857
P194,立法机构,立法府,不是 立法机构,いいえ 立法府,4257
P1594,法官,裁判官,不是 法官,いいえ 裁判官,9995
P7075,模组基于,以下のMOD,不是 模组基于,いいえ 以下のMOD,186
P5021,参与考试,受けた試験,不是 参与考试,いいえ 受けた試験,25144
P248,载于,出典,不是 载于,いいえ 出典,785
P887,基於啟發法,推測に基づく,不是 基於啟發法,いいえ 推測に基づく,1
P4792,水壩,ダム,不是 水壩,いいえ ダム,3135
P1074,相應虛構概念,現実世界で対応する概念,不是 相應虛構概念,いいえ 現実世界で対応する概念,1877
P607,军事冲突,参加した戦い,不是 军事冲突,いいえ 参加した戦い,221623
P553,开设账户网站,ソーシャルメディア,不是 开设账户网站,いいえ ソーシャルメディア,2218
P1593,辯護人,弁護人,不是 辯護人,いいえ 弁護人,278
P4791,指揮者,指揮官,不是 指揮者,いいえ 指揮官,3546
P1303,樂器,楽器,不是 樂器,いいえ 楽器,210870
P210,党委书记,党委員会の責任者,不是 党委书记,いいえ 党委員会の責任者,266
P1433,发表于,叢書,不是 发表于,いいえ 叢書,37916091
P937,工作地點,活動地,不是 工作地點,いいえ 活動地,339031
P208,行政机构,行政府,不是 行政机构,いいえ 行政府,1672
P8670,角色設計,キャラクターデザイナー,不是 角色設計,いいえ キャラクターデザイナー,1818
P398,子天体,子天体,不是 子天体,いいえ 子天体,8868
P790,獲准自,承認者,不是 獲准自,いいえ 承認者,29098
P3831,客体角色,オブジェクトの役割,不是 客体角色,いいえ オブジェクトの役割,65
P2445,所属元子类,以下のメタサブクラス,不是 所属元子类,いいえ 以下のメタサブクラス,41
P1779,可能的創作者,創作者候補,不是 可能的創作者,いいえ 創作者候補,38
P86,作曲者,作曲,不是 作曲者,いいえ 作曲,188471
P3776,抑制剂,以下の阻害剤,不是 抑制剂,いいえ 以下の阻害剤,101
P5769,總編輯,編集長,不是 總編輯,いいえ 編集長,2325
P2770,收入來源,収入源,不是 收入來源,いいえ 収入源,500
P530,邦交國,国交のある国,不是 邦交國,いいえ 国交のある国,7046
P47,接壤,隣の国または行政区画,不是 接壤,いいえ 隣の国または行政区画,605173
P461,相反面,反対の概念,不是 相反面,いいえ 反対の概念,23857
P460,据称相同,同一とされる事物,不是 据称相同,いいえ 同一とされる事物,285208
P3373,兄弟姊妹,兄弟姉妹,不是 兄弟姊妹,いいえ 兄弟姉妹,407131
P26,配偶,配偶者,不是 配偶,いいえ 配偶者,731197
P7047,敌人,敵,不是 敌人,いいえ 敵,3809
P451,非婚伴侣,婚姻関係にないパートナー,不是 非婚伴侣,いいえ 婚姻関係にないパートナー,14156
P1889,相异於,以下と異なる,不是 相异於,いいえ 以下と異なる,801466
P3403,空间重合实体,同一境界,不是 空间重合实体,いいえ 同一境界,4076
P190,友好城市,姉妹都市,不是 友好城市,いいえ 姉妹都市,48990
P1382,部分重合物,重複,不是 部分重合物,いいえ 重複,17887
P1038,亲属,親族,不是 亲属,いいえ 親族,52123
P197,相邻车站,隣の駅,不是 相邻车站,いいえ 隣の駅,209079
P833,换乘车站,乗換駅,不是 换乘车站,いいえ 乗換駅,3685
P2789,连接,以下と接続,不是 连接,いいえ 以下と接続,183333
P3342,重要人物,重要な人物,不是 重要人物,いいえ 重要な人物,15439
P1327,专业或体育合作伙伴,専門家またはスポーツのパートナー,不是 专业或体育合作伙伴,いいえ 専門家またはスポーツのパートナー,17571
P399,伴天体,伴天体,不是 伴天体,いいえ 伴天体,4476
P1420,同物異名,シノニム,不是 同物異名,いいえ シノニム,21387
P129,物理相互作用于,物理的相互作用,不是 物理相互作用于,いいえ 物理的相互作用,9480
P1322,對偶幾何圖形,双対,不是 對偶幾何圖形,いいえ 双対,351
P2375,其超對稱粒子為,超対称性パートナー,不是 其超對稱粒子為,いいえ 超対称性パートナー,20
P3032,相邻建筑,隣接する建築物,不是 相邻建筑,いいえ 隣接する建築物,5242
P6185,互变异构体,以下の互変異性体,不是 互变异构体,いいえ 以下の互変異性体,1063
P3179,领土重合于,重なる地域,不是 领土重合于,いいえ 重なる地域,8370
P144,改編自,派生元,不是 改編自,いいえ 派生元,52294
P737,影响自,影響を受けたもの,不是 影响自,いいえ 影響を受けたもの,18552
P2444,同形字,ホモグリフ,不是 同形字,いいえ ホモグリフ,1752
P684,种间同源基因,オーソログ,不是 种间同源基因,いいえ オーソログ,4320878
P3364,立體異構體,以下の立体異性体,不是 立體異構體,いいえ 以下の立体異性体,2013
P53,家族,家系,不是 家族,いいえ 家系,89379
P1416,所属机构,所属機関,不是 所属机构,いいえ 所属機関,86685
P3113,不包含的部分,以下を含まない,不是 不包含的部分,いいえ 以下を含まない,499
P2860,引用作品,引用文献,不是 引用作品,いいえ 引用文献,285213488
P807,分离自,以下より分立,不是 分离自,いいえ 以下より分立,2321
P1557,表现概念,表現する概念,不是 表现概念,いいえ 表現する概念,2120
P4675,形态,変身先,不是 形态,いいえ 変身先,373
P6477,不具备的特性,持たない特性,不是 不具备的特性,いいえ 持たない特性,344
P2650,关注对象,興味の対象,不是 关注对象,いいえ 興味の対象,14947
P547,紀念對象,記念対象,不是 紀念對象,いいえ 記念対象,26003
P5004,反對,以下に反対,不是 反對,いいえ 以下に反対,461
P1268,代表对象,以下の代表,不是 代表对象,いいえ 以下の代表,5411
P825,呈献对象,献呈先,不是 呈献对象,いいえ 献呈先,50406
P31,隶属于,分類,不是 隶属于,いいえ 分類,103114325
P1441,登场作品,登場する作品,不是 登场作品,いいえ 登場する作品,126749
P828,起因,原因,不是 起因,いいえ 原因,9257
P1542,導致,以下の原因,不是 導致,いいえ 以下の原因,5715
P2737,并集,以下の和集合,不是 并集,いいえ 以下の和集合,375
