id,en,es,fr,de
P530,diplomatic relation,relación diplomática,relation diplomatique,diplomatische Beziehung
P47,shares border with,comparte fronteras con,limitrophe de,gemeinsame Grenze mit
P461,opposite of,opuesto a,contraire,Gegenteil von
P460,said to be the same as,se dice que es lo mismo que,réputé identique à,eventuell gleichwertig
P3373,sibling,hermano o hermana,frère ou sœur,Geschwister
P26,spouse,cónyuge,conjoint,Ehepartner(in)
P7047,enemy of,enemigo de,ennemi de,Feind von
P451,unmarried partner,pareja,partenaire,Lebenspartner/-in
P1889,different from,diferente de,à ne pas confondre avec,verschieden von
P3403,coextensive with,mismo territorio que,a le même territoire que,koexistiert mit
P190,twinned administrative body,ciudad hermana,jumelage ou partenariat,Partnerkommune
P2152,antiparticle,antipartícula,antiparticule,Antiteilchen
P155,follows,precedido por,précédé par,Vorgänger
P156,followed by,sucedido por,suivi par,Nachfolger
P1382,partially coincident with,parcialmente coincidente con,coïncide partiellement avec,teilweise übereinstimmend mit
P463,member of,miembro de,membre de,Mitglied von
P4777,has boundary,delimitado por,délimité par,hat als Grenze
P1038,relative,pariente,parentèle,Verwandte
P197,adjacent station,estación adyacente,gare voisine,benachbarte Station
P833,interchange station,estación de intercambio,pôle d'échanges,Umsteigebahnhof
P1365,replaces,reemplaza a,remplace,ersetzt
P974,tributary,afluente,affluent,Nebenfluss
P1366,replaced by,reemplazado por,remplacé par,ersetzt durch
P2789,connects with,se conecta con,se connecte avec,physisch verbunden mit
P131,located in the administrative territorial entity,situado en la entidad territorial administrativa,localisation administrative,liegt in der Verwaltungseinheit
P3342,significant person,persona relevante,personne clé,relevante Person
P2293,genetic association,asociación genética,association génétique,genetische Assoziation mit
P1269,facet of,faceta de,aspect de,Aspekt von
P1000,record held,récord,record détenu,Rekord
P2743,this zoological name is coordinate with,nombre zoológico coordinado por,ce nom zoologique est coordonné avec,zugeordneter zoologische Name
P81,connecting line,línea de ferrocarril,ligne de chemin de fer,Strecke
P1552,has quality,caracterizado por,caractérisé par,charakterisiert durch
P1327,partner in business or sport,en conjunto con,partenaire professionnel ou sportif,Berufs- oder Sportpartner
P399,companion of,compañero de,compagnon de,Begleiter
P361,part of,forma parte de,partie de,ist Teil von
P1560,given name version for other gender,nombre correspondiente en el otro género,prénom correspondant dans le genre grammatical opposé,äquivalenter Vorname für das andere Geschlecht
P1420,taxon synonym,sinónimo taxonómico,synonyme taxinomique,taxonomische Synonyme
P1037,director / manager,gerente/director,dirigeant,Leiter
P169,chief executive officer,director ejecutivo,directeur général,Geschäftsführer
P2579,studied by,estudiado por,discipline dont c'est l'objet,Forschungsthema in
P129,physically interacts with,interactúa físicamente con,interagit physiquement avec,interagiert physikalisch mit
P36,capital,capital,capitale,Hauptstadt
P767,contributor to the creative work or subject,colaborador,collaborateur,Mitarbeiter des Werks
P1322,dual to,dual de,dual de,dual zu
P170,creator,creador,créateur,Urheber
P17,country,país,pays,Staat
P2375,has superpartner,tiene como s-partícula,a comme superpartenaire,hat Superpartner
P8702,parallel street,calle paralela,rue parallèle,Parallelstraße
P279,subclass of,subclase de,sous-classe de,Unterklasse von
P40,child,hijo o hija,enfant,Kind(er)
P769,significant drug interaction,acción farmacológica alterada por,interaction médicamenteuse avec,signifikante Arzneimittelwechselwirkung
P5278,gender inflection of surname,inflexión de género del apellido,forme du nom de famille dans l'autre genre,Flexion des Familiennamens durch das Geschlecht
P1639,pendant of,pendant de,pendant de,Pendant
P3032,adjacent building,edificio adyacente,bâtiment adjacent,Nachbargebäude
P166,award received,premio recibido,distinction reçue,Auszeichnung
P4428,implementation of,implementación de,implémentation de,Implementierung von
P180,depicts,representa a,dépeint,Motiv
P559,terminus,término,extrémité,Endpunkt (Objekt)
P1398,structure replaces,estructura que reemplaza,structure précédente,Bauwerk ersetzt
P2670,has part or parts of the class,tiene partes de la clase,comprend des éléments de type,enthält Elemente von
P6185,tautomer of,tautómero de,tautomère de,Tautomer von
P1535,used by,utilizado por,utilisé par,verwendet von
P2283,uses,utiliza,utilise,benutzt
P737,influenced by,influenciado por,influencé par,beeinflusst von
P3190,innervates,inerva,innerve,innerviert
P4345,director of archaeological fieldwork,director de excavación,directeur des fouilles,Grabungsleiter
P915,filming location,lugar de filmación,lieu du tournage,Drehort
P2176,drug or therapy used for treatment,medicamento (o droga),médicament,behandelt mit
P3729,next lower rank,rango inmediatamente inferior,rang immédiatement inférieur,nächstniedrigerer Rang
P527,has part,compuesto por,comprend,besteht aus
P1403,original combination,combinación original,protonyme,Erstkombination
P3179,territory overlaps,solapamiento territorial,recouvrement territorial,Territorium überschneidet sich mit
P144,based on,basado en,basé sur,basiert auf
P2444,homoglyph,homoglifo,homoglyphe,Homoglyph
P8865,mathematical inverse,inverso matemático,inverse mathématique,mathematische Umkehroperation
P2329,antagonist muscle,músculo antagonista,muscle antagoniste,antagonistischer Muskel
P684,ortholog,ortólogo,gène orthologue,ortholog
P2652,partnership with,en sociedad con,en partenariat avec,Geschäftsbeziehung zu
P3364,stereoisomer of,estereoisómero de,stéréoisomère de,Stereoisomer von
P161,cast member,miembro del reparto,distribution,Darsteller
P802,student,discípulo,élève,Schüler
P1066,student of,alumno de,élève de,Schüler von
P1424,topic's main template,plantilla principal del tema,modèle principal d'un sujet,Hauptvorlage des Themas
P53,family,familia,famille,Familie
P1416,affiliation,afiliación,affilié à,Zugehörigkeit zu
P521,scheduled service destination,destino de servicio programado,destination en service régulier,Ziel eines Liniendienstes
P885,origin of the watercourse,origen del curso de agua,source,Quelle des Wasserlaufs
P1344,participant in,participó en,participant à,Teilnehmer an
P137,operator,operador,opérateur,Betreiber
P157,killed by,asesinado por,tué par,getötet durch
P7888,merged into,fusionado con,fusionné dans,fusioniert in
P177,crosses,atraviesa,franchit,Querung
P488,chairperson,presidente,président,Vorsitzender
P123,publisher,editorial,éditeur,Verlag
P551,residence,residencia,résidence,Wohnsitz
P3730,next higher rank,rango inmediatamente superior,rang immédiatement supérieur,nächsthöherer Rang
P828,has cause,causado por,a pour cause,Ursache
P1542,has effect,causa de,a pour effet,Ursache von
P3113,does not have part,no contiene,ne comprend pas,enthält nicht
P859,sponsor,patrocinador,sponsor,Sponsor
P286,head coach,entrenador,entraîneur / directeur sportif,Cheftrainer
P514,interleaves with,intercalada con,s'imbrique avec,verzahnt mit
P178,developer,desarrollador,développeur,Entwickler
P6,head of government,jefe de gobierno,chef de l'exécutif,Leiter der Regierung oder Verwaltung
P371,presenter,presentador,présentateur,Moderator
P138,named after,nombrado por,nommé en référence à,benannt nach
P185,doctoral student,doctorando,doctorant,Doktorand
P184,doctoral advisor,supervisor doctoral,directeur de thèse,Promotionsbetreuer
P403,mouth of the watercourse,desembocadura del curso de agua,se jette dans,mündet in
P162,producer,productor,producteur,Produzent
P2860,cites work,referencia,cite le document,zitiert
P664,organizer,organizador,organisateur,Veranstalter
P159,headquarters location,ubicación de la sede,siège,Hauptverwaltung
P2695,type locality (geology),localidad tipo (geología),localité type (géologie),geologische Typlokalität
P201,lake outflow,emisario del lago,émissaire du lac,Abfluss
P1376,capital of,capital de,capitale de,Hauptstadt von
P206,located in or next to body of water,situado cerca del cuerpo de agua,baigné par,liegt am oder im Gewässer
P263,official residence,residencia oficial,résidence officielle,Amtssitz
P98,editor,editor,éditeur scientifique,Herausgeber
P793,significant event,evento significativo,évènement clé,Schlüsselereignis
P366,has use,uso,usage,Benutzung
P566,basionym,basónimo,basionyme,Basionym
P3320,board member,miembro del consejo,membre du conseil d'administration,Vorstandsmitglied
P1039,kinship to subject,tipo de parentesco,type de parenté,Verwandtschaftsverhältnis dieser Person
P1346,winner,ganador,vainqueur,Sieger
P1411,nominated for,nominado a,nommé pour,nominiert für
P276,location,ubicación,lieu,Ort
P1343,described by source,descrito en,décrit par,beschrieben in
P5523,fanqie,fanquie,fanqie,Fanqie
P127,owned by,propietario,propriétaire,Eigentümer
P108,employer,empleador,employeur,Arbeitgeber
P8956,compatible with,compatible con,compatible avec,kompatibel mit
P50,author,autor,auteur,Autor
P710,participant,participante,participant,Teilnehmer
P2567,amended by,enmendado por,amendé par,geändert durch
P2936,language used,idioma usado,langue utilisée,genutzte Sprache
P31,instance of,instancia de,nature de l'élément,ist ein(e)
P4552,mountain range,cordillera,chaîne de montagnes,Gebirgszug
P113,airline hub,centro de conexión,hub aéroportuaire,Luftfahrt-Drehkreuz
P641,sport,deporte,sport,Sportart
P706,located in/on physical feature,situado en la entidad geográfica,localisation géographique,liegt geographisch im Gebiet oder Gewässer
P910,topic's main category,categoría principal del tema,catégorie,Hauptkategorie zum Artikel
P927,anatomical location,localización anatómica,région anatomique,anatomische Lage
P1441,present in work,presente en la obra,présent dans l'œuvre,kommt vor in
P179,part of the series,serie,série,Teil der Reihe oder Serie
P1040,film editor,editor de cine,monteur,Filmeditor
P176,manufacturer,fabricante,fabricant,Hersteller
P1427,start point,lugar de inicio,point de départ,geografischer Startpunkt
P61,discoverer or inventor,descubridor o inventor,découvreur ou inventeur,Entdecker oder Erfinder
P807,separated from,separado de,séparé de,abgetrennt von
P1598,consecrator,consagrante,consécrateur,Konsekrator
P6379,has works in the collection,tiene obras en la colección,collection comprenant une œuvre de la personne,Sammlung mit Werk(en) dieser Person
P287,designed by,diseñador,designer,Designer
P7719,generalization of,implica,généralisation de,impliziert
P4913,dialect of,dialecto de,dialecte de,Dialekt von
P39,position held,cargo ocupado,fonction,öffentliches Amt oder Stellung
P355,subsidiary,filial,organisation fille,nachgeordnete Organisation
P22,father,padre,père,Vater
P3300,musical conductor,director de orquesta,chef d'orchestre,musikalischer Leiter
P805,statement is subject of,elemento de la declaración,affirmation détaillée dans,beschreibendes Datenobjekt
P121,item operated,elemento operado,élément utilisé,eingesetztes Objekt
P1431,executive producer,productor ejecutivo,producteur délégué,Produktionsleiter
P1268,represents,representa,représente,repräsentiert
P747,has edition or translation,edición o traducción,édition,hat Ausgaben
P629,edition or translation of,edición o traducción de,édition ou traduction de,Ausgabe oder Übersetzung von
P1557,manifestation of,manifestación de,manifestation de,Manifestation von
P822,mascot,mascota,mascotte,Maskottchen
P195,collection,colección,collection,Sammlung
P5940,plot expanded in,trama continuada en,intrigue continuée dans,Handlung wird erweitert in
P2737,union of,unión de,union de,Vereinigung von
P360,is a list of,lista de,est une liste de,Liste von
P7153,significant place,lugar significativo,lieu important,bedeutender Ort
P2354,has list,lista del elemento,liste d'éléments,entsprechende Liste
P825,dedicated to,dedicado a,dédicataire,Widmung an
P4900,broader concept,concepto más amplio,concept plus large,übergeordneter Begriff
P2094,competition class,clase de competencia,classe de qualification,Wettbewerbsklasse
P749,parent organization,organización matriz,organisation mère,übergeordnete Organisation
P1830,owner of,propietario de,propriétaire de,Inhaber von
P237,coat of arms,escudo de armas,blasonnement,Wappen (Item)
P167,structure replaced by,estructura reemplazada por,structure remplacée par,Nachfolgebauwerk
P25,mother,madre,mère,Mutter
P2546,sidekick of,ayudante de,faire-valoir de,Sidekick von
P3448,stepparent,padrastro o madrastra,beau-parent,Stiefelternteil
P404,game mode,modo de juego,mode de jeu,Spielmodus
P921,main subject,tema principal de la obra,sujet ou thème principal,zentrales Thema
P186,made from material,material empleado,matériau,Material
P2522,victory,victoria,victoire,Sieg
P1075,rector,rector,recteur,Rektor
P4292,possessed by spirit,poseído por,esprit possesseur,besessen von
P2210,relative to,relativo a,relatif à,Bezugspunkt
P674,characters,personajes,personnages,Figuren
P4675,appears in the form of,aparece bajo la forma de,se métamorphose en,angenommene Gestalt
P6477,does not have quality,no tiene la cualidad,caractérisé par l'absence de,Mangel an
P3137,parent peak,cumbre principal,sommet parent,Bezugsberg
P2650,interested in,interesado en,intéressé par,interessiert an
P676,lyrics by,letra de,parolier,Text von
P175,performer,intérprete,interprète,Interpret
P406,soundtrack release,álbum de banda sonora,album de la bande originale,Soundtrack
P598,commander of (DEPRECATED),comandante de (OBSOLETO),commandement (OBSOLÈTE),befohlene Einheiten (VERALTET)
P547,commemorates,conmemora,commémore,erinnert an
P115,home venue,estadio,stade,Heimspielstätte
P1071,location of creation,lugar de creación,lieu de fabrication,Herstellungsort
P119,place of burial,lugar de sepultura,lieu de sépulture,Begräbnisort
P150,contains administrative territorial entity,subdividido en (división administrativa),contient les subdivisions territoriales administratives,Untereinheit (administrative Einheit)
P5004,in opposition to,en oposición a,en opposition à,in Opposition zu
P5135,greater than,mayor que,supérieur à,größer als
P5136,less than,menor que,inférieur à,weniger als
P3205,patient of,paciente de,patient de,Patient von
P466,occupant,ocupante,occupant,Bewohner/Nutzer
P726,candidate,candidato,candidat,Kandidat
P971,category combines topics,temas asociados por la categoría,sujets associés à la catégorie,Kategorie kombiniert die Themen
P797,authority,autoridad ejecutiva,autorité exécutive,Exekutive
P5869,model item,elemento ejemplo,élément Wikidata exemplaire,Beispielelement
P1304,central bank,banco central,banque centrale,Zentralbank (Land)
